Rank,Player,Age,Team,Pos,G,GS,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3P,3P,2P,0-3,3-10,10-16,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,Md.,Awards,-9999
1,Julius Randle,26,NYK,PF,71,71,2667,.456,14.5,.706,.162,.176,.201,.167,.294,.474,.659,.408,.434,.414,.411,.342,.794,.022,25,.219,.412,1,0,MVP-8MIP-1ASNBA2,randlju01
2,RJ Barrett,20,NYK,SG,72,72,2511,.441,11.5,.708,.325,.228,.087,.069,.292,.457,.605,.318,.315,.397,.401,.353,.976,.040,39,.427,.424,1,0,,barrerj01
3,Nikola Jokić,25,DEN,C,72,72,2488,.566,10.6,.817,.244,.350,.140,.082,.183,.606,.753,.572,.481,.528,.388,.484,.967,.037,45,.034,.375,3,0,MVP-1ASNBA1,jokicni01
4,Buddy Hield,28,SAC,SG,71,71,2433,.406,21.2,.273,.087,.060,.064,.063,.727,.446,.640,.267,.444,.355,.391,.331,.812,.009,8,.136,.469,1,0,,hieldbu01
5,Damian Lillard,30,POR,PG,67,67,2398,.451,17.9,.472,.238,.096,.044,.094,.528,.519,.631,.359,.441,.437,.391,.177,.393,.015,19,.038,.185,4,0,MVP-7ASNBA2,lillada01
6,Terry Rozier,26,CHO,SG,69,69,2383,.450,16.6,.496,.183,.150,.097,.066,.504,.512,.615,.418,.564,.360,.389,.403,.829,.011,12,.243,.453,2,0,,roziete01
7,Russell Westbrook,32,WAS,PG,65,65,2369,.439,13.2,.779,.194,.245,.117,.224,.221,.475,.650,.465,.379,.383,.315,.164,.628,.025,24,.103,.429,0,0,MVP-11,westbru01
8,Andrew Wiggins,25,GSW,PF,71,71,2364,.477,14.2,.652,.218,.197,.108,.129,.348,.529,.706,.500,.404,.380,.380,.479,.829,.065,65,.247,.418,0,0,,wiggian01
9,Mikal Bridges,24,PHO,SF,72,72,2348,.543,14.3,.529,.278,.135,.082,.034,.471,.647,.801,.500,.455,.435,.425,.764,.985,.058,38,.597,.441,0,0,,bridgmi01
10,Nikola Vučević,30,2TM,C,70,70,2348,.477,14.3,.685,.143,.251,.166,.125,.315,.513,.683,.484,.466,.437,.400,.616,.994,.018,19,.020,.333,0,0,AS,vucevni01
11,Anthony Edwards,19,MIN,SG,72,55,2314,.417,14.2,.571,.306,.145,.047,.072,.429,.483,.647,.318,.246,.276,.329,.392,.632,.066,70,.140,.301,3,0,ROY-2,edwaran01
12,Jayson Tatum,22,BOS,SF,64,64,2290,.459,14.6,.632,.197,.206,.141,.088,.368,.502,.735,.417,.349,.422,.386,.383,.465,.045,55,.136,.364,1,0,AS,tatumja01
13,Devin Booker,24,PHO,SG,67,67,2270,.484,14.5,.712,.179,.163,.231,.139,.288,.543,.678,.481,.542,.441,.340,.394,.659,.021,24,.086,.500,1,0,AS,bookede01
14,Khris Middleton,29,MIL,SF,68,68,2269,.476,15.7,.660,.150,.146,.196,.168,.340,.508,.652,.490,.464,.444,.414,.333,.649,.014,11,.156,.439,0,0,,middlkh01
15,Duncan Robinson,26,MIA,SF,72,72,2262,.439,22.8,.145,.079,.029,.022,.014,.855,.625,.825,.429,.438,.200,.408,.892,.972,.006,4,.186,.368,0,0,,robindu01
16,Luka Dončić,21,DAL,PG,66,66,2262,.479,15.6,.594,.180,.201,.153,.060,.406,.567,.708,.507,.512,.481,.350,.095,.234,.008,11,.031,.471,5,0,MVP-6ASNBA1,doncilu01
17,Robert Covington,30,POR,PF,70,70,2243,.401,19.6,.301,.181,.075,.016,.029,.699,.451,.587,.211,.125,.400,.379,.652,.948,.031,10,.126,.244,1,0,,covinro01
18,Royce O'Neale,27,UTA,SF,71,71,2241,.444,19.0,.294,.193,.079,.010,.013,.706,.586,.737,.323,.500,.000,.385,.603,.981,.051,18,.306,.424,0,0,,onealro01
19,Domantas Sabonis,24,IND,PF,62,62,2231,.535,8.8,.821,.431,.259,.076,.054,.179,.582,.746,.427,.362,.327,.321,.606,.962,.046,39,.049,.625,0,0,AS,sabondo01
20,Bojan Bogdanović,31,UTA,SF,72,72,2216,.439,15.4,.502,.181,.226,.079,.016,.498,.487,.635,.411,.438,.133,.390,.412,.961,.015,11,.406,.444,0,0,,bogdabo02
21,Norman Powell,27,2TM,SG,69,58,2205,.477,14.2,.547,.275,.181,.053,.038,.453,.532,.647,.416,.367,.486,.411,.547,.836,.044,32,.317,.530,2,0,,powelno01
22,Chris Paul,35,PHO,PG,70,70,2199,.499,16.9,.706,.058,.114,.327,.208,.294,.543,.667,.550,.516,.546,.395,.083,.412,.000,0,.097,.400,4,0,MVP-5ASNBA2,paulch01
23,Rudy Gobert,28,UTA,C,71,71,2187,.675,2.7,.993,.770,.209,.005,.009,.007,.680,.798,.281,.000,.200,.000,.767,,.432,231,.250,.000,3,0,MVP-10DPOY-1ASNBA3DEF1,goberru01
24,Justin Holiday,31,IND,SG,72,52,2183,.413,19.9,.275,.165,.034,.027,.050,.725,.494,.612,.190,.118,.516,.382,.671,.971,.034,18,.371,.435,0,0,,holidju01
25,Isaac Okoro,20,CLE,SG,67,67,2173,.420,11.8,.617,.377,.197,.023,.020,.383,.501,.611,.364,.077,.273,.290,.659,.871,.063,32,.383,.366,0,0,,okorois01
26,Coby White,20,CHI,PG,69,54,2156,.416,16.6,.497,.221,.109,.063,.104,.503,.473,.558,.347,.456,.436,.359,.292,.785,.008,7,.163,.473,1,0,,whiteco01
27,Stephen Curry,32,GSW,PG,63,63,2152,.482,19.3,.413,.148,.136,.060,.069,.587,.569,.663,.532,.549,.457,.421,.411,.588,.000,0,.072,.397,11,0,MVP-3ASNBA1,curryst01
28,Bradley Beal,27,WAS,SG,60,60,2147,.485,13.3,.730,.177,.274,.143,.136,.270,.535,.660,.530,.470,.452,.349,.430,.723,.021,24,.169,.381,0,0,ASNBA3,bealbr01
29,Bam Adebayo,23,MIA,C,64,64,2143,.570,7.6,.990,.353,.303,.225,.110,.010,.573,.794,.471,.456,.386,.250,.656,1.000,.188,137,.125,.000,0,0,DPOY-4DEF2,adebaba01
30,Joe Harris,29,BRK,SF,69,65,2141,.505,18.5,.372,.171,.076,.071,.054,.628,.555,.661,.426,.540,.421,.475,.774,1.000,.003,2,.209,.505,0,0,,harrijo01
31,Dejounte Murray,24,SAS,PG,67,67,2139,.453,12.6,.796,.193,.205,.266,.131,.204,.488,.649,.390,.452,.477,.317,.275,.857,.013,12,.206,.293,0,0,,murrade01
32,Kevin Huerter,22,ATL,SG,69,49,2126,.432,17.4,.472,.120,.167,.141,.044,.528,.510,.625,.418,.563,.375,.363,.409,.879,.012,9,.199,.403,1,0,,huertke01
33,Trae Young,22,ATL,PG,63,63,2125,.438,15.3,.643,.162,.226,.181,.075,.357,.491,.572,.470,.428,.530,.343,.125,.287,.000,0,.038,.400,0,0,,youngtr01
34,Deandre Ayton,22,PHO,C,69,69,2115,.626,5.5,.971,.530,.259,.137,.045,.029,.639,.766,.517,.479,.323,.200,.714,1.000,.166,109,.000,,0,0,,aytonde01
35,Collin Sexton,22,CLE,SG,60,60,2115,.475,11.7,.761,.273,.251,.163,.074,.239,.508,.619,.455,.483,.329,.371,.422,.684,.010,9,.102,.407,0,0,,sextoco01
36,Eric Bledsoe,31,NOP,SG,71,70,2111,.421,16.5,.514,.159,.167,.110,.078,.486,.496,.681,.393,.425,.439,.341,.489,.860,.000,0,.220,.346,1,0,,bledser01
37,Harrison Barnes,28,SAC,PF,58,58,2102,.497,12.5,.601,.307,.248,.044,.003,.399,.567,.721,.415,.393,.000,.391,.584,.880,.059,35,.223,.491,0,0,,barneha02
38,Brandon Ingram,23,NOP,SF,61,61,2093,.466,15.9,.659,.144,.115,.224,.176,.341,.510,.677,.417,.449,.510,.381,.368,.790,.027,26,.165,.306,3,0,,ingrabr01
39,DeMar DeRozan,31,SAS,PF,61,61,2056,.495,11.0,.920,.191,.268,.282,.178,.080,.515,.636,.510,.459,.482,.257,.248,.947,.021,17,.324,.292,0,0,,derozde01
40,Ja Morant,21,MEM,PG,63,63,2053,.449,10.7,.748,.335,.261,.132,.020,.252,.499,.632,.372,.437,.316,.303,.294,.603,.060,46,.104,.240,1,0,,moranja01
41,Jae'Sean Tate,25,HOU,SF,70,58,2043,.506,10.2,.688,.405,.253,.019,.011,.312,.595,.719,.449,.083,.286,.308,.539,.950,.050,27,.405,.329,0,0,,tateja01
42,De'Aaron Fox,23,SAC,PG,58,58,2036,.477,12.9,.712,.233,.232,.151,.095,.288,.539,.761,.426,.482,.362,.322,.160,.524,.015,17,.094,.367,1,0,,foxde01
43,Zach LaVine,25,CHI,SG,58,58,2034,.507,14.9,.575,.310,.093,.061,.110,.425,.571,.693,.362,.478,.460,.419,.355,.515,.050,53,.145,.478,1,0,AS,lavinza01
44,Zion Williamson,20,NOP,PF,61,61,2026,.611,3.4,.967,.696,.257,.012,.002,.033,.622,.701,.419,.500,.000,.294,.553,1.000,.130,123,.029,1.000,1,0,AS,willizi01
45,Tobias Harris,28,PHI,PF,62,62,2014,.512,11.7,.775,.220,.313,.144,.098,.225,.546,.709,.474,.511,.462,.394,.358,.817,.043,35,.202,.452,0,0,,harrito02
46,Giannis Antetokounmpo,26,MIL,PF,61,61,2013,.569,9.5,.799,.451,.193,.094,.062,.201,.636,.837,.401,.359,.324,.303,.428,.299,.169,178,.045,.300,0,0,MVP-4DPOY-5ASNBA1DEF1,antetgi01
47,Pascal Siakam,26,TOR,PF,56,56,2006,.455,11.6,.744,.241,.324,.091,.088,.256,.509,.690,.424,.425,.412,.297,.341,.836,.041,36,.215,.283,1,0,,siakapa01
48,Jaylen Brown,24,BOS,SG,58,58,1999,.484,14.3,.630,.195,.239,.110,.086,.370,.536,.700,.442,.484,.490,.397,.453,.798,.024,23,.158,.400,2,0,AS,brownja02
49,Dillon Brooks,25,MEM,SF,67,67,1997,.419,15.0,.639,.155,.167,.229,.088,.361,.461,.606,.395,.411,.462,.344,.513,.867,.028,29,.159,.559,0,0,,brookdi01
50,Kelly Olynyk,29,2TM,PF,70,62,1997,.484,15.3,.472,.286,.135,.030,.022,.528,.641,.769,.479,.286,.467,.342,.739,.937,.032,20,.158,.276,0,0,,olynyke01
51,Tim Hardaway Jr.,28,DAL,SG,70,31,1985,.447,18.5,.419,.158,.099,.075,.088,.581,.524,.715,.400,.426,.400,.391,.545,.841,.036,28,.185,.388,3,0,6MOY-5,hardati02
52,Patrick Williams,19,CHI,PF,71,71,1983,.483,12.2,.739,.290,.178,.133,.138,.261,.515,.673,.394,.443,.411,.391,.736,.981,.102,51,.413,.421,1,1,,willipa01
53,Draymond Green,30,GSW,PF,63,63,1982,.447,12.2,.668,.347,.218,.050,.053,.332,.535,.667,.458,.211,.300,.270,.618,.971,.076,27,.127,.375,2,0,DPOY-3DEF1,greendr01
54,Keldon Johnson,21,SAS,SF,69,67,1968,.479,9.7,.743,.391,.277,.045,.030,.257,.531,.652,.374,.500,.429,.331,.673,.917,.047,27,.238,.279,2,0,,johnske04
55,Dennis Schröder,27,LAL,SG,61,61,1956,.437,12.7,.721,.250,.216,.170,.086,.279,.476,.600,.366,.457,.431,.335,.318,.887,.005,1,.142,.167,3,0,,schrode01
56,Kyle Kuzma,25,LAL,SF,68,32,1954,.443,16.0,.498,.240,.124,.063,.070,.502,.525,.687,.394,.292,.415,.361,.545,.927,.048,29,.295,.357,1,0,,kuzmaky01
57,P.J. Washington,22,CHO,PF,64,61,1954,.440,13.4,.577,.283,.233,.036,.025,.423,.480,.613,.375,.280,.235,.386,.805,.946,.087,48,.224,.415,1,0,,washipj01
58,Reggie Bullock,29,NYK,SF,65,64,1949,.442,20.8,.291,.087,.052,.061,.091,.709,.521,.633,.379,.500,.510,.410,.859,.975,.002,1,.317,.468,1,0,,bullore01
59,Danny Green,33,PHI,SF,69,69,1934,.412,21.5,.206,.059,.072,.042,.033,.794,.438,.500,.333,.565,.389,.405,.673,.920,.004,2,.456,.442,2,0,,greenda02
60,Miles Bridges,22,CHO,PF,66,19,1932,.503,14.0,.534,.338,.141,.019,.035,.466,.593,.729,.420,.167,.227,.400,.716,.819,.145,82,.324,.436,3,0,6MOY-12,bridgmi02
61,Malcolm Brogdon,28,IND,PG,56,56,1930,.453,14.3,.618,.309,.111,.081,.117,.382,.493,.554,.404,.443,.452,.388,.247,.662,.009,8,.107,.475,0,0,,brogdma01
