Rank,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards,Player-additional
1,Mikal Bridges,25,PHO,SF,82,82,2854,7.7,14.5,.534,1.9,5.3,.369,5.8,9.2,.628,.601,2.2,2.6,.834,1.2,4.6,5.9,3.1,1.6,0.6,1.1,2.5,19.6,125,110,DPOY-2DEF1,bridgmi01
2,Miles Bridges,23,CHO,PF,80,80,2837,10.1,20.5,.491,2.6,7.9,.331,7.5,12.7,.590,.554,4.5,5.6,.802,1.5,7.9,9.5,5.1,1.3,1.1,2.5,3.3,27.3,117,114,,bridgmi02
3,DeMar DeRozan,32,CHI,PF,76,76,2743,13.8,27.3,.504,0.9,2.5,.352,12.9,24.8,.520,.521,9.3,10.6,.877,1.0,6.0,7.0,6.7,1.2,0.4,3.2,3.2,37.7,117,115,MVP-10ASNBA2,derozde01
4,Jayson Tatum,23,BOS,SF,76,76,2731,12.9,28.5,.453,4.2,11.8,.353,8.7,16.6,.524,.526,7.3,8.5,.853,1.5,9.5,11.1,6.1,1.4,0.9,3.9,3.2,37.2,113,106,MVP-6ASNBA1,tatumja01
5,Saddiq Bey,22,DET,SF,82,82,2704,8.1,20.5,.396,3.8,11.0,.346,4.3,9.5,.454,.489,3.8,4.6,.827,1.9,6.0,8.0,4.2,1.3,0.3,1.7,2.3,23.8,110,116,,beysa01
6,Tyrese Haliburton,21,2TM,PG,77,77,2695,7.7,16.3,.473,2.9,7.0,.414,4.8,9.3,.517,.562,2.9,3.4,.842,1.1,4.5,5.6,11.3,2.4,0.9,3.6,2.2,21.2,119,115,,halibty01
7,Russell Westbrook,33,LAL,PG,78,78,2678,9.8,22.1,.444,1.4,4.7,.298,8.4,17.3,.485,.476,4.8,7.1,.667,2.0,8.4,10.4,9.8,1.3,0.4,5.3,4.2,25.8,102,114,,westbru01
8,Trae Young,23,ATL,PG,76,76,2652,13.2,28.6,.460,4.3,11.3,.382,8.9,17.3,.512,.536,9.3,10.2,.904,0.9,4.3,5.3,13.7,1.3,0.1,5.6,2.4,39.9,119,118,ASNBA3,youngtr01
9,Tyrese Maxey,21,PHI,PG,75,74,2650,9.1,18.7,.485,2.5,5.8,.427,6.6,12.9,.512,.552,4.0,4.6,.866,0.5,4.0,4.5,6.0,1.0,0.6,1.7,2.9,24.7,121,115,,maxeyty01
10,Dorian Finney-Smith,28,DAL,PF,80,80,2644,6.2,13.2,.471,3.3,8.3,.395,2.9,4.9,.599,.595,1.1,1.6,.675,2.3,4.8,7.1,2.9,1.7,0.7,1.5,3.5,16.8,119,110,,finnedo01
