Rank,Player,Age,Team,Pos,G,GS,MP,PG%,SG%,SF%,PF%,C%,+/- Per 100 Poss_OnCourt,+/- Per 100 Poss_On-Off,BadPass,LostBall,Fouls Committed_Shoot,Fouls Committed_Off.,Fouls Drawn_Shoot,Fouls Drawn_Off.,PGA,And1,Blkd,Awards,-9999
1,Mikal Bridges,25,PHO,SF,82,82,2854,0,8,88,3,0,10.4,9.5,39,17,64,5,85,18,437,29,29,DPOY-2DEF1,bridgmi01
2,Miles Bridges,23,CHO,PF,80,80,2837,0,0,21,69,10,2.2,5.8,76,40,90,19,161,18,754,38,62,,bridgmi02
3,DeMar DeRozan,32,CHI,PF,76,76,2743,0,0,11,81,8,1.2,5.1,86,61,89,18,287,12,948,74,84,MVP-10ASNBA2,derozde01
4,Jayson Tatum,23,BOS,SF,76,76,2731,0,1,67,32,0,12.1,13.8,98,71,66,32,186,10,833,41,81,MVP-6ASNBA1,tatumja01
5,Saddiq Bey,22,DET,SF,82,82,2704,0,7,59,34,0,-9.5,-4.7,46,14,44,18,117,5,561,26,52,,beysa01
6,Tyrese Haliburton,21,2TM,PG,77,77,2695,33,63,4,0,0,-6.0,-1.5,136,34,52,9,81,11,1479,18,36,,halibty01
7,Russell Westbrook,33,LAL,PG,78,78,2678,89,11,1,0,0,-4.3,-3.6,182,66,79,22,176,14,1303,36,81,,westbru01
8,Trae Young,23,ATL,PG,76,76,2652,100,0,0,0,0,2.9,3.4,218,54,47,9,150,28,1709,31,91,ASNBA3,youngtr01
9,Tyrese Maxey,21,PHI,PG,75,74,2650,99,1,0,0,0,3.4,2.2,48,22,83,9,116,4,774,36,54,,maxeyty01
10,Dorian Finney-Smith,28,DAL,PF,80,80,2644,0,0,33,65,2,4.9,3.8,41,11,80,10,36,5,364,7,24,,finnedo01
11,Scottie Barnes,20,TOR,PF,74,74,2617,0,4,41,49,6,1.5,-2.0,82,25,81,12,106,16,622,30,38,ROY-1,barnesc01
12,Harrison Barnes,29,SAC,PF,77,77,2587,0,0,50,50,1,-6.7,-3.6,46,50,41,15,186,18,451,50,48,,barneha02
13,Pascal Siakam,27,TOR,PF,68,68,2578,0,0,9,58,33,4.5,6.6,91,49,95,27,180,6,891,49,61,NBA3,siakapa01
14,Julius Randle,27,NYK,PF,72,72,2544,0,0,1,92,7,-3.0,-9.5,111,74,83,37,165,5,976,42,66,,randlju01
15,Tobias Harris,29,PHI,PF,73,73,2543,0,0,0,97,3,3.3,1.7,43,42,91,23,100,2,597,30,71,,harrito02
16,Jalen Brunson,25,DAL,SG,79,61,2524,35,61,5,0,0,4.4,2.3,71,29,60,14,83,44,945,26,38,,brunsja01
17,Buddy Hield,29,2TM,SG,81,32,2499,0,35,62,3,0,-4.0,1.3,84,45,86,10,29,7,548,8,57,,hieldbu01
18,Nikola Jokić,26,DEN,C,74,74,2476,0,0,0,0,100,8.4,16.4,173,76,101,21,188,10,1356,72,66,MVP-1ASNBA1,jokicni01
19,Karl-Anthony Towns,26,MIN,C,74,74,2476,0,0,0,0,100,4.8,6.3,86,37,109,67,218,8,674,68,92,ASNBA3,townska01
20,Anthony Edwards,20,MIN,SG,72,72,2466,2,25,70,4,0,3.7,3.4,87,61,59,16,124,4,703,30,44,,edwaran01
21,Fred VanVleet,27,TOR,PG,65,65,2462,97,3,0,0,0,3.8,4.1,105,44,64,10,78,21,1022,17,48,AS,vanvlfr01
22,Terry Rozier,27,CHO,SG,73,73,2458,31,69,0,0,0,1.2,1.6,60,22,62,7,71,25,795,29,46,,roziete01
23,Gary Trent Jr.,23,TOR,SG,70,69,2448,13,84,2,0,0,3.3,3.0,29,22,48,16,67,16,351,13,44,,trentga02
24,Darius Garland,22,CLE,PG,68,68,2430,95,5,0,0,0,6.7,12.1,143,61,49,14,77,19,1345,20,51,AS,garlada01
25,Franz Wagner,20,ORL,SF,79,79,2429,0,1,74,25,0,-5.0,8.4,58,36,81,7,102,15,551,20,85,ROY-5,wagnefr01
26,LaMelo Ball,20,CHO,PG,75,75,2422,94,6,0,0,0,1.2,1.7,156,39,84,17,91,15,1338,23,51,AS,ballla01
27,James Harden,32,2TM,PG,65,65,2419,59,40,1,0,0,3.9,2.7,173,72,66,19,231,6,1536,52,92,AS,hardeja01
28,Nikola Vučević,31,CHI,C,73,73,2418,0,0,0,0,100,-1.8,-3.7,61,43,122,18,51,4,587,15,46,,vucevni01
29,RJ Barrett,21,NYK,SF,70,70,2417,0,2,93,5,0,-2.8,-7.9,83,46,71,11,197,16,496,40,105,,barrerj01
30,Royce O'Neale,28,UTA,SF,77,77,2406,0,18,78,5,0,5.0,-2.9,52,9,83,7,20,16,480,8,15,,onealro01
31,Keldon Johnson,22,SAS,SF,75,74,2392,0,2,41,56,1,1.7,4.0,39,29,72,18,116,13,390,32,63,,johnske04
32,Aaron Gordon,26,DEN,PF,75,75,2376,0,0,3,86,11,5.9,9.0,48,39,55,27,110,6,436,33,52,,gordoaa01
33,Dejounte Murray,25,SAS,PG,68,68,2366,92,8,0,0,0,1.0,2.3,117,46,52,11,115,9,1471,32,58,AS,murrade01
34,Evan Fournier,29,NYK,SG,80,80,2358,34,57,9,0,0,-2.4,-6.7,55,33,75,10,49,9,414,14,31,,fournev01
35,Patty Mills,33,BRK,SG,81,48,2346,18,68,14,0,0,1.4,0.0,46,15,39,6,19,36,414,6,25,,millspa02
36,Devin Booker,25,PHO,SG,68,68,2345,4,81,15,0,0,9.7,4.8,96,37,76,16,132,9,788,37,56,MVP-4ASNBA1,bookede01
37,Reggie Jackson,31,LAC,SG,75,75,2337,76,24,0,0,0,-1.0,-2.9,119,35,64,10,57,24,859,10,38,,jacksre01
38,Herbert Jones,23,NOP,PF,78,69,2335,0,0,23,75,2,1.5,6.3,39,23,96,16,70,22,394,15,55,ROY-6,joneshe01
39,Evan Mobley,20,CLE,PF,69,69,2331,0,0,1,76,23,2.1,0.0,39,64,100,9,121,2,418,30,50,ROY-2,mobleev01
40,Kentavious Caldwell-Pope,28,WAS,SG,77,77,2329,1,51,48,0,0,-4.5,-3.1,50,37,66,6,62,30,327,15,22,,caldwke01
41,Andrew Wiggins,26,GSW,SF,73,73,2329,0,2,64,32,2,5.9,0.5,49,34,84,15,122,11,413,31,43,AS,wiggian01
42,Zach LaVine,26,CHI,SG,67,67,2328,1,50,48,2,0,-0.6,-0.7,69,69,61,14,154,1,702,35,61,AS,lavinza01
43,Alec Burks,30,NYK,SG,81,44,2318,0,50,49,1,0,3.0,6.6,56,20,95,11,112,23,579,25,28,,burksal01
44,Terance Mann,25,LAC,SF,81,33,2317,0,19,61,19,0,1.9,4.1,38,22,57,13,75,17,532,15,44,,mannte01
45,Luka Dončić,22,DAL,PG,65,65,2301,80,19,0,0,0,3.6,0.2,187,67,59,18,216,5,1381,55,44,MVP-5ASNBA1,doncilu01
46,Joel Embiid,27,PHI,C,68,68,2297,0,0,0,0,100,7.5,11.5,82,83,92,29,371,2,699,85,82,MVP-2ASNBA2,embiijo01
47,Marcus Smart,27,BOS,PG,71,71,2296,63,37,0,0,0,9.7,4.7,106,32,59,12,67,44,977,19,28,DPOY-1DEF1,smartma01
48,Jordan Poole,22,GSW,SG,76,51,2283,33,62,5,0,0,6.3,1.4,95,49,77,18,101,19,723,27,57,,poolejo01
49,Will Barton,31,DEN,SG,71,71,2277,1,84,15,0,0,1.8,-1.2,64,45,62,10,59,8,646,11,47,,bartowi01
50,Desmond Bane,23,MEM,SG,76,76,2266,0,58,41,1,0,7.4,3.8,43,32,92,17,53,2,518,16,67,,banede01
51,Donovan Mitchell,25,UTA,SG,67,67,2266,11,81,7,0,0,5.8,-0.8,95,79,56,17,137,12,892,43,47,AS,mitchdo01
52,Jonas Valančiūnas,29,NOP,C,74,74,2240,0,0,0,0,100,0.6,3.9,57,40,118,53,133,6,435,31,40,,valanjo01
53,Monte Morris,26,DEN,PG,75,74,2239,91,9,0,0,0,5.9,8.1,54,12,41,5,34,13,787,8,34,,morrimo01
54,Jaylen Brown,25,BOS,SF,66,66,2220,0,45,47,8,0,10.1,5.4,74,64,67,18,150,13,566,37,95,,brownja02
55,Stephen Curry,33,GSW,PG,64,64,2211,97,3,0,0,0,10.1,10.0,120,52,52,16,105,13,945,25,39,MVP-8ASNBA2,curryst01
56,Jrue Holiday,31,MIL,PG,67,64,2207,75,25,0,0,0,9.4,14.0,101,60,63,8,75,10,1110,11,42,DPOY-8DEF2,holidjr01
57,Giannis Antetokounmpo,27,MIL,PF,67,67,2204,0,0,1,65,34,8.0,11.0,71,66,87,48,362,3,1020,85,63,MVP-3DPOY-6ASNBA1DEF1,antetgi01
58,Kyle Kuzma,26,WAS,PF,66,66,2204,0,0,3,85,12,-5.6,-5.3,73,48,71,19,98,6,554,25,34,,kuzmaky01
59,Derrick White,27,2TM,SG,75,52,2199,15,80,5,0,0,4.9,3.2,67,36,93,5,109,51,850,27,29,,whitede01
60,Kevin Huerter,23,ATL,SF,74,60,2188,0,58,42,1,0,4.0,4.8,50,23,82,5,20,6,484,5,23,,huertke01
61,Devonte' Graham,26,NOP,PG,76,63,2162,93,7,0,0,0,0.0,2.4,73,23,45,4,45,17,741,13,23,,grahade01
62,Tyler Herro,22,MIA,SG,66,10,2151,23,66,11,0,0,5.7,2.5,91,52,45,8,81,12,632,16,75,6MOY-1,herroty01
63,CJ McCollum,30,2TM,PG,62,62,2145,19,76,5,0,0,-1.2,6.3,70,31,48,11,77,7,748,25,56,,mccolcj01
64,Jordan Clarkson,29,UTA,SG,79,1,2141,41,55,4,0,0,8.2,4.7,52,48,45,11,75,8,476,27,40,6MOY-4,clarkjo01
