Rank,Team,G,MP,FG%,Dist.,,2P,0-3,3-10,10-16,16-3P,3P,,2P,0-3,3-10,10-16,16-3P,3P,,2P,3P,,%FGA,Md.,,%FGA,Md.,,%3PA,3P%
1,Atlanta Hawks*,82,19705,.471,14.2,,.604,.256,.161,.101,.078,.396,,.541,.690,.429,.456,.398,.364,,.503,.821,,.059,379,,.251,1060,,.229,.386
2,Boston Celtics*,82,19905,.434,14.9,,.604,.188,.219,.099,.090,.396,,.497,.700,.408,.410,.378,.339,,.459,.783,,.047,315,,.250,922,,.212,.356
3,Brooklyn Nets*,82,19755,.452,14.2,,.598,.252,.173,.089,.074,.402,,.523,.681,.403,.423,.398,.345,,.493,.773,,.058,380,,.263,1050,,.241,.370
4,Chicago Bulls*,82,19730,.474,13.4,,.635,.297,.169,.091,.078,.365,,.536,.675,.420,.413,.398,.366,,.514,.829,,.057,373,,.287,1166,,.236,.427
5,Charlotte Hornets,82,19880,.466,14.4,,.571,.266,.170,.076,.059,.429,,.544,.685,.427,.408,.423,.362,,.528,.833,,.069,437,,.266,1084,,.278,.376
6,Cleveland Cavaliers,82,19730,.452,13.7,,.620,.291,.160,.092,.070,.380,,.514,.628,.413,.414,.401,.353,,.515,.819,,.060,378,,.266,1023,,.268,.381
7,Dallas Mavericks*,82,19755,.457,13.9,,.624,.238,.206,.107,.073,.376,,.527,.701,.442,.425,.354,.340,,.515,.827,,.057,348,,.255,1033,,.250,.377
8,Denver Nuggets*,82,19805,.470,14.2,,.609,.222,.219,.099,.069,.391,,.549,.730,.470,.444,.372,.346,,.533,.830,,.059,384,,.262,1109,,.235,.370
9,Detroit Pistons,82,19780,.473,13.7,,.622,.259,.216,.077,.070,.378,,.540,.674,.469,.439,.377,.362,,.534,.824,,.066,406,,.284,1126,,.253,.421
10,Golden State Warriors*,82,19730,.438,14.8,,.585,.176,.257,.089,.063,.415,,.509,.688,.457,.428,.335,.339,,.487,.846,,.046,296,,.268,1037,,.243,.397
11,Houston Rockets,82,19755,.483,14.0,,.598,.275,.177,.083,.062,.402,,.570,.713,.457,.457,.414,.353,,.503,.800,,.075,495,,.267,1157,,.241,.377
12,Indiana Pacers,82,19880,.483,13.6,,.633,.258,.199,.099,.068,.367,,.547,.694,.455,.444,.425,.372,,.501,.795,,.065,411,,.277,1149,,.227,.401
13,Los Angeles Clippers,82,19780,.450,13.7,,.626,.246,.213,.100,.059,.374,,.513,.660,.424,.416,.383,.345,,.500,.804,,.055,355,,.270,1076,,.215,.358
14,Los Angeles Lakers,82,19980,.470,14.0,,.605,.255,.193,.086,.065,.395,,.548,.715,.435,.417,.397,.352,,.518,.832,,.062,410,,.269,1151,,.206,.379
15,Memphis Grizzlies*,82,19780,.455,13.9,,.611,.267,.176,.096,.065,.389,,.522,.653,.414,.435,.408,.349,,.531,.804,,.063,397,,.269,1056,,.174,.391
16,Miami Heat*,82,19855,.447,15.4,,.544,.215,.171,.092,.060,.456,,.537,.703,.445,.415,.402,.339,,.502,.822,,.045,281,,.234,934,,.264,.373
17,Milwaukee Bucks*,82,19755,.456,15.6,,.552,.212,.161,.102,.071,.448,,.537,.695,.442,.439,.413,.356,,.508,.820,,.047,311,,.231,974,,.208,.358
18,Minnesota Timberwolves*,82,19780,.460,14.3,,.573,.258,.164,.085,.059,.427,,.543,.705,.409,.394,.421,.350,,.553,.837,,.066,430,,.267,1061,,.282,.378
19,New Orleans Pelicans*,82,19755,.471,14.8,,.584,.229,.169,.099,.077,.416,,.546,.707,.460,.445,.397,.365,,.514,.817,,.047,299,,.247,1018,,.225,.407
20,New York Knicks,82,19780,.447,14.8,,.570,.259,.149,.088,.074,.430,,.527,.664,.422,.447,.353,.342,,.526,.838,,.054,347,,.259,1006,,.234,.346
21,Oklahoma City Thunder,82,19805,.458,14.8,,.573,.191,.230,.078,.066,.427,,.536,.679,.484,.474,.370,.353,,.514,.843,,.057,350,,.268,1092,,.261,.397
22,Orlando Magic,82,19780,.458,14.8,,.592,.211,.201,.100,.081,.408,,.524,.663,.457,.444,.425,.363,,.507,.819,,.055,369,,.253,990,,.222,.392
23,Philadelphia 76ers*,82,19805,.458,14.0,,.621,.252,.187,.109,.073,.379,,.527,.695,.405,.410,.434,.346,,.514,.794,,.062,395,,.258,1020,,.217,.369
24,Phoenix Suns*,82,19730,.444,14.6,,.613,.193,.230,.098,.084,.387,,.510,.678,.456,.437,.361,.340,,.490,.773,,.043,280,,.260,1046,,.193,.355
25,Portland Trail Blazers,82,19730,.479,14.4,,.568,.268,.162,.076,.056,.432,,.561,.697,.458,.413,.429,.371,,.545,.826,,.063,398,,.256,1067,,.279,.397
26,Sacramento Kings,82,19805,.479,13.9,,.614,.247,.200,.087,.071,.386,,.547,.712,.437,.423,.437,.372,,.481,.801,,.060,396,,.278,1180,,.223,.396
27,San Antonio Spurs,82,19805,.466,13.6,,.631,.264,.207,.092,.068,.369,,.528,.649,.435,.442,.452,.360,,.468,.811,,.057,359,,.304,1200,,.198,.410
28,Toronto Raptors*,82,19855,.462,14.4,,.587,.238,.194,.087,.060,.413,,.538,.703,.417,.436,.419,.354,,.541,.864,,.062,375,,.260,1002,,.306,.386
29,Utah Jazz*,82,19730,.453,14.6,,.612,.194,.219,.119,.081,.388,,.518,.705,.433,.438,.416,.350,,.494,.777,,.049,313,,.243,997,,.211,.370
30,Washington Wizards,82,19830,.464,14.2,,.642,.200,.238,.111,.086,.358,,.522,.699,.455,.440,.404,.361,,.482,.792,,.057,354,,.263,1054,,.204,.403
