Rank,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards,Player-additional
1,Mikal Bridges,26,2TM,SG,83,83,2963,9.8,20.9,.468,2.8,7.3,.382,7.0,13.6,.514,.535,5.2,5.8,.895,1.3,4.7,6.0,4.5,1.5,1.0,2.1,2.6,27.6,118,115,,bridgmi01
2,Anthony Edwards,21,MIN,SG,79,79,2842,11.8,25.8,.459,3.6,9.7,.369,8.3,16.1,.513,.528,5.3,7.1,.756,0.8,6.9,7.7,5.9,2.1,1.0,4.3,3.1,32.5,106,113,AS,edwaran01
3,Zach LaVine,27,CHI,SG,77,77,2768,11.8,24.4,.485,3.6,9.6,.375,8.3,14.9,.556,.558,6.4,7.5,.848,0.7,5.3,6.1,5.8,1.2,0.3,3.4,2.8,33.7,116,115,,lavinza01
4,Nikola Vučević,32,CHI,C,82,82,2746,10.6,20.4,.520,2.1,6.2,.349,8.4,14.2,.594,.573,2.3,2.8,.835,2.8,13.2,16.0,4.7,1.1,1.0,2.5,3.2,25.7,117,110,,vucevni01
5,Julius Randle,28,NYK,PF,77,77,2737,11.9,25.9,.459,3.9,11.5,.343,7.9,14.4,.553,.536,7.3,9.6,.757,2.5,11.3,13.9,5.7,0.9,0.4,3.9,4.2,35.0,117,114,CPOY-14ASNBA3,randlju01
6,Domantas Sabonis,26,SAC,C,79,79,2736,10.1,16.4,.615,0.5,1.5,.373,9.5,15.0,.639,.632,5.7,7.7,.742,4.4,12.6,17.0,10.0,1.1,0.7,4.0,4.9,26.4,132,114,MVP-7ASNBA3,sabondo01
7,Jayson Tatum,24,BOS,SF,74,74,2732,13.0,27.8,.466,4.3,12.2,.350,8.7,15.6,.558,.543,9.5,11.1,.854,1.4,10.2,11.6,6.1,1.4,0.9,3.8,2.9,39.7,118,110,MVP-4CPOY-10ASNBA1,tatumja01
8,Spencer Dinwiddie,29,2TM,SG,79,79,2725,8.3,19.0,.438,3.3,8.9,.369,5.1,10.2,.498,.524,4.9,6.0,.812,0.5,4.4,4.9,9.3,1.2,0.4,2.6,3.4,24.8,118,118,,dinwisp01
9,Evan Mobley,21,CLE,PF,79,79,2715,9.7,17.5,.554,0.4,1.9,.216,9.3,15.6,.595,.566,3.8,5.6,.674,3.5,9.7,13.1,4.1,1.1,2.2,2.7,4.0,23.6,117,108,DPOY-3DEF1,mobleev01
10,Dejounte Murray,26,ATL,SG,74,74,2693,10.8,23.3,.464,2.4,6.9,.344,8.5,16.5,.514,.514,2.8,3.4,.832,0.9,5.9,6.9,7.9,2.0,0.3,2.8,1.9,26.8,112,116,,murrade01
