Rank,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Indiana Pacers*,82,19705,3855,7599,.507,1082,2891,.374,2773,4708,.589,1318,1685,.782,827,2578,3405,2522,631,481,1059,1756,10110
2,Boston Celtics*,82,19830,3601,7396,.487,1351,3482,.388,2250,3914,.575,1334,1654,.807,876,2923,3799,2207,557,538,979,1326,9887
3,Oklahoma City Thunder*,82,19805,3653,7324,.499,1090,2805,.389,2563,4519,.567,1451,1759,.825,722,2725,3447,2223,694,538,1039,1545,9847
4,Milwaukee Bucks*,82,19805,3538,7258,.487,1163,3122,.373,2375,4136,.574,1517,1960,.774,772,2850,3622,2176,558,413,1059,1574,9756
5,Atlanta Hawks,82,19855,3529,7584,.465,1125,3092,.364,2404,4492,.535,1520,1906,.797,1024,2639,3663,2180,615,369,1110,1522,9703
6,Los Angeles Lakers*,82,19855,3580,7177,.499,969,2572,.377,2611,4605,.567,1550,1983,.782,676,2859,3535,2340,605,453,1146,1283,9679
7,Dallas Mavericks*,82,19705,3535,7352,.481,1197,3242,.369,2338,4110,.569,1397,1842,.758,797,2724,3521,2106,563,406,1027,1500,9664
8,Golden State Warriors,82,19830,3582,7515,.477,1211,3191,.380,2371,4324,.548,1282,1644,.780,996,2834,3830,2402,572,377,1174,1598,9657
9,Sacramento Kings,82,19855,3553,7455,.477,1178,3219,.366,2375,4236,.561,1274,1710,.745,888,2719,3607,2324,625,342,1078,1632,9558
10,Phoenix Suns*,82,19780,3482,7063,.493,1020,2671,.382,2462,4392,.561,1548,1915,.808,831,2783,3614,2218,610,492,1221,1475,9532
11,Utah Jazz,82,19805,3443,7371,.467,1060,2993,.354,2383,4378,.544,1538,1853,.830,1002,2725,3727,2232,537,458,1285,1523,9484
12,Los Angeles Clippers*,82,19705,3473,7108,.489,1036,2719,.381,2437,4389,.555,1499,1817,.825,822,2701,3523,2097,640,413,1078,1519,9481
13,New Orleans Pelicans*,82,19705,3484,7165,.486,1023,2673,.383,2461,4492,.548,1445,1873,.771,852,2753,3605,2210,684,378,1067,1508,9436
14,Denver Nuggets*,82,19705,3610,7279,.496,958,2560,.374,2652,4719,.562,1240,1628,.762,881,2763,3644,2415,585,457,1036,1489,9418
15,Philadelphia 76ers*,82,19780,3404,7331,.464,992,2733,.363,2412,4598,.525,1597,1934,.826,906,2616,3522,2041,694,492,984,1668,9397
16,Houston Rockets,82,19855,3425,7459,.459,1043,2964,.352,2382,4495,.530,1482,1916,.773,940,2787,3727,2035,639,375,1045,1702,9375
17,Washington Wizards,82,19730,3523,7493,.470,1015,2915,.348,2508,4578,.548,1266,1657,.764,755,2613,3368,2288,623,415,1147,1637,9327
18,Minnesota Timberwolves*,82,19805,3383,6974,.485,1037,2681,.387,2346,4293,.546,1461,1881,.777,770,2807,3577,2184,647,497,1162,1544,9264
19,New York Knicks*,82,19730,3385,7272,.465,1083,2936,.369,2302,4336,.531,1396,1789,.780,1039,2665,3704,1998,612,336,1085,1447,9249
20,Cleveland Cavaliers*,82,19805,3425,7148,.479,1108,3016,.367,2317,4132,.561,1278,1671,.765,807,2742,3549,2299,605,380,1112,1436,9236
21,Toronto Raptors,82,19805,3466,7356,.471,942,2712,.347,2524,4644,.543,1339,1772,.756,891,2607,3498,2335,634,388,1147,1509,9213
22,Chicago Bulls,82,19980,3448,7339,.470,941,2630,.358,2507,4709,.532,1369,1731,.791,916,2677,3593,2048,638,394,1004,1541,9206
23,San Antonio Spurs,82,19830,3438,7436,.462,1036,2983,.347,2402,4453,.539,1280,1637,.782,849,2778,3627,2449,584,520,1242,1414,9192
24,Orlando Magic*,82,19780,3318,6964,.476,903,2568,.352,2415,4396,.549,1519,2002,.759,861,2608,3469,2023,669,423,1206,1618,9058
25,Brooklyn Nets,82,19805,3334,7307,.456,1089,3010,.362,2245,4297,.522,1293,1711,.756,938,2675,3613,2102,556,424,1076,1516,9050
26,Miami Heat*,82,19755,3266,7022,.465,1022,2765,.370,2244,4257,.527,1478,1806,.818,766,2702,3468,2116,617,280,1038,1415,9032
27,Detroit Pistons,82,19755,3353,7236,.463,906,2602,.348,2447,4634,.528,1398,1780,.785,861,2692,3553,2088,531,384,1248,1688,9010
28,Charlotte Hornets,82,19730,3281,7133,.460,989,2788,.355,2292,4345,.528,1189,1512,.786,765,2538,3303,2033,562,371,1129,1472,8740
29,Portland Trail Blazers,82,19880,3227,7356,.439,939,2723,.345,2288,4633,.494,1329,1680,.791,1036,2469,3505,1894,627,354,1249,1654,8722
30,Memphis Grizzlies,82,19780,3145,7230,.435,1071,3097,.346,2074,4133,.502,1316,1722,.764,896,2598,3494,2025,673,501,1236,1563,8677
