Rank,Player,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK,-9999
1,Trey Alexander,Oct 24 '24 DEN vs. OKC,21,2,29,159,19,50,5,20,3,4,1,16,16,3,2,6,14,46,.380,.250,.750,5.5,1.6,0.6,0.6,0.1,0.1,alexatr01
2,Marcus Bagley,Mar 24 '25 PHI @ NOP,23,1,10,253,27,69,5,32,8,10,23,70,10,9,12,7,16,67,.391,.156,.800,25.3,6.7,7.0,1.0,0.9,1.2,baglema02
3,Jamison Battle,Oct 23 '24 TOR vs. CLE,23,2,108,1460,204,456,132,324,22,27,54,230,71,23,12,43,126,562,.447,.407,.815,13.5,5.2,2.1,0.7,0.2,0.1,battlja01
4,Damion Baugh,Feb 12 '25 CHO @ ORL,24,1,15,370,42,130,12,56,13,15,14,50,56,15,2,31,22,109,.323,.214,.867,24.7,7.3,3.3,3.7,1.0,0.1,baughda01
5,Reece Beekman,Oct 29 '24 GSW vs. NOP,23,1,36,469,35,107,7,40,16,21,13,39,63,33,2,21,36,93,.327,.175,.762,13.0,2.6,1.1,1.8,0.9,0.1,beekmre01
6,Adem Bona,Oct 23 '24 PHI vs. MIL,21,2,116,1915,238,369,2,6,128,188,198,499,51,48,140,106,255,606,.645,.333,.681,16.5,5.2,4.3,0.4,0.4,1.2,bonaad01
7,Jalen Bridges,Nov 13 '24 PHO @ SAC,23,1,8,30,2,7,2,7,3,4,0,4,0,0,0,4,0,9,.286,.286,.750,3.8,1.1,0.5,0.0,0.0,0.0,bridgja01
8,Keion Brooks Jr.,Feb 5 '25 NOP @ DEN,24,1,14,332,53,109,14,43,22,30,12,58,13,10,10,12,30,142,.486,.326,.733,23.7,10.1,4.1,0.9,0.7,0.7,brookke02
9,Matas Buzelis,Oct 23 '24 CHI @ NOP,20,2,147,3451,637,1376,246,681,249,313,124,654,219,74,176,207,284,1769,.463,.361,.796,23.5,12.0,4.4,1.5,0.5,1.2,buzelma01
10,Branden Carlson,Nov 25 '24 OKC @ SAC,25,2,67,622,113,231,43,127,23,35,41,146,35,11,39,20,52,292,.489,.339,.657,9.3,4.4,2.2,0.5,0.2,0.6,carlsbr01
11,Bub Carrington,Oct 24 '24 WAS vs. BOS,19,2,149,4286,529,1315,264,734,133,172,64,582,670,98,36,293,339,1455,.402,.360,.773,28.8,9.8,3.9,4.5,0.7,0.2,carrica01
12,Devin Carter,Jan 3 '25 SAC vs. MEM,22,2,63,782,112,291,30,123,67,95,41,146,98,43,9,47,69,321,.385,.244,.705,12.4,5.1,2.3,1.6,0.7,0.1,cartede02
13,Stephon Castle,Oct 24 '24 SAS @ DAL,20,2,139,3899,753,1693,160,542,493,676,168,593,740,145,40,361,359,2159,.445,.295,.729,28.1,15.5,4.3,5.3,1.0,0.3,castlst01
14,Ulrich Chomche,Oct 23 '24 TOR vs. CLE,19,1,7,32,2,5,0,0,1,2,4,8,2,0,1,2,5,5,.400,,.500,4.6,0.7,1.1,0.3,0.0,0.1,chomcul01
15,Cam Christie,Dec 4 '24 LAC vs. MIN,19,2,58,476,53,146,14,60,36,50,19,79,32,17,4,19,22,156,.363,.233,.720,8.2,2.7,1.4,0.6,0.3,0.1,chrisca02
16,Jaylen Clark,Jan 9 '25 MIN @ ORL,23,2,99,1261,136,304,46,129,67,97,73,155,58,75,10,27,136,385,.447,.357,.691,12.7,3.9,1.6,0.6,0.8,0.1,clarkja02
17,Donovan Clingan,Oct 23 '24 POR vs. GSW,20,2,131,3073,470,889,79,247,183,284,509,1270,217,69,211,148,337,1202,.529,.320,.644,23.5,9.2,9.7,1.7,0.5,1.6,clingdo01
18,Isaiah Collier,Nov 7 '24 UTA @ MIL,20,2,129,3328,485,1061,69,267,250,356,53,382,863,129,35,351,285,1289,.457,.258,.702,25.8,10.0,3.0,6.7,1.0,0.3,colliis01
19,Yuri Collins,Feb 23 '25 GSW vs. DAL,23,1,2,16,1,3,0,0,0,0,2,3,4,2,0,0,5,2,.333,,,8.0,1.0,1.5,2.0,1.0,0.0,colliyu01
20,Isaiah Crawford,Dec 8 '24 SAC vs. UTA,23,2,26,113,10,24,3,13,5,8,3,18,5,3,5,3,5,28,.417,.231,.625,4.3,1.1,0.7,0.2,0.1,0.2,crawfis01
21,Cui Yongxi,Oct 27 '24 BRK vs. MIL,21,1,5,10,1,7,0,3,1,2,0,2,0,0,0,0,0,3,.143,.000,.500,2.0,0.6,0.4,0.0,0.0,0.0,cuiyo01
22,Tristan Da Silva,Oct 23 '24 ORL @ MIA,23,2,136,3134,420,978,181,500,103,118,120,479,205,92,39,108,183,1124,.429,.362,.873,23.0,8.3,3.5,1.5,0.7,0.3,dasiltr01
23,Pacôme Dadiet,Oct 22 '24 NYK @ BOS,19,2,41,197,18,54,11,34,10,12,6,36,14,6,3,5,12,57,.333,.324,.833,4.8,1.4,0.9,0.3,0.1,0.1,dadiepa01
24,N'Faly Dante,Mar 3 '25 HOU @ OKC,23,2,8,66,11,17,0,0,5,6,9,28,2,3,5,3,10,27,.647,,.833,8.3,3.4,3.5,0.3,0.4,0.6,nfalyda01
25,RayJ Dennis,Jan 10 '25 IND vs. GSW,23,2,27,250,33,106,18,60,10,11,10,35,44,11,6,20,24,94,.311,.300,.909,9.3,3.5,1.3,1.6,0.4,0.2,dennira01
26,Rob Dillingham,Nov 2 '24 MIN @ SAS,20,2,100,1169,189,481,49,151,35,51,27,140,211,57,4,119,114,462,.393,.325,.686,11.7,4.6,1.4,2.1,0.6,0.0,dilliro01
27,Alex Ducas,Oct 24 '24 OKC @ DEN,24,1,21,125,12,30,10,21,2,2,9,26,5,5,0,4,12,36,.400,.476,1.000,6.0,1.7,1.2,0.2,0.2,0.0,ducasal01
28,Ryan Dunn,Oct 23 '24 PHO @ LAC,22,2,133,2555,339,785,129,408,39,79,175,506,140,93,64,87,283,846,.432,.316,.494,19.2,6.4,3.8,1.1,0.7,0.5,dunnry01
29,Zach Edey,Oct 23 '24 MEM @ UTA,22,2,77,1700,313,531,19,57,115,159,275,670,77,43,106,114,219,760,.589,.333,.723,22.1,9.9,8.7,1.0,0.6,1.4,edeyza01
30,Jesse Edwards,Mar 2 '25 MIN @ PHO,24,1,2,5,0,0,0,0,0,0,0,0,1,0,0,0,2,0,,,,2.5,0.0,0.0,0.5,0.0,0.0,edwarje01
31,Justin Edwards,Nov 24 '24 PHI vs. LAC,21,2,95,1924,277,612,117,324,57,76,69,231,134,88,26,79,178,728,.453,.361,.750,20.3,7.7,2.4,1.4,0.9,0.3,edwarju01
32,Tyson Etienne,Mar 28 '25 BRK vs. LAC,25,2,20,271,32,97,28,86,17,20,5,18,22,5,1,15,35,109,.330,.326,.850,13.6,5.5,0.9,1.1,0.3,0.1,etienty01
33,Kyle Filipowski,Oct 25 '24 UTA vs. GSW,21,2,138,3032,512,1027,136,391,226,321,237,901,296,112,55,207,368,1386,.499,.348,.704,22.0,10.0,6.5,2.1,0.8,0.4,filipky01
34,Trentyn Flowers,Dec 4 '24 LAC vs. MIN,19,2,8,33,6,14,0,3,3,3,2,5,1,0,0,2,5,15,.429,.000,1.000,4.1,1.9,0.6,0.1,0.0,0.0,flowetr01
35,Enrique Freeman,Oct 23 '24 IND @ DET,24,2,24,189,16,37,1,10,13,19,11,33,9,3,4,6,21,46,.432,.100,.684,7.9,1.9,1.4,0.4,0.1,0.2,freemen01
36,Johnny Furphy,Oct 25 '24 IND @ NYK,20,2,85,1022,105,241,38,121,35,57,55,224,60,38,18,41,106,283,.436,.314,.614,12.0,3.3,2.6,0.7,0.4,0.2,furphjo01
37,Kyshawn George,Oct 24 '24 WAS vs. BOS,21,2,116,3193,456,1123,213,614,175,224,92,530,383,116,93,222,370,1300,.406,.347,.781,27.5,11.2,4.6,3.3,1.0,0.8,georgky01
38,Jazian Gortman,Oct 26 '24 DAL @ PHO,21,1,16,57,9,23,4,11,2,4,1,5,6,2,1,5,9,24,.391,.364,.500,3.6,1.5,0.3,0.4,0.1,0.1,gortmja01
39,PJ Hall,Nov 17 '24 DEN @ MEM,22,2,38,280,44,83,5,13,26,33,39,97,14,3,14,18,33,119,.530,.385,.788,7.4,3.1,2.6,0.4,0.1,0.4,hallpj01
40,Elijah Harkless,Jan 11 '25 UTA @ PHO,24,2,29,463,38,119,19,74,35,46,14,48,48,28,4,20,55,130,.319,.257,.761,16.0,4.5,1.7,1.7,1.0,0.1,harklej01
41,Ron Holland,Oct 23 '24 DET vs. IND,19,2,144,2548,391,865,73,317,201,255,115,488,164,124,37,154,285,1056,.452,.230,.788,17.7,7.3,3.4,1.1,0.9,0.3,hollaro01
42,Ariel Hukporti,Oct 22 '24 NYK @ BOS,22,2,73,647,54,91,1,4,27,41,59,185,35,9,38,48,90,136,.593,.250,.659,8.9,1.9,2.5,0.5,0.1,0.5,hukpoar01
43,Oso Ighodaro,Oct 23 '24 PHO @ LAC,22,2,129,2488,294,469,0,3,71,140,171,547,214,91,72,122,280,659,.627,.000,.507,19.3,5.1,4.2,1.7,0.7,0.6,ighodos01
