Rank,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Oklahoma City Thunder*,82,19705,37.9,86.8,.436,13.4,39.3,.342,24.4,47.6,.513,18.3,23.7,.774,11.6,33.2,44.8,24.6,6.7,4.8,17.0,18.1,107.5
2,Orlando Magic*,82,19730,39.6,84.6,.468,11.9,32.5,.365,27.7,52.0,.532,18.6,24.3,.766,9.5,34.2,43.7,23.7,8.0,4.6,16.8,21.1,109.6
3,Los Angeles Clippers*,82,19805,40.3,87.4,.461,13.2,37.8,.350,27.0,49.6,.545,16.5,21.4,.772,9.9,32.4,42.3,26.2,9.0,4.4,15.3,18.1,110.3
4,Houston Rockets*,82,19780,40.9,89.1,.459,12.4,34.9,.357,28.4,54.3,.524,16.6,21.9,.759,10.7,31.9,42.5,23.7,8.0,5.7,14.5,19.4,110.8
5,Boston Celtics*,82,19830,41.8,92.7,.450,13.3,38.5,.347,28.4,54.2,.524,14.3,18.3,.777,11.1,34.2,45.3,24.9,7.2,3.7,13.3,18.2,111.1
6,Minnesota Timberwolves*,82,19830,41.3,89.7,.460,12.9,36.7,.353,28.3,53.0,.534,16.0,20.8,.767,11.3,32.5,43.7,25.3,8.5,4.6,15.0,19.5,111.5
7,Golden State Warriors*,82,19730,40.9,87.8,.465,13.3,36.7,.363,27.6,51.2,.539,16.6,21.6,.769,10.7,33.8,44.5,26.1,7.7,5.4,15.9,18.8,111.7
8,Cleveland Cavaliers*,82,19755,41.2,90.7,.454,13.4,37.4,.359,27.7,53.3,.520,16.4,21.1,.779,11.5,31.9,43.5,25.6,7.8,4.4,14.5,18.9,112.2
9,Miami Heat*,82,19930,42.3,90.9,.466,14.0,38.9,.360,28.3,52.0,.545,14.3,18.4,.776,11.0,34.8,45.8,27.2,7.7,4.8,14.2,17.4,112.9
10,Memphis Grizzlies*,82,19705,40.5,88.8,.456,13.7,38.1,.360,26.8,50.7,.529,18.3,23.7,.770,11.1,31.0,42.1,26.2,8.4,5.3,14.6,19.5,113.0
11,Detroit Pistons*,82,19805,40.4,87.5,.461,13.6,37.1,.366,26.8,50.5,.531,18.7,24.1,.776,10.5,31.8,42.3,24.7,8.8,5.0,15.0,18.8,113.1
12,Milwaukee Bucks*,82,19755,41.8,91.4,.457,14.0,39.6,.353,27.8,51.9,.536,15.9,20.3,.783,11.0,34.4,45.4,26.5,7.4,3.9,12.9,19.0,113.4
13,Indiana Pacers*,82,19855,42.3,89.2,.474,12.8,36.0,.355,29.5,53.2,.554,16.9,21.9,.773,11.1,33.6,44.7,25.8,7.1,4.4,14.9,18.7,114.3
14,New York Knicks*,82,19880,42.6,89.8,.474,13.4,36.5,.367,29.2,53.3,.548,15.8,20.0,.789,11.1,31.7,42.8,25.8,7.2,5.1,14.8,19.4,114.3
15,Los Angeles Lakers*,82,19730,42.3,91.2,.463,13.9,38.9,.356,28.4,52.3,.544,16.2,20.9,.775,11.5,32.5,44.0,27.9,8.4,4.3,14.0,19.6,114.7
