Rank,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Orlando Magic*,82,19730,3125,6680,.468,938,2571,.365,2187,4109,.532,1467,1916,.766,751,2703,3454,1870,635,361,1329,1666,8655
2,Boston Celtics*,82,19830,3302,7331,.450,1055,3041,.347,2247,4290,.524,1128,1451,.777,878,2704,3582,1968,567,295,1048,1438,8787
3,Oklahoma City Thunder*,82,19705,3109,7130,.436,1104,3225,.342,2005,3905,.513,1504,1942,.774,952,2727,3679,2018,549,392,1396,1485,8826
4,Los Angeles Clippers*,82,19805,3240,7032,.461,1064,3038,.350,2176,3994,.545,1330,1723,.772,798,2605,3403,2105,723,352,1233,1458,8874
5,Minnesota Timberwolves*,82,19830,3319,7213,.460,1040,2949,.353,2279,4264,.534,1284,1674,.767,906,2611,3517,2032,687,368,1205,1571,8962
6,Houston Rockets*,82,19780,3322,7244,.459,1010,2833,.357,2312,4411,.524,1348,1776,.759,867,2589,3456,1926,651,467,1175,1577,9002
7,Miami Heat*,82,19930,3383,7262,.466,1118,3109,.360,2265,4153,.545,1139,1468,.776,880,2783,3663,2176,618,382,1133,1390,9023
8,Golden State Warriors*,82,19730,3316,7126,.465,1080,2976,.363,2236,4150,.539,1348,1752,.769,869,2744,3613,2120,621,441,1291,1523,9060
9,New York Knicks*,82,19880,3411,7192,.474,1072,2924,.367,2339,4268,.548,1264,1603,.789,893,2538,3431,2069,575,406,1189,1554,9158
10,Los Angeles Lakers*,82,19730,3392,7319,.463,1112,3124,.356,2280,4195,.544,1302,1680,.775,919,2609,3528,2236,673,344,1121,1576,9198
11,Brooklyn Nets,82,19780,3317,6909,.480,1059,2928,.362,2258,3981,.567,1509,1936,.779,829,2754,3583,2219,660,457,1228,1550,9202
12,Cleveland Cavaliers*,82,19755,3382,7454,.454,1104,3075,.359,2278,4379,.520,1349,1732,.779,947,2624,3571,2101,641,361,1189,1553,9217
13,Milwaukee Bucks*,82,19755,3414,7473,.457,1140,3232,.353,2274,4241,.536,1301,1661,.783,900,2812,3712,2166,602,315,1055,1552,9269
14,Detroit Pistons*,82,19805,3326,7210,.461,1119,3054,.366,2207,4156,.531,1544,1989,.776,863,2618,3481,2035,728,413,1235,1551,9315
15,Portland Trail Blazers,82,19780,3410,7238,.471,1042,2884,.361,2368,4354,.544,1475,1846,.799,978,2650,3628,2147,781,453,1271,1582,9337
16,Charlotte Hornets,82,19755,3409,7293,.467,1163,3277,.355,2246,4016,.559,1384,1752,.790,927,2783,3710,2196,718,435,1089,1488,9365
17,Indiana Pacers*,82,19855,3493,7372,.474,1058,2978,.355,2435,4394,.554,1397,1807,.773,918,2775,3693,2131,588,366,1230,1541,9441
18,Toronto Raptors,82,19805,3377,7242,.466,1079,3093,.349,2298,4149,.554,1610,2070,.778,940,2750,3690,2124,752,484,1238,1484,9443
19,Sacramento Kings,82,19880,3409,7196,.474,1193,3131,.381,2216,4065,.545,1440,1838,.783,819,2653,3472,2212,649,350,1140,1515,9451
20,Dallas Mavericks,82,19730,3531,7521,.469,1054,2904,.363,2477,4617,.536,1346,1728,.779,996,2719,3715,2220,664,375,1086,1532,9462
21,Philadelphia 76ers,82,19805,3475,7118,.488,1167,3084,.378,2308,4034,.572,1382,1741,.794,946,2787,3733,2317,610,420,1311,1530,9499
22,Phoenix Suns,82,19830,3493,7386,.473,1163,3145,.370,2330,4241,.549,1414,1790,.790,945,2678,3623,2235,696,329,1001,1509,9563
23,San Antonio Spurs,82,19730,3595,7587,.474,1177,3226,.365,2418,4361,.554,1201,1520,.790,992,2794,3786,2296,664,356,1121,1428,9568
24,Memphis Grizzlies*,82,19705,3435,7529,.456,1162,3230,.360,2273,4299,.529,1550,2013,.770,945,2625,3570,2217,710,450,1242,1653,9582
25,Denver Nuggets*,82,19855,3554,7629,.466,1156,3170,.365,2398,4459,.538,1319,1697,.777,963,2518,3481,2379,717,420,1062,1562,9583
26,New Orleans Pelicans,82,19755,3585,7419,.483,1199,3289,.365,2386,4130,.578,1410,1794,.786,972,2778,3750,2349,739,428,1148,1471,9779
27,Atlanta Hawks,82,19780,3562,7398,.481,1169,3098,.377,2393,4300,.557,1491,1858,.802,845,2735,3580,2315,755,403,1315,1563,9784
28,Chicago Bulls,82,19755,3642,7791,.467,1118,3250,.344,2524,4541,.556,1386,1764,.786,899,2878,3777,2370,663,417,1032,1374,9788
29,Washington Wizards,82,19730,3583,7611,.471,1170,3213,.364,2413,4398,.549,1540,1941,.793,1059,2949,4008,2334,746,428,1093,1490,9876
30,Utah Jazz,82,19805,3655,7622,.480,1219,3403,.358,2436,4219,.577,1412,1850,.763,957,2670,3627,2429,802,527,968,1580,9941
