Rank,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Cleveland Cavaliers*,82,19755,44.5,90.6,.491,15.9,41.4,.383,28.6,49.2,.581,16.9,21.8,.776,11.2,34.2,45.3,28.0,8.2,4.3,13.2,18.1,121.7
2,Boston Celtics*,82,19830,43.2,93.3,.462,18.4,50.0,.368,24.7,43.3,.571,15.8,19.8,.799,11.8,35.2,47.0,27.1,7.4,5.7,12.3,16.5,120.6
3,Oklahoma City Thunder*,82,19705,44.6,92.6,.482,14.5,38.8,.374,30.1,53.8,.559,16.7,20.4,.819,10.6,34.1,44.7,26.8,10.3,5.7,11.7,19.9,120.3
4,Denver Nuggets*,82,19855,45.1,89.1,.506,11.9,31.7,.376,33.2,57.4,.578,17.8,23.1,.770,11.1,34.3,45.4,30.8,7.9,4.9,14.2,17.5,119.9
5,New York Knicks*,82,19880,44.3,91.3,.486,12.9,34.9,.369,31.5,56.4,.558,16.9,21.2,.800,11.1,32.5,43.6,28.1,8.4,4.0,13.6,17.6,118.5
6,Memphis Grizzlies*,82,19705,43.3,90.3,.479,13.5,36.6,.367,29.8,53.6,.556,17.7,22.5,.786,12.5,33.3,45.7,27.5,8.6,5.4,15.2,20.2,117.7
7,Sacramento Kings,82,19880,43.4,90.8,.478,12.7,35.5,.357,30.7,55.3,.555,17.2,21.4,.806,11.1,33.5,44.6,26.7,7.6,4.4,13.4,19.0,116.7
8,Minnesota Timberwolves*,82,19830,41.8,89.3,.468,15.3,40.7,.377,26.5,48.7,.545,17.6,22.3,.789,11.3,33.9,45.2,26.6,8.1,5.1,14.8,18.6,116.6
9,Indiana Pacers*,82,19855,43.3,88.7,.488,13.1,35.5,.368,30.2,53.2,.568,16.9,21.4,.789,9.1,32.4,41.5,29.0,8.4,5.4,13.1,18.6,116.5
10,Phoenix Suns,82,19830,42.2,88.2,.478,14.7,38.8,.378,27.5,49.4,.556,17.2,21.2,.810,9.8,33.7,43.4,28.4,7.4,4.9,14.4,18.3,116.2
11,Milwaukee Bucks*,82,19755,42.2,86.7,.486,14.2,36.7,.387,28.0,49.9,.560,17.4,23.2,.750,8.2,35.3,43.5,25.6,7.4,4.7,13.4,18.0,115.9
12,Los Angeles Lakers*,82,19730,41.8,87.3,.479,13.6,37.2,.366,28.2,50.2,.562,18.6,23.7,.785,9.9,33.5,43.4,26.6,7.9,4.6,14.3,17.6,115.9
13,Houston Rockets*,82,19780,42.9,94.2,.455,12.8,36.2,.353,30.1,58.1,.518,16.8,22.8,.738,14.8,34.1,48.9,23.6,8.5,5.1,14.0,19.2,115.3
14,Los Angeles Clippers*,82,19805,42.4,87.9,.482,12.7,34.0,.373,29.7,53.9,.550,17.6,22.1,.797,10.5,34.2,44.6,25.7,9.6,4.6,15.2,18.7,115.1
15,Golden State Warriors*,82,19730,41.2,91.4,.451,15.6,42.8,.364,25.6,48.5,.528,17.0,22.3,.764,12.7,33.2,45.9,29.4,9.5,4.8,14.2,19.4,115.0
16,Detroit Pistons*,82,19805,42.5,89.4,.476,12.8,35.2,.362,29.8,54.2,.550,17.2,22.2,.774,11.3,33.3,44.6,26.3,7.9,5.2,14.8,20.6,115.0
17,Dallas Mavericks,82,19730,42.2,88.2,.479,12.5,34.3,.364,29.7,53.9,.552,17.9,23.2,.770,10.2,33.1,43.3,25.4,7.8,5.5,14.1,17.9,114.8
18,Atlanta Hawks,82,19780,42.0,89.0,.472,13.1,36.5,.358,29.0,52.5,.552,17.4,22.5,.775,11.5,31.6,43.1,28.7,9.4,5.0,15.1,18.5,114.6
19,San Antonio Spurs,82,19730,42.0,90.2,.465,14.2,39.8,.357,27.8,50.4,.551,16.3,21.1,.774,11.0,32.9,43.9,28.8,8.3,5.6,13.9,16.7,114.4
20,Chicago Bulls,82,19755,41.9,89.1,.470,15.0,40.7,.367,26.9,48.4,.556,15.5,19.1,.809,9.7,34.7,44.4,28.2,7.3,4.6,14.2,17.1,114.1
21,Miami Heat*,82,19930,41.5,89.3,.465,14.1,38.3,.367,27.5,51.0,.538,16.4,20.7,.791,10.0,34.5,44.5,27.1,8.4,3.9,13.9,16.0,113.5
22,Philadelphia 76ers,82,19805,40.5,89.2,.454,13.0,38.0,.341,27.5,51.3,.537,17.9,23.0,.780,10.6,30.0,40.6,23.7,9.4,4.6,13.9,19.4,111.9
