Rank,Player,Age,Team,Pos,G,GS,MP,PG%,SG%,SF%,PF%,C%,+/- Per 100 Poss_OnCourt,+/- Per 100 Poss_On-Off,BadPass,LostBall,Fouls Committed_Shoot,Fouls Committed_Off.,Fouls Drawn_Shoot,Fouls Drawn_Off.,PGA,And1,Blkd,Awards,-9999
1,Mikal Bridges,26,2TM,SG,83,83,2963,1,38,51,10,0,0.8,-1.5,73,37,92,6,159,28,662,43,54,,bridgmi01
2,Anthony Edwards,21,MIN,SG,79,79,2842,1,65,32,3,0,1.0,4.0,127,88,72,22,206,5,861,64,59,AS,edwaran01
3,Zach LaVine,27,CHI,SG,77,77,2768,25,43,32,1,0,0.4,-4.0,86,63,94,16,211,4,769,51,78,,lavinza01
4,Nikola Vučević,32,CHI,C,82,82,2746,0,0,0,1,100,-1.0,-8.1,56,36,107,27,71,4,653,22,44,,vucevni01
5,Julius Randle,28,NYK,PF,77,77,2737,0,0,0,96,4,3.0,-0.5,72,75,87,43,246,9,812,81,57,CPOY-14ASNBA3,randlju01
6,Domantas Sabonis,26,SAC,C,79,79,2736,0,0,0,0,100,2.9,1.9,81,65,136,55,196,12,1451,46,62,MVP-7ASNBA3,sabondo01
7,Jayson Tatum,24,BOS,SF,74,74,2732,0,13,53,34,0,8.3,5.5,79,78,46,32,255,3,874,50,58,MVP-4CPOY-10ASNBA1,tatumja01
8,Spencer Dinwiddie,29,2TM,SG,79,79,2725,36,54,9,1,0,0.4,-0.9,85,26,84,19,161,21,1287,38,62,,dinwisp01
9,Evan Mobley,21,CLE,PF,79,79,2715,0,0,0,56,44,6.5,2.4,41,50,138,23,151,10,530,34,62,DPOY-3DEF1,mobleev01
10,Dejounte Murray,26,ATL,SG,74,74,2693,29,70,1,0,0,-1.2,-5.0,85,56,53,6,92,6,1042,26,56,,murrade01
11,DeMar DeRozan,33,CHI,SF,74,74,2682,0,0,68,32,0,1.5,-0.5,74,45,104,14,270,32,923,78,62,CPOY-3AS,derozde01
12,Scottie Barnes,21,TOR,SF,77,76,2678,3,49,48,1,0,3.0,5.5,97,25,80,13,118,18,888,30,46,,barnesc01
13,Harrison Barnes,30,SAC,PF,82,82,2662,0,0,16,84,0,3.9,4.8,38,24,52,11,180,22,317,31,31,,barneha02
14,Pascal Siakam,28,TOR,PF,71,71,2652,0,0,13,67,20,2.2,3.1,72,44,103,31,228,8,1026,52,35,AS,siakapa01
15,CJ McCollum,31,NOP,PG,75,75,2649,69,31,0,0,0,0.9,-3.5,102,38,81,17,107,9,1002,27,60,,mccolcj01
16,Franz Wagner,21,ORL,SF,80,80,2609,0,16,72,12,0,0.6,10.2,72,53,78,23,138,44,680,31,84,,wagnefr01
17,Jalen Green,20,HOU,SG,76,76,2602,21,79,0,0,0,-8.9,-1.8,94,73,73,13,203,14,644,43,105,,greenja05
18,Bam Adebayo,25,MIA,C,75,75,2598,0,0,0,0,100,1.7,5.4,60,46,83,50,194,10,587,37,49,DPOY-5ASDEF2,adebaba01
19,Trae Young,24,ATL,PG,73,73,2541,100,0,0,0,0,0.8,1.0,233,43,48,13,220,41,1685,43,84,,youngtr01
20,Fred VanVleet,28,TOR,PG,69,69,2535,92,8,0,0,0,2.6,3.9,75,33,80,15,102,26,1137,23,57,,vanvlfr01
21,Buddy Hield,30,IND,SF,80,73,2482,0,21,68,12,0,-2.6,2.3,74,39,75,4,34,2,545,7,40,,hieldbu01
22,RJ Barrett,22,NYK,SG,73,73,2475,0,21,78,1,0,-0.6,-10.0,73,45,88,19,205,7,486,44,94,,barrerj01
23,Jordan Poole,23,GSW,PG,82,43,2458,64,36,0,0,0,-0.8,-7.1,107,77,79,29,176,16,906,41,75,,poolejo01
24,Josh Hart,27,2TM,SF,76,52,2454,1,14,79,6,0,6.0,12.0,74,20,94,9,85,20,717,26,40,,hartjo01
25,Jabari Smith Jr.,19,HOU,PF,79,79,2451,0,0,0,88,12,-11.5,-8.5,41,36,137,13,85,12,225,15,35,,smithja05
26,Trey Murphy III,22,NOP,SF,79,65,2448,0,7,62,32,0,0.6,-4.0,27,15,96,11,73,16,261,22,23,,murphtr02
27,Darius Garland,23,CLE,PG,69,69,2447,97,3,0,0,0,7.9,5.9,95,55,58,11,123,40,1214,25,54,,garlada01
28,Tobias Harris,30,PHI,SF,74,74,2436,0,1,74,25,0,5.7,2.4,30,26,78,19,58,1,466,16,52,,harrito02
29,De'Aaron Fox,25,SAC,PG,73,73,2435,100,0,0,0,0,2.6,0.9,90,71,80,7,210,34,1103,52,53,MVP-11CPOY-1ASNBA3,foxde01
30,Donovan Mitchell,26,CLE,SG,68,68,2432,30,69,1,0,0,6.0,0.9,92,58,73,15,136,14,701,40,55,MVP-6CPOY-6ASNBA2,mitchdo01
31,Paolo Banchero,20,ORL,PF,72,72,2430,0,0,23,74,3,-4.5,-4.4,79,78,90,22,258,8,634,53,92,ROY-1,banchpa01
32,Jaden McDaniels,22,MIN,SF,79,79,2416,0,7,73,20,0,1.6,4.4,47,26,131,16,75,15,351,23,29,,mcdanja02
33,Shai Gilgeous-Alexander,24,OKC,PG,68,68,2416,84,17,0,0,0,3.1,4.9,84,64,78,30,322,15,942,57,97,MVP-5CPOY-7ASNBA1,gilgesh01
34,Royce O'Neale,29,BRK,SF,76,53,2409,0,24,61,15,0,2.6,3.5,71,19,139,13,30,25,690,5,28,,onealro01
35,Jaylen Brown,26,BOS,SF,67,67,2405,0,39,58,3,0,5.1,-3.9,61,68,70,27,171,9,599,47,74,ASNBA2,brownja02
36,Luka Dončić,23,DAL,PG,66,66,2391,96,4,0,0,0,2.2,4.9,141,64,73,12,308,10,1316,74,44,MVP-8CPOY-8ASNBA1,doncilu01
37,OG Anunoby,25,TOR,SF,67,67,2386,0,11,62,27,0,2.1,2.4,54,29,87,29,77,15,307,19,65,DPOY-7DEF2,anunoog01
38,Keegan Murray,22,SAC,SF,80,78,2382,0,2,84,14,0,1.3,-2.6,32,11,112,4,41,19,238,14,40,ROY-5,murrake02
39,Kentavious Caldwell-Pope,29,DEN,SG,76,76,2381,24,74,2,0,0,9.6,16.3,54,20,70,5,49,45,433,11,9,,caldwke01
40,P.J. Washington,24,CHO,PF,73,73,2380,0,0,3,95,3,-7.3,-3.9,55,31,121,11,86,8,407,23,62,,washipj01
41,Jalen Brunson,26,NYK,PG,68,68,2379,100,0,0,0,0,2.4,-1.9,75,39,70,18,169,77,1036,50,51,MVP-12CPOY-4,brunsja01
42,Brook Lopez,34,MIL,C,78,78,2373,0,0,0,0,100,8.0,11.0,28,14,134,36,104,2,243,42,26,DPOY-2DEF1,lopezbr01
43,Josh Giddey,20,OKC,PF,76,76,2367,0,1,17,67,15,-2.7,-9.5,127,57,85,12,81,1,1119,31,83,,giddejo01
44,Reggie Bullock,31,DAL,SF,78,55,2364,0,2,45,51,2,-1.7,-4.7,22,1,86,8,3,7,272,1,9,,bullore01
45,Immanuel Quickley,23,NYK,SG,81,21,2344,26,73,1,0,0,6.7,8.6,49,18,77,7,118,10,688,34,31,6MOY-2,quickim01
46,Tyler Herro,23,MIA,SG,67,67,2337,6,81,13,0,0,2.6,6.8,88,32,58,13,77,2,680,16,52,,herroty01
47,Patrick Williams,21,CHI,PF,82,65,2323,0,0,0,89,11,-1.8,-8.3,24,29,77,20,50,11,248,10,38,,willipa01
48,Nikola Jokić,27,DEN,C,69,69,2323,0,0,0,0,100,12.0,21.9,138,68,91,26,185,12,1564,64,49,MVP-2CPOY-13ASNBA2,jokicni01
49,Derrick White,28,BOS,SG,82,70,2319,21,71,8,0,0,10.7,9.7,54,25,115,4,96,51,793,27,33,DEF2,whitede01
50,Jaden Ivey,20,DET,SG,74,73,2304,27,64,8,1,0,-13.4,-11.8,137,59,118,13,167,20,920,32,85,ROY-6,iveyja01
51,D'Angelo Russell,26,2TM,PG,71,71,2304,91,9,0,0,0,1.4,0.5,131,34,56,8,79,18,1012,16,23,,russeda01
52,Draymond Green,32,GSW,PF,73,73,2297,0,0,1,74,25,7.3,13.1,144,19,113,29,47,30,1218,13,20,DPOY-4DEF2,greendr01
53,KJ Martin,22,HOU,SF,82,49,2292,0,1,87,13,0,-8.4,-0.2,33,23,75,18,119,6,306,30,53,,martike04
54,Joel Embiid,28,PHI,C,66,66,2284,0,0,0,0,100,9.1,10.2,75,89,109,32,354,3,702,75,90,MVP-1DPOY-9CPOY-5ASNBA1,embiijo01
55,Bruce Brown,26,DEN,SF,80,31,2280,0,32,64,3,0,0.9,-5.6,56,37,106,12,75,11,631,23,37,,brownbr01
56,Klay Thompson,32,GSW,SF,69,69,2279,0,26,71,3,0,3.1,3.1,57,24,73,12,53,3,379,11,33,,thompkl01
57,Jalen Williams,21,OKC,SG,75,62,2276,9,71,20,1,0,-0.3,-3.3,42,41,99,16,99,20,604,25,52,ROY-2,willija06
58,Lauri Markkanen,25,UTA,PF,66,66,2273,0,0,20,62,18,3.2,10.0,31,53,64,35,169,9,319,45,65,MIP-1AS,markkla01
59,Max Strus,26,MIA,SF,80,33,2272,0,16,57,27,0,-4.1,-9.1,40,13,103,9,34,17,397,8,23,,strusma01
60,Luguentz Dort,23,OKC,SF,74,73,2272,0,17,61,21,1,1.0,-0.4,31,30,111,14,120,93,365,23,53,,dortlu01
61,Nic Claxton,23,BRK,C,76,76,2271,0,0,0,0,100,5.2,9.1,21,21,105,31,119,14,350,35,29,DPOY-9,claxtni01
62,Jerami Grant,28,POR,PF,63,63,2246,0,0,4,94,2,-0.9,6.4,36,40,76,24,161,25,371,39,52,,grantje01
63,Kyrie Irving,30,2TM,SG,60,60,2241,72,28,0,0,0,4.6,5.3,69,36,85,9,114,16,808,34,55,CPOY-12AS,irvinky01
64,Kyle Kuzma,27,WAS,PF,64,64,2239,0,0,14,81,5,0.2,3.4,65,52,76,35,120,8,574,29,59,,kuzmaky01
