Rank,Player,Age,Team,Pos,G,GS,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3P,3P,2P,0-3,3-10,10-16,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,Md.,Awards,-9999
1,Mikal Bridges,26,2TM,SG,83,83,2963,.468,14.6,.651,.170,.176,.227,.078,.349,.514,.693,.466,.469,.364,.382,.538,.923,.028,31,.434,.448,2,0,,bridgmi01
2,Anthony Edwards,21,MIN,SG,79,79,2842,.459,13.9,.625,.295,.154,.075,.102,.375,.513,.674,.376,.383,.350,.369,.348,.516,.044,59,.097,.446,3,0,AS,edwaran01
3,Zach LaVine,27,CHI,SG,77,77,2768,.485,14.9,.608,.284,.112,.067,.145,.392,.556,.693,.442,.441,.428,.375,.335,.647,.042,56,.138,.467,0,0,,lavinza01
4,Nikola Vučević,32,CHI,C,82,82,2746,.520,12.8,.698,.235,.258,.126,.078,.302,.594,.704,.601,.462,.456,.349,.735,1.000,.039,37,.124,.465,0,0,,vucevni01
5,Julius Randle,28,NYK,PF,77,77,2737,.459,15.3,.556,.220,.149,.123,.064,.444,.553,.679,.519,.443,.407,.343,.382,.752,.051,62,.142,.333,2,0,CPOY-14ASNBA3,randlju01
6,Domantas Sabonis,26,SAC,C,79,79,2736,.615,6.2,.912,.483,.314,.044,.058,.088,.639,.764,.502,.512,.444,.373,.570,.968,.092,79,.120,.200,1,0,MVP-7ASNBA3,sabondo01
7,Jayson Tatum,24,BOS,SF,74,74,2732,.466,14.8,.560,.235,.208,.058,.060,.440,.558,.738,.457,.389,.366,.350,.515,.646,.065,91,.080,.455,0,0,MVP-4CPOY-10ASNBA1,tatumja01
8,Spencer Dinwiddie,29,2TM,SG,79,79,2725,.438,15.5,.533,.186,.206,.092,.050,.467,.498,.646,.417,.423,.423,.369,.118,.602,.021,17,.182,.506,1,0,,dinwisp01
9,Evan Mobley,21,CLE,PF,79,79,2715,.554,7.2,.892,.404,.320,.122,.035,.108,.595,.817,.409,.362,.455,.216,.724,.955,.237,214,.392,.200,0,0,DPOY-3DEF1,mobleev01
10,Dejounte Murray,26,ATL,SG,74,74,2693,.464,14.3,.707,.158,.155,.227,.158,.293,.514,.697,.431,.455,.486,.344,.192,.722,.016,21,.222,.442,0,0,,murrade01
11,DeMar DeRozan,33,CHI,SF,74,74,2682,.504,13.7,.891,.165,.125,.263,.338,.109,.526,.735,.491,.499,.459,.324,.244,.848,.023,29,.310,.318,1,0,CPOY-3AS,derozde01
12,Scottie Barnes,21,TOR,SF,77,76,2678,.456,10.7,.780,.275,.317,.096,.082,.220,.505,.685,.450,.296,.361,.281,.485,.841,.086,82,.339,.316,4,0,,barnesc01
13,Harrison Barnes,30,SAC,PF,82,82,2662,.473,13.6,.554,.255,.230,.053,.008,.446,.553,.713,.407,.429,.333,.374,.570,.924,.062,46,.365,.395,2,0,,barneha02
14,Pascal Siakam,28,TOR,PF,71,71,2652,.480,12.2,.781,.192,.292,.159,.126,.219,.523,.750,.474,.469,.370,.324,.311,.849,.025,32,.199,.351,3,0,AS,siakapa01
15,CJ McCollum,31,NOP,PG,75,75,2649,.437,16.0,.596,.108,.208,.148,.125,.404,.469,.621,.443,.513,.327,.389,.295,.754,.004,3,.107,.328,0,0,,mccolcj01
16,Franz Wagner,21,ORL,SF,80,80,2609,.485,12.0,.678,.270,.311,.063,.034,.322,.544,.728,.420,.414,.447,.361,.464,.800,.030,29,.172,.435,4,0,,wagnefr01
17,Jalen Green,20,HOU,SG,76,76,2602,.416,15.2,.592,.202,.212,.079,.100,.408,.471,.591,.406,.467,.368,.338,.351,.572,.046,53,.128,.324,4,0,,greenja05
18,Bam Adebayo,25,MIA,C,75,75,2598,.540,7.3,.989,.295,.379,.260,.047,.011,.545,.714,.479,.497,.288,.083,.594,1.000,.136,139,.000,,1,0,DPOY-5ASDEF2,adebaba01
19,Trae Young,24,ATL,PG,73,73,2541,.429,14.9,.669,.155,.243,.147,.114,.331,.476,.546,.426,.527,.409,.335,.167,.318,.000,0,.050,.304,2,0,,youngtr01
20,Fred VanVleet,28,TOR,PG,69,69,2535,.393,18.4,.455,.120,.144,.088,.101,.545,.455,.586,.375,.398,.455,.342,.187,.585,.000,0,.119,.431,6,0,,vanvlfr01
21,Buddy Hield,30,IND,SF,80,73,2482,.458,19.2,.348,.151,.084,.044,.066,.652,.518,.688,.345,.413,.420,.425,.556,.878,.012,12,.167,.478,1,0,,hieldbu01
22,RJ Barrett,22,NYK,SG,73,73,2475,.434,11.5,.668,.299,.287,.060,.023,.332,.495,.642,.401,.300,.259,.310,.424,.926,.029,29,.290,.319,0,0,,barrerj01
23,Jordan Poole,23,GSW,PG,82,43,2458,.430,17.3,.502,.134,.210,.081,.077,.498,.524,.696,.517,.379,.398,.336,.446,.701,.024,27,.118,.333,8,0,,poolejo01
24,Josh Hart,27,2TM,SF,76,52,2454,.529,10.6,.685,.444,.150,.065,.025,.315,.601,.736,.410,.265,.231,.372,.444,1.000,.019,10,.415,.412,0,0,,hartjo01
25,Jabari Smith Jr.,19,HOU,PF,79,79,2451,.408,16.2,.562,.155,.178,.120,.109,.438,.487,.725,.390,.458,.340,.307,.648,.883,.054,42,.176,.348,1,0,,smithja05
26,Trey Murphy III,22,NOP,SF,79,65,2448,.484,17.7,.379,.201,.129,.020,.026,.621,.611,.758,.495,.188,.333,.406,.659,.946,.124,85,.266,.424,1,0,,murphtr02
27,Darius Garland,23,CLE,PG,69,69,2447,.462,14.8,.635,.170,.226,.128,.102,.365,.492,.615,.451,.521,.357,.410,.286,.568,.004,4,.087,.389,1,0,,garlada01
28,Tobias Harris,30,PHI,SF,74,74,2436,.501,13.2,.617,.260,.220,.102,.034,.383,.570,.709,.473,.453,.483,.389,.495,.937,.070,51,.389,.405,0,0,,harrito02
29,De'Aaron Fox,25,SAC,PG,73,73,2435,.512,13.5,.724,.171,.251,.194,.108,.276,.584,.803,.569,.488,.444,.324,.160,.613,.033,41,.128,.255,0,0,MVP-11CPOY-1ASNBA3,foxde01
30,Donovan Mitchell,26,CLE,SG,68,68,2432,.484,16.0,.547,.207,.148,.078,.098,.453,.566,.700,.524,.486,.431,.386,.258,.469,.029,36,.054,.382,6,0,MVP-6CPOY-6ASNBA2,mitchdo01
31,Paolo Banchero,20,ORL,PF,72,72,2430,.427,12.4,.746,.242,.253,.124,.127,.254,.471,.658,.380,.410,.352,.298,.404,.706,.054,52,.123,.343,1,0,ROY-1,banchpa01
32,Jaden McDaniels,22,MIN,SF,79,79,2416,.517,12.5,.624,.288,.215,.088,.034,.376,.588,.752,.461,.444,.375,.398,.658,.991,.115,72,.506,.419,2,0,,mcdanja02
33,Shai Gilgeous-Alexander,24,OKC,PG,68,68,2416,.510,9.8,.878,.283,.276,.246,.073,.122,.533,.678,.438,.512,.396,.345,.201,.310,.039,50,.101,.235,1,0,MVP-5CPOY-7ASNBA1,gilgesh01
34,Royce O'Neale,29,BRK,SF,76,53,2409,.386,19.6,.293,.155,.118,.015,.005,.707,.379,.489,.271,.222,.000,.389,.394,.975,.010,5,.150,.349,3,0,,onealro01
35,Jaylen Brown,26,BOS,SF,67,67,2405,.491,13.6,.648,.237,.203,.101,.093,.352,.576,.741,.477,.543,.406,.335,.467,.687,.052,63,.125,.279,1,0,ASNBA2,brownja02
36,Luka Dončić,23,DAL,PG,66,66,2391,.496,14.7,.627,.176,.252,.145,.054,.373,.588,.745,.578,.510,.333,.342,.131,.216,.010,12,.041,.273,8,0,MVP-8CPOY-8ASNBA1,doncilu01
37,OG Anunoby,25,TOR,SF,67,67,2386,.476,13.5,.585,.293,.173,.062,.056,.415,.539,.695,.366,.364,.460,.387,.566,.937,.130,103,.392,.458,1,0,DPOY-7DEF2,anunoog01
38,Keegan Murray,22,SAC,SF,80,78,2382,.453,17.8,.359,.179,.106,.042,.027,.641,.527,.671,.349,.455,.333,.411,.689,.966,.058,39,.277,.439,0,0,ROY-5,murrake02
39,Kentavious Caldwell-Pope,29,DEN,SG,76,76,2381,.462,17.3,.495,.136,.114,.081,.155,.505,.502,.686,.403,.431,.449,.423,.828,.926,.024,12,.411,.405,1,0,,caldwke01
40,P.J. Washington,24,CHO,PF,73,73,2380,.444,14.8,.562,.198,.242,.060,.061,.438,.518,.691,.451,.424,.317,.348,.740,.919,.050,45,.220,.351,1,0,,washipj01
41,Jalen Brunson,26,NYK,PG,68,68,2379,.491,12.9,.731,.149,.331,.172,.079,.269,.519,.612,.504,.471,.511,.416,.166,.575,.002,2,.205,.424,0,0,MVP-12CPOY-4,brunsja01
42,Brook Lopez,34,MIL,C,78,78,2373,.531,14.0,.595,.281,.170,.108,.036,.405,.637,.771,.569,.485,.375,.374,.745,.971,.087,71,.198,.403,0,0,DPOY-2DEF1,lopezbr01
43,Josh Giddey,20,OKC,PF,76,76,2367,.482,9.6,.791,.301,.381,.089,.021,.209,.524,.646,.455,.455,.304,.325,.363,.934,.011,12,.128,.400,1,0,,giddejo01
44,Reggie Bullock,31,DAL,SF,78,55,2364,.409,21.7,.155,.077,.040,.019,.019,.845,.562,.750,.421,.444,.222,.380,.854,.980,.002,1,.491,.451,0,0,,bullore01
45,Immanuel Quickley,23,NYK,SG,81,21,2344,.448,16.5,.515,.127,.205,.127,.056,.485,.521,.681,.500,.471,.346,.370,.263,.720,.009,8,.271,.366,1,0,6MOY-2,quickim01
46,Tyler Herro,23,MIA,SG,67,67,2337,.439,17.1,.516,.093,.189,.152,.076,.484,.497,.699,.486,.462,.357,.378,.387,.690,.012,13,.168,.444,2,0,,herroty01
47,Patrick Williams,21,CHI,PF,82,65,2323,.464,14.6,.591,.258,.112,.120,.100,.409,.498,.640,.316,.432,.412,.415,.633,.983,.118,59,.390,.463,0,0,,willipa01
48,Nikola Jokić,27,DEN,C,69,69,2323,.632,8.6,.854,.303,.414,.092,.038,.146,.675,.784,.643,.500,.590,.383,.603,.825,.022,21,.027,.250,2,0,MVP-2CPOY-13ASNBA2,jokicni01
49,Derrick White,28,BOS,SG,82,70,2319,.462,15.9,.484,.156,.214,.079,.024,.516,.548,.720,.469,.517,.333,.381,.502,.886,.018,11,.284,.387,0,0,DEF2,whitede01
50,Jaden Ivey,20,DET,SG,74,73,2304,.416,13.8,.644,.242,.211,.097,.087,.356,.457,.584,.333,.411,.442,.343,.239,.733,.033,28,.117,.366,2,0,ROY-6,iveyja01
51,D'Angelo Russell,26,2TM,PG,71,71,2304,.469,17.2,.483,.129,.137,.133,.084,.517,.548,.721,.492,.484,.475,.396,.315,.680,.000,0,.102,.400,0,0,,russeda01
52,Draymond Green,32,GSW,PF,73,73,2297,.527,10.3,.724,.297,.363,.040,.023,.276,.612,.709,.570,.474,.273,.305,.852,1.000,.051,21,.298,.308,2,0,DPOY-4DEF2,greendr01
53,KJ Martin,22,HOU,SF,82,49,2292,.569,9.7,.700,.417,.281,.003,.000,.300,.679,.807,.490,.500,,.315,.772,1.000,.275,173,.236,.353,0,0,,martike04
54,Joel Embiid,28,PHI,C,66,66,2284,.548,11.2,.849,.269,.196,.242,.133,.151,.587,.807,.435,.514,.489,.330,.589,.879,.065,74,.040,.250,4,0,MVP-1DPOY-9CPOY-5ASNBA1,embiijo01
55,Bruce Brown,26,DEN,SF,80,31,2280,.483,12.0,.657,.262,.266,.086,.032,.343,.548,.809,.391,.391,.250,.358,.551,.923,.076,50,.382,.392,1,0,,brownbr01
56,Klay Thompson,32,GSW,SF,69,69,2279,.436,19.6,.416,.058,.123,.114,.121,.584,.470,.694,.513,.378,.408,.412,.727,.890,.011,11,.170,.403,0,0,,thompkl01
57,Jalen Williams,21,OKC,SG,75,62,2276,.521,10.4,.742,.377,.246,.073,.047,.258,.579,.726,.436,.448,.351,.356,.416,.904,.106,77,.146,.367,2,0,ROY-2,willija06
58,Lauri Markkanen,25,UTA,PF,66,66,2273,.499,14.6,.554,.213,.251,.053,.037,.446,.585,.717,.505,.525,.452,.391,.650,.935,.112,111,.184,.489,0,0,MIP-1AS,markkla01
59,Max Strus,26,MIA,SF,80,33,2272,.410,19.4,.287,.138,.114,.023,.011,.713,.559,.679,.478,.444,.111,.350,.701,.939,.025,17,.274,.461,0,0,,strusma01
60,Luguentz Dort,23,OKC,SF,74,73,2272,.388,14.2,.532,.301,.174,.032,.024,.468,.440,.521,.309,.357,.476,.330,.510,.889,.040,29,.232,.411,1,0,,dortlu01
61,Nic Claxton,23,BRK,C,76,76,2271,.705,2.7,.997,.671,.303,.022,.000,.003,.708,.805,.511,.462,,.000,.763,,.346,191,1.000,.000,0,0,DPOY-9,claxtni01
62,Jerami Grant,28,POR,PF,63,63,2246,.475,13.9,.607,.264,.141,.085,.103,.393,.523,.680,.419,.397,.383,.401,.569,.944,.083,70,.357,.375,0,0,,grantje01
63,Kyrie Irving,30,2TM,SG,60,60,2241,.494,15.5,.588,.160,.182,.155,.091,.412,.574,.724,.507,.538,.509,.379,.291,.511,.002,1,.107,.340,2,0,CPOY-12AS,irvinky01
64,Kyle Kuzma,27,WAS,PF,64,64,2239,.448,14.9,.579,.186,.266,.082,.045,.421,.533,.722,.487,.383,.294,.333,.466,.781,.036,38,.243,.410,5,2,,kuzmaky01
65,Caris LeVert,28,CLE,SG,74,30,2237,.431,14.5,.563,.235,.181,.115,.028,.437,.462,.638,.373,.306,.238,.392,.368,.701,.042,29,.228,.405,1,0,,leverca01
66,Bennedict Mathurin,20,IND,SG,78,17,2222,.434,12.1,.674,.286,.260,.075,.044,.326,.488,.625,.397,.366,.333,.323,.591,.740,.035,28,.194,.333,5,0,ROY-46MOY-8,mathube01
67,Terry Rozier,28,CHO,SG,63,63,2221,.415,15.1,.575,.194,.199,.101,.081,.425,.480,.622,.376,.467,.417,.327,.326,.655,.003,3,.289,.301,2,0,,roziete01
68,Jarrett Allen,24,CLE,C,68,68,2220,.644,4.4,.984,.570,.304,.075,.027,.016,.653,.765,.516,.511,.294,.100,.769,1.000,.316,177,.600,.000,0,0,,allenja01
69,Dillon Brooks,27,MEM,SF,73,73,2214,.396,15.8,.557,.157,.190,.138,.072,.443,.451,.635,.362,.453,.282,.326,.438,.797,.012,12,.164,.361,2,0,DEF2,brookdi01
70,Kevin Huerter,24,SAC,SG,75,75,2203,.485,17.8,.411,.135,.141,.087,.042,.589,.604,.778,.607,.413,.444,.402,.656,.868,.014,11,.149,.395,0,0,,huertke01
71,Jrue Holiday,32,MIL,PG,67,65,2183,.479,15.3,.598,.194,.216,.096,.093,.402,.542,.727,.452,.459,.453,.384,.247,.430,.007,6,.117,.458,4,0,DPOY-7ASDEF1,holidjr01
72,Alperen Şengün,20,HOU,C,75,72,2171,.553,6.0,.929,.395,.464,.053,.016,.071,.570,.677,.499,.476,.308,.333,.499,1.000,.109,77,.035,.000,1,0,,sengual01
73,Anfernee Simons,23,POR,SG,62,62,2171,.447,17.9,.462,.166,.124,.092,.080,.538,.528,.647,.431,.542,.417,.377,.290,.684,.029,26,.107,.400,1,0,,simonan01
74,Ivica Zubac,25,LAC,C,76,76,2170,.634,3.3,.996,.593,.377,.021,.004,.004,.637,.702,.546,.455,.500,.000,.733,,.286,130,.000,,1,0,,zubaciv01
75,Killian Hayes,21,DET,PG,76,56,2154,.377,15.7,.649,.086,.216,.236,.112,.351,.429,.586,.403,.401,.418,.280,.141,.763,.017,13,.259,.243,0,0,,hayeski01
76,Tim Hardaway Jr.,30,DAL,SF,71,45,2152,.401,19.7,.351,.109,.093,.090,.059,.649,.431,.543,.367,.434,.320,.385,.641,.896,.014,9,.271,.389,4,0,,hardati02
77,De'Anthony Melton,24,PHI,SG,77,58,2150,.425,17.8,.381,.183,.131,.037,.026,.619,.484,.622,.329,.292,.529,.390,.467,.873,.011,6,.241,.371,2,0,,meltode01
78,Rudy Gobert,30,MIN,C,70,70,2148,.659,2.5,.995,.778,.190,.022,.004,.005,.663,.748,.365,.333,.000,.000,.744,,.388,200,.000,,2,0,,goberru01
79,Jimmy Butler,33,MIA,PF,64,64,2138,.539,8.3,.884,.314,.341,.158,.055,.116,.564,.703,.492,.500,.408,.350,.377,.694,.068,54,.534,.345,1,0,MVP-10DPOY-12CPOY-2NBA2,butleji01
