Rank,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards,Player-additional
1,DeMar DeRozan,34,CHI,SF,79,79,2989,10.8,22.6,.480,1.3,3.8,.333,9.6,18.8,.509,.507,8.7,10.2,.853,0.7,5.0,5.7,7.0,1.5,0.8,2.3,2.7,31.6,122,118,CPOY-2,derozde01
2,Domantas Sabonis,27,SAC,C,82,82,2928,10.5,17.7,.594,0.5,1.4,.379,10.0,16.3,.613,.609,4.8,6.9,.704,4.9,13.7,18.6,11.2,1.2,0.8,4.5,4.1,26.4,127,112,MVP-8DPOY-10NBA3,sabondo01
3,Coby White,23,CHI,PG,79,78,2881,9.4,20.9,.447,3.6,9.6,.376,5.7,11.3,.508,.534,3.8,4.5,.838,0.8,5.4,6.2,7.0,0.9,0.3,2.9,3.2,26.1,115,120,,whiteco01
4,Mikal Bridges,27,BRK,SF,82,82,2854,9.8,22.5,.436,3.8,10.3,.372,6.0,12.2,.490,.521,4.5,5.5,.814,1.2,5.3,6.5,5.2,1.4,0.5,2.8,2.0,27.9,112,118,,bridgmi01
5,Paolo Banchero,21,ORL,PF,80,80,2799,11.3,24.9,.455,2.1,6.2,.339,9.2,18.7,.493,.497,7.2,9.9,.725,1.5,8.3,9.8,7.6,1.3,0.8,4.4,2.7,31.9,109,112,AS,banchpa01
6,Kevin Durant,35,PHO,PF,75,75,2791,13.1,25.1,.523,2.9,7.1,.413,10.2,18.0,.567,.581,6.3,7.4,.856,0.7,7.9,8.7,6.6,1.2,1.6,4.3,2.3,35.5,118,114,MVP-9ASNBA2,duranke01
7,Dejounte Murray,27,ATL,SG,78,78,2783,11.6,25.2,.459,3.5,9.5,.363,8.1,15.7,.518,.528,3.6,4.5,.794,1.1,6.1,7.2,8.7,1.9,0.4,3.5,2.4,30.2,114,119,,murrade01
8,Anthony Edwards,22,MIN,SG,79,78,2770,12.8,27.8,.461,3.4,9.5,.357,9.4,18.3,.515,.522,7.5,9.0,.836,0.9,6.7,7.7,7.2,1.8,0.7,4.3,2.5,36.6,112,110,MVP-7CPOY-8ASNBA2,edwaran01
9,Nikola Jokić,28,DEN,C,79,79,2737,14.9,25.6,.583,1.5,4.2,.359,13.4,21.4,.626,.612,6.5,7.9,.817,4.0,13.6,17.7,12.8,2.0,1.2,4.3,3.5,37.8,131,108,MVP-1CPOY-4ASNBA1,jokicni01
10,Jalen Brunson,27,NYK,PG,77,77,2726,14.6,30.5,.479,3.9,9.7,.401,10.7,20.8,.516,.543,7.8,9.2,.847,0.8,4.3,5.1,9.6,1.3,0.2,3.4,2.7,40.9,124,117,MVP-5CPOY-5ASNBA2,brunsja01
11,Josh Hart,28,NYK,SF,81,42,2707,5.5,12.6,.434,1.5,4.8,.310,4.0,7.8,.511,.493,1.7,2.1,.791,2.4,10.2,12.6,6.2,1.4,0.4,2.2,3.2,14.2,115,113,,hartjo01
12,Anthony Davis,30,LAL,C,76,76,2700,12.6,22.6,.556,0.5,1.9,.271,12.0,20.7,.582,.567,7.4,9.1,.816,4.2,12.7,16.9,4.7,1.6,3.1,2.8,3.1,33.0,124,109,DPOY-4ASNBA2DEF1,davisan02
