Rank,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Minnesota Timberwolves*,82,19805,3198,7114,.450,937,2645,.354,2261,4469,.506,1402,1794,.781,843,2555,3398,2008,616,371,1166,1630,8735
2,New York Knicks*,82,19730,3304,7026,.470,1028,2813,.365,2276,4213,.540,1237,1620,.764,839,2492,3331,2098,552,431,1082,1565,8873
3,Miami Heat*,82,19755,3297,7056,.467,1064,3018,.353,2233,4038,.553,1230,1577,.780,757,2750,3507,2173,543,388,1126,1550,8888
4,Orlando Magic*,82,19780,3264,6884,.474,945,2636,.358,2319,4248,.546,1419,1819,.780,731,2537,3268,1958,666,379,1234,1710,8892
5,Boston Celtics*,82,19830,3403,7515,.453,1059,3008,.352,2344,4507,.520,1092,1422,.768,907,2645,3552,2042,510,304,986,1416,8957
6,Denver Nuggets*,82,19705,3332,7210,.462,919,2587,.355,2413,4623,.522,1404,1819,.772,894,2573,3467,2108,578,394,1014,1467,8987
7,Cleveland Cavaliers*,82,19805,3323,7176,.463,1029,2773,.371,2294,4403,.521,1363,1724,.791,823,2676,3499,2071,632,411,1115,1536,9038
8,New Orleans Pelicans*,82,19705,3317,7155,.464,1109,3176,.349,2208,3979,.555,1331,1699,.783,826,2644,3470,2196,536,424,1168,1507,9074
9,Philadelphia 76ers*,82,19780,3322,7098,.468,979,2765,.354,2343,4333,.541,1524,1926,.791,903,2742,3645,2143,506,503,1201,1519,9147
10,Los Angeles Clippers*,82,19705,3413,7288,.468,1054,2902,.363,2359,4386,.538,1332,1718,.775,909,2551,3460,2165,597,384,1069,1537,9212
11,Oklahoma City Thunder*,82,19805,3328,7322,.455,1101,3052,.361,2227,4270,.522,1482,1878,.789,968,2695,3663,2207,582,419,1287,1548,9239
12,Memphis Grizzlies,82,19780,3381,7128,.474,1098,2905,.378,2283,4223,.541,1391,1785,.779,874,2867,3741,2179,668,536,1239,1539,9251
13,Phoenix Suns*,82,19780,3444,7428,.464,1074,2949,.364,2370,4479,.529,1319,1705,.774,898,2490,3388,2155,685,372,1043,1612,9281
14,Houston Rockets,82,19855,3344,7226,.463,1012,2904,.348,2332,4322,.540,1583,2065,.767,878,2803,3681,1997,597,482,1132,1609,9283
15,Brooklyn Nets,82,19805,3410,7255,.470,1066,2865,.372,2344,4390,.534,1401,1736,.807,843,2788,3631,2088,563,409,1035,1496,9287
16,Chicago Bulls,82,19980,3370,7131,.473,1196,3235,.370,2174,3896,.558,1388,1789,.776,829,2729,3558,2287,555,404,1147,1538,9324
17,Sacramento Kings,82,19855,3414,7114,.480,1074,2775,.387,2340,4339,.539,1513,1892,.800,747,2740,3487,2208,606,370,1139,1504,9415
18,Golden State Warriors,82,19830,3453,7415,.466,1088,3030,.359,2365,4385,.539,1449,1840,.788,892,2627,3519,2187,633,407,1067,1471,9443
19,Portland Trail Blazers,82,19880,3485,7104,.491,957,2730,.351,2528,4374,.578,1535,1938,.792,868,2726,3594,2225,729,528,1173,1467,9462
20,Dallas Mavericks*,82,19705,3522,7413,.475,1075,2921,.368,2447,4492,.545,1364,1772,.770,896,2800,3696,2258,603,331,1127,1667,9483
21,Milwaukee Bucks*,82,19805,3543,7537,.470,1032,2897,.356,2511,4640,.541,1423,1764,.807,843,2765,3608,2169,580,347,986,1576,9541
22,Charlotte Hornets,82,19730,3555,7191,.494,1118,2965,.377,2437,4226,.577,1352,1699,.796,867,2853,3720,2356,582,396,1117,1432,9580
23,Los Angeles Lakers*,82,19855,3643,7687,.474,1170,3109,.376,2473,4578,.540,1174,1476,.795,893,2719,3612,2316,673,390,1100,1619,9630
24,San Antonio Spurs,82,19830,3684,7570,.487,1040,2791,.373,2644,4779,.553,1316,1679,.784,860,2857,3717,2296,733,380,1098,1470,9724
25,Toronto Raptors,82,19805,3669,7476,.491,1120,2979,.376,2549,4497,.567,1283,1627,.789,919,2785,3704,2346,595,474,1137,1487,9741
26,Detroit Pistons,82,19755,3578,7301,.490,991,2682,.370,2587,4619,.560,1610,2013,.800,791,2745,3536,2216,727,490,1019,1457,9757
27,Indiana Pacers*,82,19705,3653,7361,.496,877,2404,.365,2776,4957,.560,1677,2130,.787,901,2654,3555,2020,543,440,1142,1501,9860
28,Atlanta Hawks,82,19855,3659,7394,.495,1147,2987,.384,2512,4407,.570,1417,1790,.792,870,2758,3628,2314,638,461,1158,1594,9882
29,Utah Jazz,82,19805,3654,7509,.487,1213,3070,.395,2441,4439,.550,1364,1768,.771,900,2564,3464,2442,704,528,1009,1577,9885
30,Washington Wizards,82,19730,3777,7618,.496,1007,2782,.362,2770,4836,.573,1528,1966,.777,993,3020,4013,2382,655,496,1152,1473,10089
