Rank,Team,G,MP,FG%,Dist.,,2P,0-3,3-10,10-16,16-3P,3P,,2P,0-3,3-10,10-16,16-3P,3P,,2P,3P,,%FGA,Md.,,%FGA,Md.,,%3PA,3P%
1,Atlanta Hawks,82,19780,.481,14.1,,.581,.257,.182,.097,.046,.419,,.557,.679,.472,.451,.428,.377,,.561,.831,,.067,440,,.266,1102,,.263,.396
2,Boston Celtics*,82,19830,.450,14.8,,.585,.198,.229,.100,.058,.415,,.524,.688,.432,.490,.384,.347,,.505,.791,,.048,295,,.273,1072,,.210,.387
3,Brooklyn Nets,82,19780,.480,14.1,,.576,.255,.212,.071,.038,.424,,.567,.716,.462,.446,.379,.362,,.577,.866,,.074,469,,.276,1076,,.285,.376
4,Chicago Bulls,82,19755,.467,14.2,,.583,.269,.184,.080,.051,.417,,.556,.686,.451,.441,.427,.344,,.577,.817,,.063,445,,.271,1211,,.218,.358
5,Charlotte Hornets,82,19755,.467,15.0,,.551,.243,.172,.089,.047,.449,,.559,.694,.460,.444,.447,.355,,.545,.837,,.056,366,,.250,1052,,.216,.421
6,Cleveland Cavaliers*,82,19755,.454,14.4,,.587,.238,.199,.103,.047,.413,,.520,.652,.436,.443,.376,.359,,.524,.822,,.053,357,,.251,1006,,.270,.394
7,Dallas Mavericks,82,19730,.469,13.6,,.614,.248,.224,.094,.047,.386,,.536,.680,.441,.467,.371,.363,,.534,.851,,.066,420,,.270,1110,,.267,.386
8,Denver Nuggets*,82,19855,.466,14.5,,.584,.219,.212,.106,.047,.416,,.538,.705,.462,.428,.350,.365,,.581,.852,,.062,425,,.252,1099,,.250,.402
9,Detroit Pistons*,82,19805,.461,14.7,,.576,.188,.253,.089,.047,.424,,.531,.677,.470,.452,.428,.366,,.513,.807,,.053,332,,.257,999,,.251,.368
10,Golden State Warriors*,82,19730,.465,14.8,,.582,.144,.290,.099,.049,.418,,.539,.707,.496,.480,.417,.363,,.531,.863,,.051,325,,.259,1020,,.247,.413
11,Houston Rockets*,82,19780,.459,14.0,,.609,.223,.234,.103,.050,.391,,.524,.695,.445,.435,.317,.357,,.493,.779,,.053,340,,.291,1181,,.234,.376
12,Indiana Pacers*,82,19855,.474,14.1,,.596,.231,.234,.085,.046,.404,,.554,.690,.481,.451,.435,.355,,.510,.840,,.067,426,,.288,1178,,.244,.386
13,Los Angeles Clippers*,82,19805,.461,14.9,,.568,.204,.223,.091,.049,.432,,.545,.724,.466,.414,.403,.350,,.563,.826,,.063,388,,.250,1007,,.229,.374
14,Los Angeles Lakers*,82,19730,.463,14.6,,.573,.209,.234,.087,.043,.427,,.544,.725,.458,.411,.395,.356,,.573,.836,,.061,409,,.265,1088,,.232,.376
15,Memphis Grizzlies*,82,19705,.456,14.6,,.571,.220,.207,.095,.049,.429,,.529,.696,.436,.402,.418,.360,,.546,.841,,.068,458,,.242,985,,.223,.393
16,Miami Heat*,82,19930,.466,14.7,,.572,.222,.208,.093,.049,.428,,.545,.697,.484,.420,.357,.360,,.556,.819,,.054,357,,.249,1069,,.239,.388
17,Milwaukee Bucks*,82,19755,.457,15.1,,.568,.224,.182,.108,.054,.432,,.536,.696,.433,.456,.382,.353,,.538,.827,,.056,353,,.248,1055,,.237,.396
18,Minnesota Timberwolves*,82,19830,.460,14.2,,.591,.225,.217,.104,.046,.409,,.534,.683,.438,.464,.423,.353,,.518,.819,,.055,365,,.264,1040,,.235,.375
19,New Orleans Pelicans,82,19755,.483,14.5,,.557,.260,.185,.070,.041,.443,,.578,.699,.499,.447,.387,.365,,.554,.857,,.072,468,,.270,1181,,.261,.393
20,New York Knicks*,82,19880,.474,14.0,,.593,.268,.186,.091,.049,.407,,.548,.680,.469,.415,.370,.367,,.510,.816,,.056,378,,.268,1115,,.241,.401
21,Oklahoma City Thunder*,82,19705,.436,15.1,,.548,.199,.216,.088,.045,.452,,.513,.665,.436,.434,.370,.342,,.531,.863,,.046,270,,.259,984,,.281,.382
22,Orlando Magic*,82,19730,.468,14.0,,.615,.223,.238,.099,.055,.385,,.532,.689,.451,.436,.421,.365,,.513,.797,,.060,333,,.276,1036,,.236,.403
23,Philadelphia 76ers,82,19805,.488,14.3,,.567,.278,.174,.072,.041,.433,,.572,.719,.440,.408,.427,.378,,.575,.849,,.067,427,,.280,1180,,.245,.370
24,Phoenix Suns,82,19830,.473,14.9,,.574,.200,.224,.094,.057,.426,,.549,.717,.482,.440,.406,.370,,.543,.834,,.069,446,,.255,1063,,.212,.420
25,Portland Trail Blazers,82,19780,.471,14.1,,.602,.245,.203,.095,.059,.398,,.544,.696,.414,.486,.452,.361,,.543,.825,,.065,410,,.264,1064,,.253,.377
26,Sacramento Kings,82,19880,.474,15.0,,.565,.170,.258,.088,.049,.435,,.545,.707,.514,.436,.346,.381,,.543,.845,,.050,312,,.259,1088,,.255,.380
27,San Antonio Spurs,82,19730,.474,14.4,,.575,.261,.185,.078,.051,.425,,.554,.680,.452,.478,.401,.365,,.540,.842,,.066,444,,.264,1130,,.237,.382
28,Toronto Raptors,82,19805,.466,14.2,,.573,.266,.189,.074,.044,.427,,.554,.703,.434,.427,.387,.349,,.530,.841,,.057,370,,.279,1174,,.255,.371
29,Utah Jazz,82,19805,.480,15.0,,.554,.174,.257,.082,.041,.446,,.577,.731,.526,.473,.457,.358,,.565,.863,,.076,486,,.251,1137,,.215,.401
30,Washington Wizards,82,19730,.471,14.6,,.578,.220,.221,.093,.044,.422,,.549,.738,.443,.411,.426,.364,,.560,.840,,.071,483,,.255,1087,,.249,.408
