Rank,Team,G,MP,FG%,Dist.,,2P,0-3,3-10,10-16,16-3P,3P,,2P,0-3,3-10,10-16,16-3P,3P,,2P,3P,,%FGA,Md.,,%FGA,Md.,,%3PA,3P%,,Att.,Md.
1,Atlanta Hawks,82,19780,.472,13.7,,.590,.257,.228,.077,.027,.410,,.552,.676,.473,.422,.398,.358,,.622,.815,,.072,484,,.263,1089,,.277,.405,,20,1
2,Boston Celtics*,82,19830,.462,17.0,,.464,.179,.168,.073,.045,.536,,.571,.748,.487,.424,.416,.368,,.505,.794,,.054,352,,.213,936,,.187,.393,,12,0
3,Brooklyn Nets,82,19780,.437,14.7,,.542,.228,.214,.070,.030,.458,,.515,.673,.399,.412,.386,.344,,.540,.897,,.051,305,,.277,1021,,.265,.348,,14,0
4,Chicago Bulls,82,19755,.470,14.6,,.543,.264,.187,.057,.036,.457,,.556,.655,.494,.428,.348,.367,,.567,.862,,.043,277,,.291,1284,,.250,.389,,15,2
5,Charlotte Hornets,82,19755,.430,14.6,,.570,.226,.223,.082,.040,.430,,.499,.674,.397,.353,.371,.339,,.540,.819,,.059,379,,.249,949,,.235,.369,,22,0
6,Cleveland Cavaliers*,82,19755,.491,14.9,,.543,.241,.190,.075,.037,.457,,.581,.707,.503,.483,.362,.383,,.546,.784,,.066,444,,.234,1005,,.245,.401,,11,1
7,Dallas Mavericks,82,19730,.479,13.9,,.611,.227,.230,.099,.056,.389,,.552,.726,.458,.443,.418,.364,,.515,.806,,.060,372,,.252,1076,,.261,.379,,15,0
8,Denver Nuggets*,82,19855,.506,13.2,,.644,.265,.237,.076,.067,.356,,.578,.715,.512,.450,.413,.376,,.624,.846,,.073,465,,.318,1406,,.215,.431,,38,2
9,Detroit Pistons*,82,19805,.476,13.8,,.606,.227,.251,.085,.043,.394,,.550,.693,.485,.449,.366,.362,,.517,.853,,.085,558,,.264,1041,,.240,.379,,20,0
10,Golden State Warriors*,82,19730,.451,15.4,,.531,.168,.252,.068,.043,.469,,.528,.689,.483,.404,.353,.364,,.616,.874,,.052,339,,.294,1197,,.238,.389,,22,1
11,Houston Rockets*,82,19780,.455,14.0,,.616,.234,.219,.099,.064,.384,,.518,.674,.447,.401,.371,.353,,.447,.790,,.066,439,,.282,1144,,.205,.373,,16,0
12,Indiana Pacers*,82,19855,.488,14.5,,.600,.218,.207,.111,.062,.400,,.568,.707,.519,.473,.409,.368,,.597,.842,,.053,342,,.276,1221,,.250,.401,,22,0
13,Los Angeles Clippers*,82,19805,.482,13.9,,.613,.208,.256,.108,.042,.387,,.550,.707,.486,.456,.408,.373,,.549,.738,,.074,476,,.231,888,,.230,.403,,7,0
14,Los Angeles Lakers*,82,19730,.479,14.8,,.575,.218,.203,.097,.056,.425,,.562,.753,.468,.429,.395,.366,,.555,.801,,.077,491,,.247,1022,,.239,.394,,18,0
15,Memphis Grizzlies*,82,19705,.479,13.9,,.594,.213,.269,.085,.027,.406,,.556,.713,.475,.468,.400,.367,,.527,.874,,.050,341,,.261,1159,,.254,.370,,24,1
16,Miami Heat*,82,19930,.465,14.4,,.571,.211,.229,.098,.033,.429,,.538,.678,.461,.451,.434,.367,,.541,.872,,.056,356,,.247,982,,.280,.394,,15,0
17,Milwaukee Bucks*,82,19755,.486,15.1,,.576,.244,.150,.095,.086,.424,,.560,.715,.439,.453,.449,.387,,.479,.857,,.064,404,,.251,1037,,.242,.438,,13,2
18,Minnesota Timberwolves*,82,19830,.468,14.7,,.545,.238,.197,.076,.034,.455,,.545,.714,.427,.409,.340,.377,,.553,.782,,.071,446,,.253,1017,,.243,.398,,25,0
19,New Orleans Pelicans,82,19755,.452,13.7,,.615,.250,.213,.104,.047,.385,,.518,.666,.417,.432,.379,.347,,.552,.835,,.063,396,,.270,1091,,.250,.365,,6,0
20,New York Knicks*,82,19880,.486,13.5,,.618,.270,.196,.107,.045,.382,,.558,.696,.445,.477,.412,.369,,.555,.828,,.057,377,,.275,1170,,.285,.386,,19,0
21,Oklahoma City Thunder*,82,19705,.482,14.6,,.581,.216,.196,.123,.046,.419,,.559,.710,.466,.500,.406,.374,,.482,.849,,.053,363,,.263,1164,,.213,.404,,5,0
22,Orlando Magic*,82,19730,.445,14.5,,.589,.225,.214,.090,.060,.411,,.533,.701,.451,.408,.388,.318,,.505,.837,,.066,396,,.260,1037,,.270,.352,,24,0
23,Philadelphia 76ers,82,19805,.454,14.6,,.574,.253,.184,.084,.053,.426,,.537,.676,.433,.448,.381,.341,,.485,.795,,.055,345,,.283,1115,,.200,.386,,25,0
24,Phoenix Suns,82,19830,.478,15.8,,.560,.143,.199,.156,.061,.440,,.556,.756,.485,.495,.478,.378,,.558,.889,,.053,321,,.184,759,,.290,.425,,7,0
25,Portland Trail Blazers,82,19780,.450,14.1,,.582,.268,.197,.069,.047,.418,,.527,.675,.390,.418,.421,.342,,.480,.816,,.064,408,,.305,1221,,.234,.345,,19,1
26,Sacramento Kings,82,19880,.478,15.0,,.609,.171,.224,.123,.092,.391,,.555,.715,.529,.479,.425,.357,,.511,.865,,.050,341,,.251,1104,,.233,.397,,13,0
