Rank,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Cleveland Cavaliers*,82,19755,3652,7444,.491,1303,3401,.383,2349,4043,.581,1392,1793,.776,917,2806,3723,2304,670,350,1082,1487,9999
2,Memphis Grizzlies*,82,19705,3670,7654,.479,1141,3106,.367,2529,4548,.556,1499,1908,.786,1056,2819,3875,2330,726,462,1285,1711,9980
3,Denver Nuggets*,82,19855,3724,7360,.506,984,2619,.376,2740,4741,.578,1470,1909,.770,919,2832,3751,2542,656,402,1169,1444,9902
4,Oklahoma City Thunder*,82,19705,3660,7600,.482,1192,3184,.374,2468,4416,.559,1369,1672,.819,871,2801,3672,2202,847,465,961,1631,9881
5,Atlanta Hawks,82,19780,3556,7528,.472,1107,3089,.358,2449,4439,.552,1472,1900,.775,974,2675,3649,2426,798,419,1273,1564,9691
6,Chicago Bulls,82,19755,3543,7545,.470,1266,3447,.367,2277,4098,.556,1308,1617,.809,825,2935,3760,2383,621,386,1203,1444,9660
7,Indiana Pacers*,82,19855,3574,7326,.488,1081,2934,.368,2493,4392,.568,1395,1768,.789,752,2678,3430,2398,694,448,1082,1533,9624
8,Boston Celtics*,82,19830,3413,7382,.462,1457,3955,.368,1956,3427,.571,1251,1565,.799,933,2783,3716,2144,589,452,973,1303,9534
9,New York Knicks*,82,19880,3553,7315,.486,1031,2794,.369,2522,4521,.558,1357,1696,.800,890,2607,3497,2254,671,324,1088,1407,9494
10,Sacramento Kings,82,19880,3529,7385,.478,1032,2887,.357,2497,4498,.555,1400,1738,.806,901,2723,3624,2169,620,357,1092,1548,9490
11,Milwaukee Bucks*,82,19755,3445,7082,.486,1161,3003,.387,2284,4079,.560,1421,1895,.750,674,2882,3556,2090,601,384,1097,1469,9472
12,Detroit Pistons*,82,19805,3503,7363,.476,1051,2901,.362,2452,4462,.550,1414,1826,.774,931,2739,3670,2165,652,431,1219,1695,9471
13,Minnesota Timberwolves*,82,19830,3364,7182,.468,1233,3269,.377,2131,3913,.545,1411,1789,.789,908,2726,3634,2142,654,406,1186,1498,9372
14,Houston Rockets*,82,19780,3484,7659,.455,1038,2938,.353,2446,4721,.518,1366,1851,.738,1200,2774,3974,1914,689,411,1139,1557,9372
15,Dallas Mavericks,82,19730,3443,7194,.479,1020,2801,.364,2423,4393,.552,1458,1894,.770,828,2702,3530,2070,636,445,1151,1458,9364
16,San Antonio Spurs,82,19730,3426,7362,.465,1158,3246,.357,2268,4116,.551,1332,1721,.774,896,2685,3581,2348,674,455,1138,1363,9342
17,Golden State Warriors*,82,19730,3342,7412,.451,1264,3475,.364,2078,3937,.528,1383,1811,.764,1029,2692,3721,2386,771,391,1152,1571,9331
18,Phoenix Suns,82,19830,3381,7075,.478,1176,3112,.378,2205,3963,.556,1379,1702,.810,783,2701,3484,2277,593,392,1153,1471,9317
19,Los Angeles Lakers*,82,19730,3356,7007,.479,1092,2981,.366,2264,4026,.562,1494,1902,.785,792,2687,3479,2131,633,367,1145,1415,9298
20,Los Angeles Clippers*,82,19805,3409,7075,.482,1022,2738,.373,2387,4337,.550,1416,1776,.797,841,2750,3591,2064,773,370,1220,1503,9256
21,Utah Jazz,82,19805,3305,7272,.454,1144,3267,.350,2161,4005,.540,1421,1836,.774,983,2741,3724,2093,555,360,1412,1549,9175
22,Portland Trail Blazers,82,19780,3325,7396,.450,1057,3095,.342,2268,4301,.527,1386,1820,.762,1095,2576,3671,1952,678,433,1309,1558,9093
23,Toronto Raptors,82,19805,3414,7462,.458,969,2786,.348,2445,4676,.523,1294,1729,.748,1034,2666,3700,2340,664,348,1257,1738,9091
24,Miami Heat*,82,19930,3318,7138,.465,1124,3060,.367,2194,4078,.538,1309,1654,.791,798,2760,3558,2166,668,314,1114,1275,9069
25,New Orleans Pelicans,82,19755,3332,7368,.452,986,2839,.347,2346,4529,.518,1356,1799,.754,993,2583,3576,2119,701,429,1201,1499,9006
26,Philadelphia 76ers,82,19805,3254,7168,.454,1041,3050,.341,2213,4118,.537,1439,1844,.780,852,2411,3263,1901,752,366,1117,1556,8988
27,Washington Wizards,82,19730,3233,7371,.439,1075,3210,.335,2158,4161,.519,1315,1690,.778,867,2716,3583,2058,623,420,1276,1618,8856
28,Orlando Magic*,82,19730,3130,7034,.445,921,2892,.318,2209,4142,.533,1464,1890,.775,914,2517,3431,1887,729,488,1165,1648,8645
29,Brooklyn Nets,82,19780,3086,7060,.437,1113,3232,.344,1973,3828,.515,1334,1696,.787,894,2493,3387,2063,639,352,1244,1698,8619
30,Charlotte Hornets,82,19755,3142,7308,.430,1065,3143,.339,2077,4165,.499,1269,1621,.783,1003,2703,3706,1994,607,368,1271,1535,8618
