Player,Age,Team,Pos,G,GS,MP,TRB,AST,PTS,PlayerID
James Harden,30,HOU,SG,68,68,36.5,6.6,7.5,34.3,hardeja01
Bradley Beal,26,WAS,SG,57,57,36,4.2,6.1,30.5,bealbr01
Damian Lillard,29,POR,PG,66,66,37.5,4.3,8,30,lillada01
Trae Young,21,ATL,PG,60,60,35.3,4.3,9.3,29.6,youngtr01
Giannis Antetokounmpo,25,MIL,PF,63,63,30.4,13.6,5.6,29.5,antetgi01
Luka Dončić,20,DAL,PG,61,61,33.6,9.4,8.8,28.8,doncilu01
Kyrie Irving,27,BKN,PG,20,20,32.9,5.2,6.4,27.4,irvinky01
Russell Westbrook,31,HOU,PG,57,57,35.9,7.9,7,27.2,westbru01
Kawhi Leonard,28,LAC,SF,57,57,32.4,7.1,4.9,27.1,leonaka01
Devin Booker,23,PHX,SG,70,70,35.9,4.2,6.5,26.6,bookede01
Karl-Anthony Towns,24,MIN,C,35,35,33.9,10.8,4.4,26.5,townska01
Anthony Davis,26,LAL,PF,62,62,34.4,9.3,3.2,26.1,davisan02
Zach LaVine,24,CHI,SF,60,60,34.8,4.8,4.2,25.5,lavinza01
LeBron James,35,LAL,PG,67,67,34.6,7.8,10.2,25.3,jamesle01
Donovan Mitchell,23,UTA,SG,69,69,34.3,4.4,4.3,24,mitchdo01
Brandon Ingram,22,NOP,PF,62,62,33.9,6.1,4.2,23.8,ingrabr01
Jayson Tatum,21,BOS,PF,66,66,34.3,7,3,23.4,tatumja01
D'Angelo Russell,23,TOT,PG,45,45,32.3,3.9,6.3,23.1,russeda01
Joel Embiid,25,PHI,C,51,51,29.5,11.6,3,23,embiijo01
Pascal Siakam,25,TOR,PF,60,60,35.2,7.3,3.5,22.9,siakapa01
Zion Williamson,19,NOP,PF,24,24,27.8,6.3,2.1,22.5,willizi01
CJ McCollum,28,POR,SG,70,70,36.5,4.2,4.4,22.2,mccolcj01
DeMar DeRozan,30,SAS,SF,68,68,34.1,5.5,5.6,22.1,derozde01
Andrew Wiggins,24,TOT,SF,54,54,34.4,5.1,3.7,21.8,wiggian01
John Collins,22,ATL,PF,41,41,33.2,10.1,1.5,21.6,collijo01
Paul George,29,LAC,SF,48,48,29.6,5.7,3.9,21.5,georgpa01
De'Aaron Fox,22,SAC,PG,51,49,32,3.8,6.8,21.1,foxde01
Khris Middleton,28,MIL,SF,62,59,29.9,6.2,4.3,20.9,middlkh01
Stephen Curry,31,GSW,PG,5,5,27.8,5.2,6.6,20.8,curryst01
Collin Sexton,21,CLE,PG,65,65,33,3.1,3,20.8,sextoco01
Spencer Dinwiddie,26,BKN,PG,64,49,31.2,3.5,6.8,20.6,dinwisp01
Kristaps Porziņģis,24,DAL,C,57,57,31.8,9.5,1.8,20.4,porzikr01
Kemba Walker,29,BOS,PG,56,56,31.1,3.9,4.8,20.4,walkeke02
Jaylen Brown,23,BOS,SG,57,57,33.9,6.4,2.1,20.3,brownja02
Bojan Bogdanović,30,UTA,SF,63,63,33.1,4.1,2.1,20.2,bogdabo02
Jimmy Butler,30,MIA,SF,58,58,33.8,6.7,6,19.9,butleji01
Nikola Jokić,24,DEN,C,73,73,32,9.7,7,19.9,jokicni01
T.J. Warren,26,IND,SF,67,67,32.9,4.2,1.5,19.8,warretj01
Tobias Harris,27,PHI,PF,72,72,34.3,6.9,3.2,19.6,harrito02
Nikola Vučević,29,ORL,C,62,62,32.2,10.9,3.6,19.6,vucevni01
Julius Randle,25,NYK,PF,64,64,32.5,9.7,3.1,19.5,randlju01
Kyle Lowry,33,TOR,PG,58,58,36.2,5,7.5,19.4,lowryky01
Buddy Hield,27,SAC,SG,72,44,30.8,4.6,3,19.2,hieldbu01
Jrue Holiday,29,NOP,SG,61,61,34.7,4.8,6.7,19.1,holidjr01
Shai Gilgeous-Alexander,21,OKC,SG,70,70,34.7,5.9,3.3,19,gilgesh01
LaMarcus Aldridge,34,SAS,C,53,53,33.1,7.4,2.4,18.9,aldrila01
Dennis Schröder,26,OKC,PG,65,2,30.8,3.6,4,18.9,schrode01
Danilo Gallinari,31,OKC,PF,62,62,29.6,5.2,1.9,18.7,gallida01
Caris LeVert,25,BKN,SG,45,31,29.6,4.2,4.4,18.7,leverca01
Kelly Oubre Jr.,24,PHX,SF,56,55,34.5,6.4,1.5,18.7,oubreke01
Montrezl Harrell,26,LAC,C,63,2,27.8,7.1,1.7,18.6,harremo01
Evan Fournier,27,ORL,SF,66,66,31.5,2.6,3.2,18.5,fournev01
Jamal Murray,22,DEN,PG,59,59,32.3,4,4.8,18.5,murraja01
Domantas Sabonis,23,IND,PF,62,62,34.8,12.4,5,18.5,sabondo01
Deandre Ayton,21,PHX,C,38,32,32.5,11.5,1.9,18.2,aytonde01
Devonte' Graham,24,CHA,PG,63,53,35.1,3.4,7.5,18.2,grahade01
Lou Williams,33,LAC,PG,65,8,28.7,3.1,5.6,18.2,willilo02
Derrick Rose,31,DET,PG,50,15,26,2.4,5.6,18.1,rosede01
Terry Rozier,25,CHA,PG,63,63,34.3,4.4,4.1,18,roziete01
Ja Morant,20,MEM,PG,67,67,31,3.9,7.3,17.8,moranja01
Andre Drummond,26,TOT,C,57,56,33,15.2,2.7,17.7,drumman01
Kevin Love,31,CLE,PF,56,56,31.8,9.8,3.2,17.6,loveke01
Jusuf Nurkić,25,POR,C,8,8,31.6,10.3,4,17.6,nurkiju01
Chris Paul,34,OKC,PG,70,70,31.5,5,6.7,17.6,paulch01
