Player,Age,Team,Pos,G,GS,MP,FG,FGA,3P,3PA,2P,2PA,eFG%,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PlayerID
James Harden,30,HOU,SG,68,68,2483,672,1514,299,843,373,671,0.543,692,800,70,376,446,512,125,60,308,227,2335,hardeja01
Damian Lillard,29,POR,PG,66,66,2474,624,1349,270,674,354,675,0.563,460,518,33,251,284,530,70,22,194,114,1978,lillada01
Devin Booker,23,PHX,SG,70,70,2512,627,1283,141,398,486,885,0.544,468,509,29,268,297,456,49,18,264,213,1863,bookede01
Giannis Antetokounmpo,25,MIL,PF,63,63,1917,685,1238,89,293,596,945,0.589,398,629,140,716,856,354,61,66,230,195,1857,antetgi01
Trae Young,21,ATL,PG,60,60,2120,546,1249,205,568,341,681,0.519,481,559,32,223,255,560,65,8,289,104,1778,youngtr01
Luka Dončić,20,DAL,PG,61,61,2047,581,1255,171,541,410,714,0.531,426,562,78,495,573,538,62,14,260,153,1759,doncilu01
Bradley Beal,26,WAS,SG,57,57,2053,593,1303,170,481,423,822,0.52,385,457,52,190,242,347,71,23,194,126,1741,bealbr01
LeBron James,35,LAL,PG,67,67,2316,643,1303,148,425,495,878,0.55,264,381,66,459,525,684,78,36,261,118,1698,jamesle01
Donovan Mitchell,23,UTA,SG,69,69,2364,602,1342,173,473,429,869,0.513,278,322,53,251,304,294,70,14,184,172,1655,mitchdo01
Anthony Davis,26,LAL,PF,62,62,2131,551,1096,72,218,479,878,0.536,444,525,142,435,577,200,91,143,154,156,1618,davisan02
CJ McCollum,28,POR,SG,70,70,2556,611,1356,194,512,417,844,0.522,140,185,46,251,297,310,54,42,127,183,1556,mccolcj01
Russell Westbrook,31,HOU,PG,57,57,2049,604,1281,55,213,549,1068,0.493,290,380,100,351,451,401,93,20,255,200,1553,westbru01
Jayson Tatum,21,BOS,PF,66,66,2265,552,1226,189,469,363,757,0.527,254,313,64,396,460,200,93,57,155,136,1547,tatumja01
Kawhi Leonard,28,LAC,SF,57,57,1848,532,1133,123,325,409,808,0.524,356,402,54,348,402,280,103,33,149,113,1543,leonaka01
Zach LaVine,24,CHI,SF,60,60,2085,539,1199,184,484,355,715,0.526,268,334,41,248,289,254,88,28,206,131,1530,lavinza01
DeMar DeRozan,30,SAS,SF,68,68,2316,557,1049,9,35,548,1014,0.535,381,451,44,331,375,380,70,20,164,180,1504,derozde01
Brandon Ingram,22,NOP,PF,62,62,2104,507,1096,150,384,357,712,0.531,313,368,51,329,380,259,61,38,189,179,1477,ingrabr01
Nikola Jokić,24,DEN,C,73,73,2336,565,1071,80,255,485,816,0.565,246,301,166,545,711,512,85,44,226,222,1456,jokicni01
Tobias Harris,27,PHI,PF,72,72,2469,553,1173,131,357,422,816,0.527,174,216,69,426,495,227,53,40,104,165,1411,harrito02
Buddy Hield,27,SAC,SG,72,44,2216,498,1162,271,688,227,474,0.545,115,136,57,271,328,213,66,17,168,165,1382,hieldbu01
Pascal Siakam,25,TOR,PF,60,60,2110,500,1104,131,365,369,739,0.512,240,303,64,375,439,207,61,53,148,170,1371,siakapa01
Collin Sexton,21,CLE,PG,65,65,2143,513,1086,97,255,416,831,0.517,226,267,61,143,204,192,65,7,158,142,1349,sextoco01
Shai Gilgeous-Alexander,21,OKC,SG,70,70,2428,478,1015,87,251,391,764,0.514,288,357,47,365,412,232,79,47,134,117,1331,gilgesh01
T.J. Warren,26,IND,SF,67,67,2202,534,997,91,226,443,771,0.581,167,204,68,212,280,99,78,34,84,187,1326,warretj01
Spencer Dinwiddie,26,BKN,PG,64,49,1994,424,1021,123,400,301,621,0.476,347,446,32,189,221,432,40,21,174,180,1318,dinwisp01
Khris Middleton,28,MIL,SF,62,59,1853,471,947,147,354,324,593,0.575,208,227,44,338,382,265,53,7,137,142,1297,middlkh01
Bojan Bogdanović,30,UTA,SF,63,63,2083,418,935,189,457,229,478,0.548,250,277,39,220,259,131,34,7,159,110,1275,bogdabo02
Julius Randle,25,NYK,PF,64,64,2080,463,1006,64,231,399,775,0.492,258,352,151,471,622,198,51,22,193,178,1248,randlju01
Chris Paul,34,OKC,PG,70,70,2208,434,887,111,304,323,583,0.552,253,279,26,323,349,472,111,11,161,158,1232,paulch01
Dennis Schröder,26,OKC,PG,65,2,1999,453,965,125,325,328,640,0.534,198,236,19,217,236,262,45,14,166,146,1229,schrode01
Evan Fournier,27,ORL,SF,66,66,2076,434,929,173,434,261,495,0.56,180,220,18,153,171,209,71,15,125,161,1221,fournev01
