Team,G,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Milwaukee Bucks,73,17595,36.9,89,13.2,37.3,23.7,51.8,15.8,20.1,9,34.4,43.4,22.9,7,4.2,13.4,20.6,102.9
Toronto Raptors,72,17380,37.2,87,12.9,38.3,24.3,48.7,17.6,22.9,10.8,34.6,45.4,25.2,7.1,5.4,16.6,20.1,105
Los Angeles Lakers,71,17090,38.6,86.1,11.5,33,27.1,53.1,17.7,22.6,9.3,32.5,41.7,23.1,8.1,3.7,15.7,21.5,106.3
Boston Celtics,72,17430,38.3,86.8,11.8,34.7,26.5,52.1,18.7,24.4,10.3,33.9,44.2,22.3,7.1,5.5,15.2,20.6,107
Los Angeles Clippers,72,17380,38.7,88.3,12,34.9,26.7,53.4,18.2,24,10.5,33.9,44.4,23.2,7.3,4.6,13.8,22.4,107.6
Indiana Pacers,73,17620,39.7,88.9,11.5,33.8,28.2,55.1,17.1,21.7,10.4,35,45.5,23.2,6.9,4.6,14.7,18.9,108
Oklahoma City Thunder,72,17430,40.9,90,11.3,33.4,29.6,56.6,15.6,19.6,10.5,34.5,45,23.1,7,4,14.3,22.9,108.8
Philadelphia 76ers,73,17595,40,86.4,10.5,29.6,29.6,56.8,18.5,24.6,8.7,33.4,42.1,22.9,7,4,13.9,20.6,109
Miami Heat,73,17745,38.9,87,13.1,37.9,25.8,49.1,18.5,23.7,9.3,33.4,42.7,24.7,7.5,4.2,14.1,21.8,109.5
Orlando Magic,73,17570,40.9,87.9,12.4,34,28.5,53.9,15.4,20,9.1,36.2,45.4,25,7.1,4.7,14.8,19.7,109.5
Brooklyn Nets,72,17480,40.3,90.5,11.9,33.9,28.5,56.6,16.9,22,10.4,34.4,44.8,22.1,7.5,5.1,12.4,20.6,109.5
Chicago Bulls,65,15675,39.5,82.4,11.2,31.6,28.3,50.8,19.7,26,10.1,35.3,45.5,25.4,8.1,5.9,18.2,19.1,109.8
Utah Jazz,72,17355,41.1,90,11.1,31.3,30,58.6,16.6,21.7,9.6,33.5,43.1,21.7,7.9,4.6,12.5,21,109.9
Houston Rockets,72,17380,40.5,87.7,11.7,33.6,28.8,54.1,17.3,22.7,10.7,35.2,45.9,24.2,7.7,4.7,15.5,20.2,110.1
Memphis Grizzlies,73,17570,39.4,87.6,12.5,34.3,26.9,53.3,19,24.3,10,33.5,43.5,24.1,7.8,5.1,14.3,19.6,110.3
Denver Nuggets,73,17745,40.7,87.9,12.3,34.4,28.3,53.4,17.4,22.9,10.2,33.1,43.4,25.8,7.3,4.5,14.5,20.8,111
Phoenix Suns,73,17595,40.5,85.9,11.4,31.4,29.1,54.4,19,24.1,8.9,33.6,42.6,23.2,7.8,5.4,15.3,22.3,111.4
Dallas Mavericks,75,18175,41.8,91.3,12.2,34.8,29.6,56.5,16,21,10.4,34.9,45.3,23.9,7,4.1,11.9,21.3,111.7
New Orleans Pelicans,72,17430,40.8,87.8,11.7,32.4,29.2,55.4,18.6,23.6,9.6,33.2,42.8,23.4,8.2,4.6,13.9,20.2,111.9
Minnesota Timberwolves,64,15560,41.2,86.3,11,30.4,30.1,55.9,18.8,24.1,9.7,35.5,45.2,23.3,7.4,5.3,14.8,20.6,112.2
Sacramento Kings,72,17455,40.3,85.6,12.4,34.8,27.9,50.8,19.2,24.3,9.1,34.5,43.6,24.9,7.7,4.2,15.2,19.5,112.2
Detroit Pistons,66,15965,42.6,88.8,10.9,30.1,31.8,58.7,16.5,21.2,10.3,34,44.2,25,8.4,5.7,14.2,20.1,112.7
New York Knicks,66,15965,40.1,86.6,13.4,35.1,26.7,51.5,19.4,25.9,9.6,34.8,44.5,24.5,7.2,5.1,13.8,19.9,113
Charlotte Hornets,65,15750,43.1,90.5,12.8,36.2,30.3,54.2,14.4,19,11.3,36.2,47.5,27.5,8.3,5.2,14.9,21.3,113.3
San Antonio Spurs,71,17215,41.7,88.9,12.9,34.6,28.8,54.3,17.2,22.1,9.2,35.4,44.6,25.3,6.7,4.3,13,19.8,113.5
Golden State Warriors,65,15725,41.7,87.6,13.4,34.4,28.4,53.2,16.9,21.6,10.1,35.9,46,25.8,8.2,4.9,15.5,19.9,113.8
Portland Trail Blazers,74,17835,41.3,90.6,13.4,35,27.9,55.6,18.8,24.4,11.4,35,46.3,24.6,6.7,4.9,12.7,19.9,114.8
Atlanta Hawks,67,16280,41.5,87,11.4,31.4,30.1,55.6,20.3,26.3,10.7,34.4,45.1,24,8.6,6.1,14.4,20.1,114.8
Cleveland Cavaliers,65,15725,44.1,89.9,12.4,33.2,31.7,56.7,14.8,19.3,9.8,33.3,43.1,26.3,9.5,6.4,13.1,19.8,115.4
Washington Wizards,72,17355,41.8,85.7,12.1,32.1,29.7,53.6,19.8,25.5,10.1,34.6,44.8,24.4,7.3,4.9,15.7,21.6,115.5
