Team,G,MP,FG%,%of Opp 2pt fg,%of Opp fg from 0-3,%of Opp fg from 3-10,%of Opp fg from 10-16,%of Opp fg from 16-3P,%of Opp fg from 3P,Opp 2Pfg%,Opp 0-3fg%,Opp 3-10 fg%,Opp 10-16fg%,Opp 16-3Pfg%,Opp 3Pfg%,Opp %2P off assists,Opp %3P off assists,%FGA on dunks,# of made dunks,%FGA on layups,# of made layups,%FGA on corner 3s,3P% on corner 3s
Atlanta Hawks,67,16280,0.478,0.639,0.322,0.152,0.09,0.075,0.361,0.542,0.673,0.389,0.442,0.413,0.363,0.482,0.826,0.069,369,0.303,1017,0.192,0.373
Boston Celtics,72,17430,0.441,0.601,0.25,0.186,0.087,0.078,0.399,0.508,0.663,0.399,0.402,0.391,0.34,0.479,0.818,0.055,305,0.275,895,0.198,0.388
Brooklyn Nets,72,17480,0.446,0.625,0.241,0.173,0.117,0.094,0.375,0.503,0.65,0.404,0.433,0.396,0.35,0.451,0.777,0.049,282,0.252,901,0.203,0.358
Chicago Bulls,65,15675,0.479,0.617,0.344,0.147,0.071,0.055,0.383,0.557,0.687,0.369,0.435,0.401,0.353,0.564,0.847,0.072,350,0.31,957,0.249,0.412
Charlotte Hornets,65,15750,0.476,0.599,0.316,0.15,0.073,0.06,0.401,0.558,0.681,0.408,0.47,0.398,0.352,0.55,0.853,0.069,351,0.295,955,0.25,0.38
Cleveland Cavaliers,65,15725,0.491,0.631,0.33,0.148,0.079,0.075,0.369,0.558,0.689,0.421,0.409,0.406,0.375,0.514,0.803,0.068,360,0.281,989,0.232,0.414
Dallas Mavericks,75,18175,0.458,0.619,0.274,0.177,0.092,0.076,0.381,0.523,0.67,0.394,0.416,0.423,0.351,0.48,0.79,0.059,360,0.268,989,0.184,0.388
Denver Nuggets,73,17745,0.463,0.608,0.294,0.163,0.087,0.064,0.392,0.53,0.678,0.397,0.402,0.365,0.358,0.55,0.829,0.069,391,0.277,959,0.238,0.403
Detroit Pistons,66,15965,0.48,0.661,0.293,0.193,0.094,0.081,0.339,0.541,0.685,0.415,0.469,0.409,0.361,0.507,0.821,0.067,342,0.288,931,0.216,0.415
Golden State Warriors,65,15725,0.476,0.607,0.262,0.186,0.089,0.071,0.393,0.533,0.693,0.4,0.421,0.428,0.389,0.519,0.83,0.066,338,0.281,888,0.211,0.452
Houston Rockets,72,17380,0.462,0.617,0.296,0.164,0.089,0.067,0.383,0.532,0.69,0.386,0.377,0.402,0.349,0.516,0.798,0.054,333,0.294,1108,0.259,0.345
Indiana Pacers,73,17620,0.446,0.62,0.3,0.163,0.082,0.075,0.38,0.511,0.625,0.418,0.403,0.376,0.341,0.488,0.821,0.058,337,0.289,961,0.203,0.349
Los Angeles Clippers,72,17380,0.438,0.605,0.26,0.158,0.1,0.087,0.395,0.499,0.66,0.388,0.394,0.339,0.345,0.513,0.795,0.051,298,0.249,864,0.19,0.368
Los Angeles Lakers,71,17090,0.448,0.616,0.281,0.17,0.086,0.08,0.384,0.51,0.656,0.377,0.396,0.404,0.349,0.502,0.828,0.064,342,0.27,866,0.198,0.39
Memphis Grizzlies,73,17570,0.45,0.609,0.275,0.152,0.101,0.081,0.391,0.504,0.634,0.391,0.412,0.39,0.365,0.514,0.822,0.052,300,0.261,918,0.21,0.418
Miami Heat,73,17745,0.448,0.565,0.257,0.159,0.082,0.068,0.435,0.525,0.687,0.415,0.373,0.352,0.347,0.535,0.826,0.058,344,0.242,875,0.229,0.368
Milwaukee Bucks,73,17595,0.414,0.582,0.221,0.15,0.125,0.085,0.418,0.457,0.601,0.334,0.397,0.387,0.355,0.497,0.841,0.042,245,0.235,737,0.202,0.386
Minnesota Timberwolves,64,15560,0.477,0.647,0.305,0.163,0.097,0.082,0.353,0.539,0.673,0.395,0.417,0.474,0.363,0.488,0.777,0.055,295,0.309,993,0.187,0.407
New Orleans Pelicans,72,17430,0.465,0.631,0.319,0.161,0.082,0.07,0.369,0.526,0.654,0.384,0.39,0.434,0.361,0.488,0.785,0.063,373,0.306,1087,0.209,0.422
New York Knicks,66,15965,0.463,0.594,0.279,0.144,0.092,0.08,0.406,0.52,0.666,0.377,0.418,0.383,0.381,0.513,0.804,0.063,324,0.258,789,0.201,0.415
Oklahoma City Thunder,72,17430,0.455,0.629,0.273,0.178,0.095,0.084,0.371,0.523,0.667,0.407,0.429,0.406,0.34,0.472,0.803,0.055,317,0.293,1013,0.211,0.354
Orlando Magic,73,17570,0.465,0.613,0.26,0.172,0.1,0.082,0.387,0.529,0.684,0.381,0.445,0.445,0.364,0.509,0.848,0.055,309,0.273,935,0.2,0.422
Philadelphia 76ers,73,17595,0.463,0.658,0.277,0.173,0.113,0.094,0.342,0.52,0.692,0.392,0.4,0.395,0.353,0.5,0.776,0.063,352,0.274,953,0.159,0.383
Phoenix Suns,73,17595,0.472,0.634,0.311,0.152,0.089,0.082,0.366,0.535,0.66,0.418,0.401,0.421,0.363,0.49,0.783,0.06,353,0.287,1017,0.204,0.379
Portland Trail Blazers,74,17835,0.456,0.614,0.297,0.156,0.088,0.072,0.386,0.501,0.618,0.381,0.395,0.411,0.383,0.494,0.808,0.057,346,0.272,960,0.214,0.405
Sacramento Kings,72,17455,0.471,0.593,0.275,0.167,0.085,0.066,0.407,0.549,0.708,0.402,0.436,0.399,0.357,0.523,0.83,0.058,325,0.272,985,0.223,0.378
San Antonio Spurs,71,17215,0.469,0.611,0.282,0.158,0.094,0.076,0.389,0.53,0.665,0.393,0.42,0.451,0.373,0.507,0.831,0.06,343,0.271,945,0.191,0.401
Toronto Raptors,72,17380,0.428,0.56,0.261,0.149,0.091,0.06,0.44,0.499,0.624,0.385,0.409,0.379,0.337,0.566,0.884,0.046,251,0.247,813,0.308,0.365
Utah Jazz,72,17355,0.457,0.652,0.248,0.191,0.119,0.094,0.348,0.512,0.673,0.398,0.44,0.409,0.353,0.439,0.771,0.048,283,0.265,934,0.167,0.389
Washington Wizards,72,17355,0.488,0.625,0.274,0.182,0.088,0.08,0.375,0.555,0.7,0.445,0.444,0.431,0.376,0.495,0.806,0.065,373,0.291,1041,0.181,0.424
