Team,G,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Charlotte Hornets,65,15750,2708,5690,803,2279,1905,3411,907,1197,711,2276,2987,1732,523,328,935,1337,7126
Chicago Bulls,65,15675,2568,5364,726,2057,1842,3307,1283,1691,660,2299,2959,1653,530,384,1187,1246,7145
Detroit Pistons,66,15965,2768,5764,705,1952,2063,3812,1072,1379,668,2204,2872,1625,543,369,923,1308,7313
New York Knicks,66,15965,2631,5678,877,2303,1754,3375,1270,1696,632,2284,2916,1605,474,333,907,1305,7409
Cleveland Cavaliers,65,15725,2851,5811,804,2143,2047,3668,955,1245,633,2154,2787,1699,613,412,844,1277,7461
Golden State Warriors,65,15725,2743,5760,879,2261,1864,3499,1113,1422,661,2359,3020,1698,536,321,1016,1308,7478
Minnesota Timberwolves,64,15560,2760,5786,740,2040,2020,3746,1263,1613,647,2383,3030,1560,499,355,992,1383,7523
Los Angeles Lakers,71,17090,2773,6187,827,2373,1946,3814,1270,1626,668,2333,3001,1662,585,263,1130,1544,7643
Toronto Raptors,72,17380,2721,6359,943,2798,1778,3561,1284,1670,786,2530,3316,1841,520,395,1212,1466,7669
Boston Celtics,72,17430,2764,6268,851,2504,1913,3764,1350,1761,743,2449,3192,1613,514,396,1097,1487,7729
Oklahoma City Thunder,72,17430,2937,6454,814,2395,2123,4059,1119,1408,754,2472,3226,1656,505,290,1024,1641,7807
Utah Jazz,72,17355,2930,6417,790,2235,2140,4182,1185,1545,688,2386,3074,1548,566,329,889,1501,7835
Indiana Pacers,73,17620,2883,6459,837,2455,2046,4004,1243,1577,757,2545,3302,1686,504,335,1071,1373,7846
Orlando Magic,73,17570,2949,6343,893,2453,2056,3890,1114,1445,660,2616,3276,1804,511,338,1065,1420,7905
Philadelphia 76ers,73,17595,2905,6275,759,2148,2146,4127,1341,1786,628,2426,3054,1661,510,294,1009,1493,7910
Los Angeles Clippers,72,17380,2846,6494,886,2566,1960,3928,1335,1766,771,2491,3262,1709,540,338,1013,1647,7913
Milwaukee Bucks,73,17595,2843,6862,1020,2871,1823,3991,1221,1551,693,2651,3344,1764,538,326,1030,1586,7927
Miami Heat,73,17745,2831,6326,956,2753,1875,3573,1346,1720,674,2431,3105,1794,545,302,1022,1584,7964
Denver Nuggets,73,17745,2919,6311,885,2473,2034,3838,1247,1643,736,2377,3113,1852,525,324,1041,1494,7970
Atlanta Hawks,67,16280,2903,6078,797,2194,2106,3884,1419,1839,748,2402,3150,1674,600,428,1006,1404,8022
Sacramento Kings,72,17455,2898,6158,894,2506,2004,3652,1384,1752,654,2481,3135,1791,557,304,1094,1404,8074
Brooklyn Nets,72,17480,2981,6688,877,2505,2104,4183,1250,1625,766,2541,3307,1630,554,379,919,1521,8089
San Antonio Spurs,71,17215,3004,6402,931,2493,2073,3909,1238,1594,665,2551,3216,1825,486,308,937,1424,8177
Houston Rockets,72,17380,3045,6589,880,2522,2165,4067,1299,1706,803,2645,3448,1819,578,354,1163,1515,8269
Phoenix Suns,73,17595,3011,6378,848,2335,2163,4043,1408,1787,664,2497,3161,1723,576,401,1139,1653,8278
Memphis Grizzlies,73,17570,2964,6592,942,2580,2022,4012,1430,1828,756,2519,3275,1814,585,386,1080,1474,8300
Dallas Mavericks,75,18175,3143,6868,919,2615,2224,4253,1200,1578,782,2625,3407,1794,525,311,896,1601,8405
New Orleans Pelicans,72,17430,3077,6611,880,2438,2197,4173,1400,1775,727,2501,3228,1763,615,348,1045,1519,8434
Washington Wizards,72,17355,3104,6363,896,2386,2208,3977,1470,1890,753,2572,3325,1814,541,363,1163,1601,8574
Portland Trail Blazers,74,17835,3090,6781,1003,2619,2087,4162,1410,1828,852,2617,3469,1840,502,364,953,1488,8593
