Team,G,MP,FG%,% of fga that were 2pt,%of fga from 0-3,%of fga from 3-10,%of fga from 10-16,%of fga from 16-3P,%of fga from 3P,fg% on 2P,fg% on 0-3,fg% on 3-10,fg% on 10-16,fg% on 16-3P,fg% on 3P,%of 2P assisted,%of 3P assisted,%of dunk FGA,# of made dunks,%of layup FGA,# of made layups,%of corner 3PA,3P% of corner 3PA
Atlanta Hawks,67,16280,0.449,0.602,0.291,0.155,0.097,0.059,0.398,0.525,0.658,0.414,0.394,0.376,0.333,0.525,0.743,0.086,448,0.268,829,0.201,0.342
Boston Celtics,72,17430,0.461,0.614,0.276,0.173,0.094,0.071,0.386,0.522,0.662,0.387,0.437,0.416,0.364,0.491,0.707,0.053,302,0.307,1039,0.181,0.396
Brooklyn Nets,72,17480,0.448,0.577,0.315,0.15,0.07,0.042,0.423,0.524,0.651,0.358,0.381,0.413,0.343,0.518,0.789,0.068,383,0.318,1061,0.213,0.369
Chicago Bulls,65,15675,0.447,0.604,0.34,0.152,0.057,0.055,0.396,0.511,0.627,0.362,0.375,0.354,0.348,0.487,0.812,0.072,372,0.305,900,0.225,0.383
Charlotte Hornets,65,15750,0.434,0.601,0.303,0.192,0.062,0.044,0.399,0.489,0.627,0.357,0.321,0.352,0.352,0.56,0.803,0.061,307,0.299,828,0.201,0.397
Cleveland Cavaliers,65,15725,0.458,0.638,0.297,0.183,0.101,0.057,0.362,0.519,0.64,0.407,0.443,0.385,0.351,0.472,0.835,0.057,295,0.267,833,0.188,0.396
Dallas Mavericks,75,18175,0.461,0.543,0.245,0.162,0.082,0.053,0.457,0.541,0.696,0.407,0.413,0.431,0.367,0.483,0.783,0.054,325,0.236,927,0.204,0.408
Denver Nuggets,73,17745,0.473,0.656,0.278,0.18,0.105,0.092,0.344,0.533,0.687,0.402,0.417,0.456,0.359,0.56,0.853,0.056,326,0.27,1003,0.208,0.401
Detroit Pistons,66,15965,0.459,0.619,0.282,0.214,0.072,0.05,0.381,0.515,0.66,0.4,0.369,0.401,0.367,0.499,0.871,0.061,314,0.304,891,0.284,0.422
Golden State Warriors,65,15725,0.438,0.645,0.244,0.166,0.108,0.128,0.355,0.495,0.666,0.382,0.416,0.384,0.334,0.597,0.841,0.068,343,0.252,733,0.182,0.405
Houston Rockets,72,17380,0.451,0.499,0.297,0.126,0.04,0.036,0.501,0.557,0.672,0.379,0.403,0.402,0.345,0.43,0.692,0.05,297,0.293,1075,0.245,0.378
