Player,Age,Team,Pos,G,GS,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,playerID
Julius Randle,26,NYK,PF,71,71,2667,11.3,24.8,3,7.3,8.3,17.5,6.5,8,1.6,12,13.6,8,1.2,0.3,4.5,4.2,32.1,111,107,randlju01
RJ Barrett,20,NYK,SG,72,72,2511,9.3,21.1,2.5,6.2,6.8,15,4.1,5.5,1.4,6.9,8.2,4.3,1.1,0.4,2.8,3.7,25.2,106,110,barrerj01
Nikola Jokić,25,DEN,C,72,72,2488,14.5,25.7,1.8,4.7,12.7,21,6.8,7.8,4.1,11.4,15.5,11.9,1.9,1,4.4,3.8,37.7,130,109,jokicni01
Buddy Hield,28,SAC,SG,71,71,2433,8,19.6,5.6,14.2,2.4,5.3,1.7,2.1,0.6,6,6.6,5.1,1.2,0.6,2.6,3.5,23.2,109,119,hieldbu01
Damian Lillard,30,POR,PG,67,67,2398,12.2,27.1,5.6,14.3,6.7,12.8,9.1,9.8,0.7,5.1,5.8,10.3,1.3,0.3,4.1,2.1,39.2,125,118,lillada01
Terry Rozier,26,CHA,SG,69,69,2383,10.5,23.2,4.5,11.7,5.9,11.5,3.4,4.1,1,5.2,6.2,6,1.8,0.5,2.6,2.4,28.8,113,114,roziete01
Russell Westbrook,32,WAS,PG,65,65,2369,10.6,24.1,1.7,5.3,8.9,18.8,5.3,8,2.1,12.5,14.6,14.9,1.7,0.4,6.1,3.7,28.1,105,110,westbru01
Andrew Wiggins,25,GSW,PF,71,71,2364,10,21,2.8,7.3,7.3,13.7,3.4,4.7,1.6,5.3,6.9,3.3,1.3,1.4,2.5,3.2,26.2,107,111,wiggian01
Mikal Bridges,24,PHX,SF,72,72,2348,7.6,14.1,2.8,6.6,4.8,7.4,2.3,2.8,1.6,4.9,6.5,3.2,1.6,1.3,1.2,2.4,20.4,131,112,bridgmi01
Nikola Vučević,30,TOT,C,70,70,2348,13.8,28.9,3.6,9.1,10.1,19.8,2.7,3.2,3,13.9,16.9,5.6,1.3,1,2.6,2.8,33.9,112,110,vucevni01
Anthony Edwards,19,MIN,SG,72,55,2314,10.3,24.7,3.5,10.6,6.8,14.1,4.3,5.6,1.2,5.7,6.9,4.3,1.7,0.7,3.3,2.6,28.4,102,116,edwaran01
Jayson Tatum,22,BOS,SF,64,64,2290,12.9,28.1,4,10.3,8.9,17.8,6.3,7.3,1.1,9,10.1,5.9,1.6,0.7,3.6,2.6,36.1,114,112,tatumja01
Devin Booker,24,PHX,SG,67,67,2270,13.5,28,2.7,8.1,10.8,19.9,7.4,8.5,0.7,5.4,6.1,6.3,1.2,0.3,4.5,3.9,37.2,110,114,bookede01
Khris Middleton,29,MIL,SF,68,68,2269,10.6,22.2,3.1,7.6,7.5,14.7,4.4,4.9,1.1,7.3,8.4,7.7,1.5,0.2,3.7,3.3,28.7,116,113,middlkh01
Duncan Robinson,26,MIA,SF,72,72,2262,6.9,15.7,5.5,13.5,1.4,2.3,1.4,1.6,0.2,5.3,5.5,2.8,0.9,0.4,1.8,4,20.7,113,114,robindu01
Luka Dončić,21,DAL,PG,66,66,2262,14.1,29.5,4.2,11.9,9.9,17.5,7.5,10.3,1.2,10.3,11.5,12.4,1.4,0.8,6.1,3.3,39.9,114,111,doncilu01
Robert Covington,30,POR,PF,70,70,2243,4.4,11.1,2.9,7.7,1.5,3.3,1.1,1.3,1.3,8.8,10.1,2.5,2.2,1.8,1.4,4.2,12.9,113,112,covinro01
Royce O'Neale,27,UTA,SF,71,71,2241,3.8,8.6,2.3,6,1.5,2.5,0.8,1,1.9,8.6,10.5,3.9,1.2,0.7,1.8,4,10.8,121,108,onealro01
Domantas Sabonis,24,IND,PF,62,62,2231,10.3,19.2,1.1,3.4,9.2,15.7,5.1,6.9,3.2,12.5,15.7,8.8,1.6,0.7,4.5,4.3,26.7,115,110,sabondo01
Bojan Bogdanović,31,UTA,SF,72,72,2216,8.9,20.3,4,10.1,5,10.2,5.1,5.8,0.9,5.3,6.2,3,1,0.1,2.8,2.5,26.9,113,112,bogdabo02
Norman Powell,27,TOT,SG,69,58,2205,9.6,20.2,3.8,9.2,5.9,11.1,5.2,6,0.9,3.8,4.7,2.8,1.8,0.4,2.6,3.5,28.3,116,116,powelno01
Chris Paul,35,PHX,PG,70,70,2199,9.9,19.7,2.3,5.8,7.6,13.9,3.8,4.1,0.6,6.4,7,14,2.2,0.4,3.5,3.7,25.8,124,111,paulch01
Rudy Gobert,28,UTA,C,71,71,2187,8.7,12.9,0,0.1,8.7,12.8,5.2,8.3,5.3,16,21.4,2,0.9,4.2,2.6,3.6,22.6,131,101,goberru01
Justin Holiday,31,IND,SG,72,52,2183,5.6,13.5,3.7,9.8,1.8,3.7,1.5,1.8,0.7,4.9,5.5,2.6,1.6,0.9,1.2,2.9,16.4,112,114,holidju01
Isaac Okoro,20,CLE,SG,67,67,2173,5.3,12.7,1.4,4.9,3.9,7.8,2.6,3.6,1.5,3.1,4.7,2.9,1.4,0.5,2,4.2,14.7,103,117,okorois01
Coby White,20,CHI,PG,69,54,2156,8.4,20.3,3.7,10.2,4.8,10.1,2.9,3.2,0.6,5.8,6.4,7.4,0.9,0.3,3.5,4,23.4,106,115,whiteco01
Stephen Curry,32,GSW,PG,63,63,2152,14.4,29.8,7.4,17.5,7,12.3,7.9,8.6,0.6,6.9,7.5,7.9,1.7,0.2,4.6,2.6,44,119,111,curryst01
Bradley Beal,27,WAS,SG,60,60,2147,14.4,29.7,2.8,8,11.6,21.7,8.8,9.9,1.5,4.5,6.1,5.7,1.5,0.5,4,3,40.3,114,115,bealbr01
