Player,Age,Team,Pos,G,GS,MP,+/- Per 100 PossOnCourt,+/- Per 100 PossOn-Off,BadPass,LostBall,Fouls Committed_Shoot,Fouls Committed_Off.,Fouls Drawn_Shoot,Fouls Drawn_Off.,PGA,And1,Blkd,playerID
Julius Randle,26,NYK,PF,71,71,2667,2.6,0.2,100,71,73,43,180,7,1092,49,70,randlju01
RJ Barrett,20,NYK,SG,72,72,2511,2.6,0.4,77,35,85,14,133,13,520,28,86,barrerj01
Nikola Jokić,25,DEN,C,72,72,2488,6.6,6.4,130,63,102,16,145,5,1410,38,62,jokicni01
Buddy Hield,28,SAC,SG,71,71,2433,-1.6,6.9,78,33,91,5,21,4,579,5,33,hieldbu01
Damian Lillard,30,POR,PG,67,67,2398,3.9,6.6,143,38,42,15,176,26,1256,32,67,lillada01
Terry Rozier,26,CHA,SG,69,69,2383,-2.1,0.1,67,32,52,17,74,25,720,23,37,roziete01
Russell Westbrook,32,WAS,PG,65,65,2369,-1.5,1.3,212,65,58,17,197,10,1767,46,73,westbru01
Andrew Wiggins,25,GSW,PF,71,71,2364,0.1,-2.3,56,36,96,16,125,6,428,30,44,wiggian01
Mikal Bridges,24,PHX,SF,72,72,2348,7.6,4.4,35,14,60,3,61,14,361,17,24,bridgmi01
Nikola Vučević,30,TOT,C,70,70,2348,-6.9,-1.1,56,42,75,15,58,3,661,16,52,vucevni01
Anthony Edwards,19,MIN,SG,72,55,2314,-5.3,0.3,68,55,58,17,138,2,528,34,68,edwaran01
Jayson Tatum,22,BOS,SF,64,64,2290,2.8,5.3,86,41,42,25,139,4,696,31,62,tatumja01
Devin Booker,24,PHX,SG,67,67,2270,7.2,3.1,102,52,74,29,176,17,716,43,46,bookede01
Khris Middleton,29,MIL,SF,68,68,2269,5.4,-0.5,91,54,73,14,94,9,873,26,52,middlkh01
Duncan Robinson,26,MIA,SF,72,72,2262,1.9,5.1,37,11,90,18,25,17,294,10,19,robindu01
Luka Dončić,21,DAL,PG,66,66,2262,3.3,3,182,69,73,14,210,7,1375,52,51,doncilu01
Robert Covington,30,POR,PF,70,70,2243,4.4,7,28,6,117,15,23,13,299,2,16,covinro01
Royce O'Neale,27,UTA,SF,71,71,2241,10.9,3.7,49,10,87,8,14,22,475,2,9,onealro01
