Player,Age,Team,Pos,G,GS,MP,FG%,%of FGA from 2P,%of FGA from 0-3,%of FGA from 3-10,%of FGA from 10-16,%of FGA from 16-3P,%of FGA from 3P,FG% on 2P,FG% on 0-3,FG% on 3-10,FG% on 10-16,FG% on 16-3P,FG% on 3P,%of 2P assisted,%of 3P assisted,%FGA that were dunks,# of made dunks,%3PA from the corner,3P% from the corner,playerID
Julius Randle,26,NYK,PF,71,71,2667,0.456,0.706,0.162,0.176,0.201,0.167,0.294,0.474,0.659,0.408,0.434,0.414,0.411,0.342,0.794,0.022,25,0.219,0.412,randlju01
RJ Barrett,20,NYK,SG,72,72,2511,0.441,0.708,0.325,0.228,0.087,0.069,0.292,0.457,0.605,0.318,0.315,0.397,0.401,0.353,0.976,0.04,39,0.427,0.424,barrerj01
Nikola Jokić,25,DEN,C,72,72,2488,0.566,0.817,0.244,0.35,0.14,0.082,0.183,0.606,0.753,0.572,0.481,0.528,0.388,0.484,0.967,0.037,45,0.034,0.375,jokicni01
Buddy Hield,28,SAC,SG,71,71,2433,0.406,0.273,0.087,0.06,0.064,0.063,0.727,0.446,0.64,0.267,0.444,0.355,0.391,0.331,0.812,0.009,8,0.136,0.469,hieldbu01
Damian Lillard,30,POR,PG,67,67,2398,0.451,0.472,0.238,0.096,0.044,0.094,0.528,0.519,0.631,0.359,0.441,0.437,0.391,0.177,0.393,0.015,19,0.038,0.185,lillada01
Terry Rozier,26,CHA,SG,69,69,2383,0.45,0.496,0.183,0.15,0.097,0.066,0.504,0.512,0.615,0.418,0.564,0.36,0.389,0.403,0.829,0.011,12,0.243,0.453,roziete01
Russell Westbrook,32,WAS,PG,65,65,2369,0.439,0.779,0.194,0.245,0.117,0.224,0.221,0.475,0.65,0.465,0.379,0.383,0.315,0.164,0.628,0.025,24,0.103,0.429,westbru01
Andrew Wiggins,25,GSW,PF,71,71,2364,0.477,0.652,0.218,0.197,0.108,0.129,0.348,0.529,0.706,0.5,0.404,0.38,0.38,0.479,0.829,0.065,65,0.247,0.418,wiggian01
Mikal Bridges,24,PHX,SF,72,72,2348,0.543,0.529,0.278,0.135,0.082,0.034,0.471,0.647,0.801,0.5,0.455,0.435,0.425,0.764,0.985,0.058,38,0.597,0.441,bridgmi01
Nikola Vučević,30,TOT,C,70,70,2348,0.477,0.685,0.143,0.251,0.166,0.125,0.315,0.513,0.683,0.484,0.466,0.437,0.4,0.616,0.994,0.018,19,0.02,0.333,vucevni01
Anthony Edwards,19,MIN,SG,72,55,2314,0.417,0.571,0.306,0.145,0.047,0.072,0.429,0.483,0.647,0.318,0.246,0.276,0.329,0.392,0.632,0.066,70,0.14,0.301,edwaran01
Jayson Tatum,22,BOS,SF,64,64,2290,0.459,0.632,0.197,0.206,0.141,0.088,0.368,0.502,0.735,0.417,0.349,0.422,0.386,0.383,0.465,0.045,55,0.136,0.364,tatumja01
Devin Booker,24,PHX,SG,67,67,2270,0.484,0.712,0.179,0.163,0.231,0.139,0.288,0.543,0.678,0.481,0.542,0.441,0.34,0.394,0.659,0.021,24,0.086,0.5,bookede01
Khris Middleton,29,MIL,SF,68,68,2269,0.476,0.66,0.15,0.146,0.196,0.168,0.34,0.508,0.652,0.49,0.464,0.444,0.414,0.333,0.649,0.014,11,0.156,0.439,middlkh01
Duncan Robinson,26,MIA,SF,72,72,2262,0.439,0.145,0.079,0.029,0.022,0.014,0.855,0.625,0.825,0.429,0.438,0.2,0.408,0.892,0.972,0.006,4,0.186,0.368,robindu01
Luka Dončić,21,DAL,PG,66,66,2262,0.479,0.594,0.18,0.201,0.153,0.06,0.406,0.567,0.708,0.507,0.512,0.481,0.35,0.095,0.234,0.008,11,0.031,0.471,doncilu01
