Team,G,MP,FG%,%of FGA from 2P,%of FGA from 0-3,%of FGA from 3-10,%of FGA from 10-16,%of FGA from 16-3P,%of FGA from 3P,FG% on 2P,FG% on 0-3,FG% on 3-10,FG% on 10-16,FG% on 16-3P,FG% on 3P,%of 2P assisted,%of 3P assisted,%FGA on dunks,# of made dunks,%FGA on layups,# of made layps,%3PA from the corner,3P% from the corner
Atlanta Hawks,72,17405,0.468,0.618,0.26,0.178,0.119,0.061,0.382,0.526,0.656,0.415,0.454,0.443,0.373,0.504,0.791,0.065,368,0.252,818,0.207,0.4
Boston Celtics,72,17380,0.466,0.591,0.218,0.208,0.094,0.071,0.409,0.53,0.693,0.453,0.412,0.414,0.374,0.478,0.746,0.054,307,0.263,941,0.191,0.393
Brooklyn Nets,72,17405,0.494,0.587,0.271,0.164,0.097,0.055,0.413,0.565,0.693,0.443,0.48,0.45,0.392,0.536,0.795,0.062,357,0.261,936,0.22,0.408
Chicago Bulls,72,17380,0.476,0.617,0.275,0.178,0.085,0.079,0.383,0.542,0.672,0.447,0.428,0.425,0.37,0.549,0.838,0.048,281,0.282,1021,0.231,0.427
Charlotte Hornets,72,17355,0.455,0.578,0.283,0.166,0.071,0.059,0.422,0.517,0.637,0.4,0.418,0.387,0.369,0.589,0.831,0.063,355,0.281,907,0.221,0.421
Cleveland Cavaliers,72,17430,0.45,0.653,0.31,0.211,0.085,0.047,0.347,0.51,0.626,0.419,0.4,0.354,0.336,0.54,0.84,0.061,341,0.289,946,0.22,0.376
Dallas Mavericks,72,17305,0.47,0.564,0.23,0.152,0.111,0.071,0.436,0.554,0.715,0.429,0.475,0.426,0.362,0.445,0.778,0.055,291,0.215,796,0.208,0.368
Denver Nuggets,72,17480,0.485,0.617,0.226,0.215,0.095,0.081,0.383,0.552,0.73,0.46,0.444,0.425,0.377,0.523,0.851,0.051,295,0.268,1005,0.219,0.429
Detroit Pistons,72,17430,0.452,0.615,0.273,0.21,0.073,0.06,0.385,0.515,0.66,0.416,0.359,0.386,0.351,0.509,0.901,0.057,312,0.303,1014,0.226,0.351
Golden State Warriors,72,17305,0.468,0.561,0.229,0.181,0.072,0.079,0.439,0.541,0.709,0.449,0.402,0.391,0.376,0.595,0.806,0.064,370,0.267,962,0.21,0.402
Houston Rockets,72,17305,0.444,0.541,0.284,0.158,0.043,0.056,0.459,0.532,0.683,0.385,0.354,0.317,0.339,0.486,0.814,0.056,314,0.309,1091,0.227,0.342
Indiana Pacers,72,17455,0.474,0.628,0.316,0.176,0.081,0.054,0.372,0.54,0.655,0.414,0.445,0.417,0.364,0.535,0.88,0.033,198,0.341,1301,0.21,0.421
Los Angeles Clippers,72,17280,0.482,0.6,0.219,0.164,0.121,0.095,0.4,0.529,0.688,0.432,0.446,0.439,0.411,0.454,0.834,0.06,326,0.21,734,0.271,0.472
Los Angeles Lakers,72,17455,0.472,0.637,0.288,0.167,0.105,0.077,0.363,0.539,0.701,0.434,0.403,0.35,0.354,0.506,0.877,0.065,344,0.282,1046,0.25,0.367
