Player,Age,Team,Pos,G,GS,MP,FG%,%of FGA from 2P,%of FGA from 0-3,%of FGA from 3-10,%of FGA from 10-16,%of FGA from 16-3P,%of FGA from 3P,FG% from 2P,FG% from 0-3,FG% from 3-10,FG% from 10-16,FG% from 16-3P,FG% from 3P,%of 2PFG assisted,%of 3PFG assisted,%FGA from dunks,# of made dunks,%3PA from the corner,3P% from the corner,playerID
Mikal Bridges,25,PHX,SF,82,82,2854,0.534,0.636,0.224,0.203,0.155,0.045,0.364,0.628,0.792,0.621,0.504,0.256,0.369,0.752,0.974,0.064,52,0.551,0.401,bridgmi01
Miles Bridges,23,CHA,PF,80,80,2837,0.491,0.617,0.357,0.212,0.02,0.029,0.383,0.59,0.723,0.412,0.458,0.343,0.331,0.597,0.825,0.107,118,0.275,0.344,bridgmi02
DeMar DeRozan,32,CHI,PF,76,76,2743,0.504,0.907,0.164,0.158,0.297,0.288,0.093,0.52,0.671,0.494,0.511,0.457,0.352,0.217,0.9,0.026,33,0.387,0.327,derozde01
Jayson Tatum,23,BOS,SF,76,76,2731,0.453,0.584,0.219,0.169,0.087,0.1,0.416,0.524,0.746,0.4,0.331,0.41,0.353,0.425,0.565,0.052,76,0.117,0.395,tatumja01
Saddiq Bey,22,DET,SF,82,82,2704,0.396,0.463,0.166,0.157,0.072,0.068,0.537,0.454,0.619,0.348,0.329,0.429,0.346,0.431,0.891,0.021,23,0.252,0.403,beysa01
Tyrese Haliburton,21,TOT,PG,77,77,2695,0.473,0.572,0.127,0.183,0.157,0.099,0.428,0.517,0.713,0.41,0.517,0.456,0.414,0.279,0.571,0.026,24,0.136,0.434,halibty01
Russell Westbrook,33,LAL,PG,78,78,2678,0.444,0.785,0.329,0.231,0.105,0.109,0.215,0.485,0.623,0.389,0.377,0.37,0.298,0.23,0.633,0.021,17,0.174,0.435,westbru01
Trae Young,23,ATL,PG,76,76,2652,0.46,0.605,0.155,0.199,0.113,0.124,0.395,0.512,0.619,0.451,0.463,0.518,0.382,0.138,0.219,0,0,0.048,0.552,youngtr01
Tyrese Maxey,21,PHI,PG,75,74,2650,0.485,0.689,0.258,0.237,0.121,0.073,0.311,0.512,0.654,0.466,0.317,0.479,0.427,0.45,0.712,0.017,14,0.181,0.589,maxeyty01
Dorian Finney-Smith,28,DAL,PF,80,80,2644,0.471,0.371,0.233,0.098,0.025,0.016,0.629,0.599,0.752,0.324,0.471,0.273,0.395,0.766,0.983,0.082,49,0.414,0.461,finnedo01
Scottie Barnes,20,TOR,PF,74,74,2617,0.492,0.793,0.26,0.315,0.114,0.086,0.207,0.543,0.711,0.503,0.396,0.388,0.301,0.421,0.845,0.074,61,0.28,0.37,barnesc01
