Player,Age,Team,Pos,G,GS,MP,FG,FGA,3P,3PA,2P,2PA,eFG%,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,playerID
Trae Young,23,ATL,PG,76,76,2652,711,1544,233,610,478,934,0.536,500,553,50,234,284,737,72,7,303,128,2155,youngtr01
DeMar DeRozan,32,CHI,PF,76,76,2743,774,1535,50,142,724,1393,0.521,520,593,56,336,392,374,68,24,181,178,2118,derozde01
Joel Embiid,27,PHI,C,68,68,2297,666,1334,93,251,573,1083,0.534,654,803,146,650,796,284,77,99,214,181,2079,embiijo01
Jayson Tatum,23,BOS,SF,76,76,2731,708,1564,230,651,478,913,0.526,400,469,85,524,609,334,75,49,217,174,2046,tatumja01
Nikola Jokić,26,DEN,C,74,74,2476,764,1311,97,288,667,1023,0.62,379,468,206,813,1019,584,109,63,281,191,2004,jokicni01
Giannis Antetokounmpo,27,MIL,PF,67,67,2204,689,1245,71,242,618,1003,0.582,553,766,134,644,778,388,72,91,219,212,2002,antetgi01
Luka Dončić,22,DAL,PG,65,65,2301,641,1403,201,569,440,834,0.529,364,489,56,537,593,568,75,36,292,145,1847,doncilu01
Devin Booker,25,PHX,SG,68,68,2345,662,1421,183,478,479,943,0.53,315,363,45,297,342,329,77,26,162,180,1822,bookede01
Karl-Anthony Towns,26,MIN,C,74,74,2476,642,1214,150,366,492,848,0.591,384,467,194,533,727,269,72,83,226,267,1818,townska01
Donovan Mitchell,25,UTA,SG,67,67,2266,617,1376,232,654,385,722,0.533,267,313,55,227,282,358,99,12,200,164,1733,mitchdo01
LeBron James,37,LAL,C,56,56,2084,640,1221,161,448,479,773,0.59,254,336,63,396,459,349,73,59,196,121,1695,jamesle01
Kevin Durant,33,BKN,PF,55,55,2047,578,1115,115,300,463,815,0.57,372,409,29,378,407,351,48,52,191,113,1643,duranke01
Zach LaVine,26,CHI,SG,67,67,2328,565,1186,185,475,380,711,0.554,320,375,22,286,308,303,41,23,171,120,1635,lavinza01
Stephen Curry,33,GSW,PG,64,64,2211,535,1224,285,750,250,474,0.554,275,298,34,301,335,404,85,23,206,130,1630,curryst01
Miles Bridges,23,CHA,PF,80,80,2837,596,1214,154,465,442,749,0.554,267,333,90,469,559,300,74,67,150,193,1613,bridgmi02
Ja Morant,22,MEM,PG,57,57,1889,580,1177,88,256,492,921,0.53,316,415,77,248,325,384,66,22,196,86,1564,moranja01
Jaylen Brown,25,BOS,SF,66,66,2220,576,1217,166,464,410,753,0.541,241,318,53,351,404,231,70,18,178,163,1559,brownja02
Pascal Siakam,27,TOR,PF,68,68,2578,596,1207,75,218,521,989,0.525,284,379,128,452,580,360,85,42,181,225,1551,siakapa01
Anthony Edwards,20,MIN,SG,72,72,2466,549,1245,215,602,334,643,0.527,220,280,62,281,343,275,105,46,190,164,1533,edwaran01
LaMelo Ball,20,CHA,PG,75,75,2422,538,1254,220,565,318,689,0.517,212,243,108,393,501,571,119,30,245,237,1508,ballla01
Darius Garland,22,CLE,PG,68,68,2430,542,1173,174,454,368,719,0.536,215,241,39,185,224,583,89,7,248,115,1473,garlada01
Julius Randle,27,NYK,PF,72,72,2544,512,1246,120,390,392,856,0.459,303,401,125,591,716,370,53,39,245,205,1447,randlju01
Russell Westbrook,33,LAL,PG,78,78,2678,548,1233,79,265,469,968,0.476,266,399,110,470,580,550,75,20,295,235,1441,westbru01
Dejounte Murray,25,SAS,PG,68,68,2366,573,1241,96,294,477,947,0.5,196,247,80,483,563,627,138,23,180,138,1438,murrade01
James Harden,32,TOT,PG,65,65,2419,407,992,148,448,259,544,0.485,470,536,55,445,500,667,82,36,284,153,1432,hardeja01
Terry Rozier,27,CHA,SG,73,73,2458,518,1167,222,593,296,574,0.539,150,176,56,259,315,326,93,25,96,119,1408,roziete01
Jordan Poole,22,GSW,SG,76,51,2283,474,1058,211,580,263,478,0.548,246,266,34,226,260,304,60,23,187,206,1405,poolejo01
RJ Barrett,21,NYK,SF,70,70,2417,487,1194,138,404,349,790,0.466,290,406,66,342,408,208,43,16,151,142,1402,barrerj01
Desmond Bane,23,MEM,SG,76,76,2266,508,1101,228,523,280,578,0.565,140,155,46,288,334,208,92,29,111,196,1384,banede01
Shai Gilgeous-Alexander,23,OKC,PG,56,56,1942,477,1052,89,297,388,755,0.496,328,405,37,241,278,331,71,46,154,142,1371,gilgesh01
CJ McCollum,30,TOT,PG,62,62,2145,536,1164,182,469,354,695,0.539,116,170,53,216,269,315,70,22,127,121,1370,mccolcj01
De'Aaron Fox,24,SAC,PG,59,59,2083,516,1092,74,249,442,843,0.506,261,348,25,206,231,330,68,25,168,172,1367,foxde01
Tyler Herro,22,MIA,SG,66,10,2151,501,1122,175,439,326,683,0.525,190,219,32,297,329,263,44,8,174,95,1367,herroty01
Khris Middleton,30,MIL,SF,66,66,2141,452,1021,162,434,290,587,0.522,259,291,41,315,356,358,76,18,190,160,1325,middlkh01
Saddiq Bey,22,DET,SF,82,82,2704,450,1136,211,610,239,526,0.489,210,254,107,334,441,233,73,16,96,128,1321,beysa01
Fred VanVleet,27,TOR,PG,65,65,2462,442,1097,242,642,200,455,0.513,194,222,44,245,289,434,111,35,170,162,1320,vanvlfr01
Jonas Valančiūnas,29,NOP,C,74,74,2240,510,938,57,158,453,780,0.574,237,289,226,617,843,190,41,60,179,247,1314,valanjo01
Tyrese Maxey,21,PHI,PG,75,74,2650,483,995,132,309,351,686,0.552,213,246,26,214,240,321,55,32,88,156,1311,maxeyty01
Nikola Vučević,31,CHI,C,73,73,2418,546,1154,104,331,442,823,0.518,92,121,142,662,804,236,70,71,136,181,1288,vucevni01
Jalen Brunson,25,DAL,SG,79,61,2524,506,1008,94,252,412,756,0.549,179,213,43,266,309,377,66,3,124,151,1285,brunsja01
Gary Trent Jr.,23,TOR,SG,70,69,2448,450,1086,209,545,241,541,0.511,174,204,26,165,191,141,122,19,73,144,1283,trentga02
Keldon Johnson,22,SAS,SF,75,74,2392,471,1011,159,399,312,612,0.545,177,234,80,377,457,158,58,14,92,148,1278,johnske04
Jaren Jackson Jr.,22,MEM,PF,78,78,2126,430,1036,128,401,302,635,0.477,284,345,119,335,454,86,73,177,130,272,1272,jacksja02
Jordan Clarkson,29,UTA,SG,79,1,2141,466,1113,190,597,276,516,0.504,144,174,67,206,273,194,66,16,129,149,1266,clarkjo01
Harrison Barnes,29,SAC,PF,77,77,2587,391,834,142,360,249,474,0.554,341,413,82,350,432,186,53,14,118,94,1265,barneha02
Buddy Hield,29,TOT,SG,81,32,2499,446,1098,262,716,184,382,0.526,111,127,66,287,353,229,73,25,153,184,1265,hieldbu01
Reggie Jackson,31,LAC,SG,75,75,2337,479,1222,167,512,312,710,0.46,138,163,39,232,271,359,55,15,173,159,1263,jacksre01
Tobias Harris,29,PHI,PF,73,73,2543,493,1022,101,275,392,747,0.532,170,202,77,419,496,252,47,43,116,164,1257,harrito02
Andrew Wiggins,26,GSW,SF,73,73,2329,475,1019,157,399,318,620,0.543,149,235,85,240,325,161,76,51,111,158,1256,wiggian01
Bojan Bogdanović,32,UTA,PF,69,69,2131,422,928,181,468,241,460,0.552,223,260,58,238,296,120,34,1,118,116,1248,bogdabo02
Brandon Ingram,24,NOP,SF,55,55,1869,453,983,74,226,379,757,0.498,266,322,35,285,320,307,34,26,151,119,1246,ingrabr01
Jrue Holiday,31,MIL,PG,67,64,2207,478,954,132,321,346,633,0.57,137,180,69,232,301,457,108,29,183,133,1225,holidjr01
