Team,G,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Boston Celtics,82,19905,3137,7221,969,2860,2168,4361,1324,1692,858,2727,3585,1773,618,376,1133,1592,8567
Dallas Mavericks,82,19755,3198,7001,895,2635,2303,4366,1296,1689,780,2799,3579,1925,575,300,1073,1645,8587
Golden State Warriors,82,19730,3111,7098,1000,2948,2111,4150,1426,1880,792,2705,3497,1875,649,317,1189,1474,8648
Miami Heat,82,19855,3078,6886,1064,3138,2014,3748,1437,1845,783,2634,3417,1908,608,330,1228,1686,8657
Cleveland Cavaliers,82,19730,3236,7152,960,2721,2276,4431,1233,1592,858,2657,3515,1978,691,380,1101,1638,8665
New York Knicks,82,19780,3154,7050,1038,3032,2116,4018,1395,1826,766,2812,3578,1982,572,379,1039,1671,8741
Toronto Raptors,82,19855,3197,6919,1014,2861,2183,4058,1374,1742,847,2764,3611,2076,549,416,1298,1563,8782
Phoenix Suns,82,19730,3216,7243,953,2805,2263,4438,1416,1861,863,2783,3646,1875,614,327,1206,1553,8801
Philadelphia 76ers,82,19805,3253,7097,931,2692,2322,4405,1364,1773,838,2784,3622,1932,542,379,1087,1594,8801
Utah Jazz,82,19730,3314,7318,994,2837,2320,4481,1199,1581,809,2599,3408,1917,636,352,982,1664,8821
Los Angeles Clippers,82,19780,3343,7432,958,2780,2385,4652,1244,1606,984,2881,3865,1975,631,339,1113,1515,8888
Memphis Grizzlies,82,19780,3305,7269,987,2828,2318,4441,1417,1837,821,2706,3527,2047,588,496,1235,1625,9014
New Orleans Pelicans,82,19755,3301,7009,1064,2913,2237,4096,1377,1753,759,2666,3425,2039,605,391,1164,1681,9043
Denver Nuggets,82,19805,3367,7168,971,2806,2396,4362,1349,1783,795,2680,3475,2082,649,392,1051,1632,9054
Oklahoma City Thunder,82,19805,3398,7421,1118,3171,2280,4250,1256,1629,906,3060,3966,2142,695,490,1086,1463,9170
Washington Wizards,82,19830,3384,7287,941,2607,2443,4680,1475,1828,840,2786,3626,1941,598,344,972,1634,9184
Chicago Bulls,82,19730,3397,7170,960,2620,2437,4550,1430,1799,764,2777,3541,2049,584,410,1071,1489,9184
Brooklyn Nets,82,19755,3340,7395,1026,2974,2314,4421,1488,1888,926,2690,3616,1954,650,403,1088,1616,9194
Milwaukee Bucks,82,19755,3391,7431,1186,3328,2205,4103,1227,1634,812,2805,3617,2122,606,357,1070,1612,9195
Orlando Magic,82,19780,3346,7300,1082,2979,2264,4321,1429,1851,852,3014,3866,2034,655,428,1079,1501,9203
Atlanta Hawks,82,19705,3435,7294,1051,2888,2384,4406,1294,1634,838,2758,3596,2085,576,367,1046,1668,9215
Detroit Pistons,82,19780,3333,7051,966,2668,2367,4383,1597,2056,847,2946,3793,2061,606,427,1197,1625,9229
San Antonio Spurs,82,19805,3482,7475,992,2756,2490,4719,1313,1711,933,2902,3835,1970,601,403,1131,1553,9269
Minnesota Timberwolves,82,19780,3298,7163,1071,3062,2227,4101,1624,2081,904,2858,3762,2149,593,397,1339,1715,9291
Charlotte Hornets,82,19880,3444,7388,1148,3170,2296,4218,1385,1815,931,2920,3851,2169,617,377,1229,1609,9421
Indiana Pacers,82,19880,3485,7212,985,2645,2500,4567,1470,1845,833,2702,3535,2058,664,401,1087,1575,9425
Portland Trail Blazers,82,19730,3373,7045,1129,3046,2244,3999,1564,2014,800,2868,3668,2184,672,409,1150,1589,9439
Los Angeles Lakers,82,19980,3491,7424,1032,2935,2459,4489,1428,1911,902,2920,3822,2154,684,338,1152,1647,9442
Sacramento Kings,82,19805,3561,7429,1065,2864,2496,4565,1306,1682,866,2891,3757,2077,668,395,1106,1665,9493
Houston Rockets,82,19755,3562,7374,1048,2966,2514,4408,1520,1943,915,2831,3746,2103,776,474,1155,1812,9692
