Team,G,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Boston Celtics,82,19905,39.2,90.1,12.1,35.7,27.1,54.4,16.5,21.1,10.7,34,44.7,22.1,7.7,4.7,14.1,19.9,106.9
Golden State Warriors,82,19730,38.4,87.7,12.4,36.4,26.1,51.3,17.6,23.2,9.8,33.4,43.2,23.2,8,3.9,14.7,18.2,106.9
Phoenix Suns,82,19730,39.2,88.3,11.6,34.2,27.6,54.1,17.3,22.7,10.5,33.9,44.5,22.9,7.5,4,14.7,18.9,107.3
Memphis Grizzlies,82,19780,40,87.9,11.9,34.2,28,53.7,17.1,22.2,9.9,32.7,42.7,24.8,7.1,6,14.9,19.7,109
Miami Heat,82,19855,38.8,86.8,13.4,39.5,25.4,47.2,18.1,23.2,9.9,33.2,43,24,7.7,4.2,15.5,21.2,109.1
Dallas Mavericks,82,19755,40.7,89.2,11.4,33.6,29.3,55.6,16.5,21.5,9.9,35.7,45.6,24.5,7.3,3.8,13.7,21,109.4
Cleveland Cavaliers,82,19730,41,90.5,12.1,34.4,28.8,56.1,15.6,20.1,10.9,33.6,44.5,25,8.7,4.8,13.9,20.7,109.7
Los Angeles Clippers,82,19780,41.4,92,11.9,34.4,29.5,57.6,15.4,19.9,12.2,35.7,47.9,24.5,7.8,4.2,13.8,18.8,110.1
Utah Jazz,82,19730,41.5,91.7,12.4,35.5,29.1,56.1,15,19.8,10.1,32.6,42.7,24,8,4.4,12.3,20.8,110.5
Toronto Raptors,82,19855,40.2,87.1,12.8,36,27.5,51.1,17.3,21.9,10.7,34.8,45.5,26.1,6.9,5.2,16.3,19.7,110.5
New York Knicks,82,19780,39.9,89.2,13.1,38.3,26.8,50.8,17.6,23.1,9.7,35.6,45.3,25.1,7.2,4.8,13.1,21.1,110.5
Philadelphia 76ers,82,19805,41,89.4,11.7,33.9,29.2,55.5,17.2,22.3,10.6,35.1,45.6,24.3,6.8,4.8,13.7,20.1,110.8
Minnesota Timberwolves,82,19780,39.7,86.1,12.9,36.8,26.8,49.3,19.5,25,10.9,34.4,45.2,25.8,7.1,4.8,16.1,20.6,111.7
Milwaukee Bucks,82,19755,41.2,90.3,14.4,40.5,26.8,49.9,14.9,19.9,9.9,34.1,44,25.8,7.4,4.3,13,19.6,111.8
Denver Nuggets,82,19805,41.7,88.8,12,34.8,29.7,54,16.7,22.1,9.8,33.2,43,25.8,8,4.9,13,20.2,112.1
San Antonio Spurs,82,19805,42.2,90.5,12,33.4,30.2,57.2,15.9,20.7,11.3,35.2,46.5,23.9,7.3,4.9,13.7,18.8,112.3
Orlando Magic,82,19780,40.9,89.3,13.2,36.4,27.7,52.8,17.5,22.6,10.4,36.9,47.3,24.9,8,5.2,13.2,18.4,112.5
Brooklyn Nets,82,19755,41,90.7,12.6,36.5,28.4,54.2,18.3,23.2,11.4,33,44.4,24,8,4.9,13.3,19.8,112.8
Oklahoma City Thunder,82,19805,41.8,91.3,13.7,39,28,52.3,15.4,20,11.1,37.6,48.8,26.3,8.5,6,13.4,18,112.8
New Orleans Pelicans,82,19755,41.2,87.6,13.3,36.4,27.9,51.2,17.2,21.9,9.5,33.3,42.8,25.5,7.6,4.9,14.5,21,113
Los Angeles Lakers,82,19980,41.9,89.1,12.4,35.2,29.5,53.8,17.1,22.9,10.8,35,45.8,25.8,8.2,4.1,13.8,19.8,113.3
Chicago Bulls,82,19730,42,88.7,11.9,32.4,30.2,56.3,17.7,22.3,9.5,34.4,43.8,25.4,7.2,5.1,13.3,18.4,113.6
Charlotte Hornets,82,19880,41.6,89.2,13.9,38.3,27.7,50.9,16.7,21.9,11.2,35.2,46.5,26.2,7.4,4.6,14.8,19.4,113.7
Detroit Pistons,82,19780,41.1,87,11.9,32.9,29.2,54.1,19.7,25.4,10.4,36.3,46.8,25.4,7.5,5.3,14.8,20,113.8
Washington Wizards,82,19830,42.2,90.9,11.7,32.5,30.5,58.4,18.4,22.8,10.5,34.7,45.2,24.2,7.5,4.3,12.1,20.4,114.5
Atlanta Hawks,82,19705,42.8,91,13.1,36,29.7,54.9,16.1,20.4,10.4,34.4,44.8,26,7.2,4.6,13,20.8,114.9
Sacramento Kings,82,19805,43.3,90.2,12.9,34.8,30.3,55.5,15.9,20.4,10.5,35.1,45.6,25.2,8.1,4.8,13.4,20.2,115.3
Indiana Pacers,82,19880,42.9,88.8,12.1,32.6,30.8,56.3,18.1,22.7,10.3,33.3,43.5,25.4,8.2,4.9,13.4,19.4,116.1
Houston Rockets,82,19755,42.9,88.8,12.6,35.7,30.3,53.1,18.3,23.4,11,34.1,45.1,25.3,9.3,5.7,13.9,21.8,116.7
Portland Trail Blazers,82,19730,41.8,87.2,14,37.7,27.8,49.5,19.4,24.9,9.9,35.5,45.4,27,8.3,5.1,14.2,19.7,116.9
