Team,G,MP,FG%,%of OFGA from 2P,%of OFGA from 0-3,%of OFGA from 3-10,%of OFGA from 10-16,%of OFGA from 16-3P,%of OFGA from 3P,OFG% from 2P,OFG% from 0-3,OFG% from 3-10,OFG% from 10-16,OFG% from 16-3P,OFG% from 3P,%of O2PFG assisted,%of O3PFG assisted,%OFGA from dunks,# of Opp. made dunks,%OFGA from layups,# of OPP. made layups,%O3PA from the corner,O3P% from the corner
Atlanta Hawks,82,19705,0.471,0.604,0.256,0.161,0.101,0.078,0.396,0.541,0.69,0.429,0.456,0.398,0.364,0.503,0.821,0.059,379,0.251,1060,0.229,0.386
Boston Celtics,82,19905,0.434,0.604,0.188,0.219,0.099,0.09,0.396,0.497,0.7,0.408,0.41,0.378,0.339,0.459,0.783,0.047,315,0.25,922,0.212,0.356
Brooklyn Nets,82,19755,0.452,0.598,0.252,0.173,0.089,0.074,0.402,0.523,0.681,0.403,0.423,0.398,0.345,0.493,0.773,0.058,380,0.263,1050,0.241,0.37
Chicago Bulls,82,19730,0.474,0.635,0.297,0.169,0.091,0.078,0.365,0.536,0.675,0.42,0.413,0.398,0.366,0.514,0.829,0.057,373,0.287,1166,0.236,0.427
Charlotte Hornets,82,19880,0.466,0.571,0.266,0.17,0.076,0.059,0.429,0.544,0.685,0.427,0.408,0.423,0.362,0.528,0.833,0.069,437,0.266,1084,0.278,0.376
Cleveland Cavaliers,82,19730,0.452,0.62,0.291,0.16,0.092,0.07,0.38,0.514,0.628,0.413,0.414,0.401,0.353,0.515,0.819,0.06,378,0.266,1023,0.268,0.381
Dallas Mavericks,82,19755,0.457,0.624,0.238,0.206,0.107,0.073,0.376,0.527,0.701,0.442,0.425,0.354,0.34,0.515,0.827,0.057,348,0.255,1033,0.25,0.377
Denver Nuggets,82,19805,0.47,0.609,0.222,0.219,0.099,0.069,0.391,0.549,0.73,0.47,0.444,0.372,0.346,0.533,0.83,0.059,384,0.262,1109,0.235,0.37
Detroit Pistons,82,19780,0.473,0.622,0.259,0.216,0.077,0.07,0.378,0.54,0.674,0.469,0.439,0.377,0.362,0.534,0.824,0.066,406,0.284,1126,0.253,0.421
Golden State Warriors,82,19730,0.438,0.585,0.176,0.257,0.089,0.063,0.415,0.509,0.688,0.457,0.428,0.335,0.339,0.487,0.846,0.046,296,0.268,1037,0.243,0.397
Houston Rockets,82,19755,0.483,0.598,0.275,0.177,0.083,0.062,0.402,0.57,0.713,0.457,0.457,0.414,0.353,0.503,0.8,0.075,495,0.267,1157,0.241,0.377
Indiana Pacers,82,19880,0.483,0.633,0.258,0.199,0.099,0.068,0.367,0.547,0.694,0.455,0.444,0.425,0.372,0.501,0.795,0.065,411,0.277,1149,0.227,0.401
Los Angeles Clippers,82,19780,0.45,0.626,0.246,0.213,0.1,0.059,0.374,0.513,0.66,0.424,0.416,0.383,0.345,0.5,0.804,0.055,355,0.27,1076,0.215,0.358
Los Angeles Lakers,82,19980,0.47,0.605,0.255,0.193,0.086,0.065,0.395,0.548,0.715,0.435,0.417,0.397,0.352,0.518,0.832,0.062,410,0.269,1151,0.206,0.379
Memphis Grizzlies,82,19780,0.455,0.611,0.267,0.176,0.096,0.065,0.389,0.522,0.653,0.414,0.435,0.408,0.349,0.531,0.804,0.063,397,0.269,1056,0.174,0.391
Miami Heat,82,19855,0.447,0.544,0.215,0.171,0.092,0.06,0.456,0.537,0.703,0.445,0.415,0.402,0.339,0.502,0.822,0.045,281,0.234,934,0.264,0.373
Milwaukee Bucks,82,19755,0.456,0.552,0.212,0.161,0.102,0.071,0.448,0.537,0.695,0.442,0.439,0.413,0.356,0.508,0.82,0.047,311,0.231,974,0.208,0.358
Minnesota Timberwolves,82,19780,0.46,0.573,0.258,0.164,0.085,0.059,0.427,0.543,0.705,0.409,0.394,0.421,0.35,0.553,0.837,0.066,430,0.267,1061,0.282,0.378
New Orleans Pelicans,82,19755,0.471,0.584,0.229,0.169,0.099,0.077,0.416,0.546,0.707,0.46,0.445,0.397,0.365,0.514,0.817,0.047,299,0.247,1018,0.225,0.407
New York Knicks,82,19780,0.447,0.57,0.259,0.149,0.088,0.074,0.43,0.527,0.664,0.422,0.447,0.353,0.342,0.526,0.838,0.054,347,0.259,1006,0.234,0.346
Oklahoma City Thunder,82,19805,0.458,0.573,0.191,0.23,0.078,0.066,0.427,0.536,0.679,0.484,0.474,0.37,0.353,0.514,0.843,0.057,350,0.268,1092,0.261,0.397
Orlando Magic,82,19780,0.458,0.592,0.211,0.201,0.1,0.081,0.408,0.524,0.663,0.457,0.444,0.425,0.363,0.507,0.819,0.055,369,0.253,990,0.222,0.392
Philadelphia 76ers,82,19805,0.458,0.621,0.252,0.187,0.109,0.073,0.379,0.527,0.695,0.405,0.41,0.434,0.346,0.514,0.794,0.062,395,0.258,1020,0.217,0.369
Phoenix Suns,82,19730,0.444,0.613,0.193,0.23,0.098,0.084,0.387,0.51,0.678,0.456,0.437,0.361,0.34,0.49,0.773,0.043,280,0.26,1046,0.193,0.355
Portland Trail Blazers,82,19730,0.479,0.568,0.268,0.162,0.076,0.056,0.432,0.561,0.697,0.458,0.413,0.429,0.371,0.545,0.826,0.063,398,0.256,1067,0.279,0.397
Sacramento Kings,82,19805,0.479,0.614,0.247,0.2,0.087,0.071,0.386,0.547,0.712,0.437,0.423,0.437,0.372,0.481,0.801,0.06,396,0.278,1180,0.223,0.396
San Antonio Spurs,82,19805,0.466,0.631,0.264,0.207,0.092,0.068,0.369,0.528,0.649,0.435,0.442,0.452,0.36,0.468,0.811,0.057,359,0.304,1200,0.198,0.41
Toronto Raptors,82,19855,0.462,0.587,0.238,0.194,0.087,0.06,0.413,0.538,0.703,0.417,0.436,0.419,0.354,0.541,0.864,0.062,375,0.26,1002,0.306,0.386
Utah Jazz,82,19730,0.453,0.612,0.194,0.219,0.119,0.081,0.388,0.518,0.705,0.433,0.438,0.416,0.35,0.494,0.777,0.049,313,0.243,997,0.211,0.37
Washington Wizards,82,19830,0.464,0.642,0.2,0.238,0.111,0.086,0.358,0.522,0.699,0.455,0.44,0.404,0.361,0.482,0.792,0.057,354,0.263,1054,0.204,0.403
