Team,G,MP,FG%,%of FGA from 2P,%of FGA from 0-3,%of FGA from 3-10,%of FGA from 10-16,%of FGA from 16-3P,%of FGA from 3P,FG% on from 2P,FG% on from 0-3,FG% on from 3-10,FG% on from 10-16,FG% on from 16-3P,FG% on from 3P,%of 2PFG off assists,%of 3PFG off assists,%FGA from dunks,# of made dunks,%FGA from layups,# of made layups,%3PA from the corner,3P% from the corner
Atlanta Hawks,82,19705,0.47,0.61,0.242,0.162,0.109,0.089,0.39,0.531,0.668,0.441,0.442,0.431,0.374,0.522,0.73,0.059,395,0.229,902,0.219,0.43
Boston Celtics,82,19905,0.466,0.575,0.216,0.199,0.081,0.072,0.425,0.547,0.739,0.45,0.417,0.397,0.356,0.506,0.807,0.057,366,0.271,1128,0.229,0.39
Brooklyn Nets,82,19755,0.475,0.641,0.242,0.165,0.134,0.093,0.359,0.538,0.659,0.448,0.475,0.48,0.361,0.537,0.752,0.052,335,0.249,975,0.229,0.394
Chicago Bulls,82,19730,0.48,0.668,0.259,0.151,0.127,0.131,0.332,0.535,0.677,0.452,0.45,0.435,0.369,0.476,0.852,0.05,321,0.247,1019,0.273,0.418
Charlotte Hornets,82,19880,0.468,0.582,0.29,0.177,0.069,0.047,0.418,0.542,0.69,0.385,0.402,0.419,0.365,0.559,0.857,0.079,531,0.285,1141,0.287,0.372
Cleveland Cavaliers,82,19730,0.469,0.613,0.279,0.18,0.09,0.055,0.387,0.541,0.697,0.406,0.426,0.391,0.355,0.552,0.821,0.078,491,0.239,933,0.233,0.334
Dallas Mavericks,82,19755,0.461,0.561,0.206,0.176,0.108,0.071,0.439,0.548,0.736,0.45,0.452,0.395,0.35,0.502,0.783,0.059,357,0.208,874,0.262,0.398
Denver Nuggets,82,19805,0.483,0.584,0.236,0.204,0.073,0.071,0.416,0.575,0.744,0.48,0.439,0.427,0.353,0.584,0.857,0.059,373,0.266,1128,0.265,0.384
Detroit Pistons,82,19780,0.431,0.609,0.247,0.209,0.081,0.073,0.391,0.498,0.645,0.422,0.354,0.376,0.326,0.498,0.893,0.039,257,0.304,1187,0.267,0.361
Golden State Warriors,82,19730,0.469,0.544,0.205,0.201,0.07,0.068,0.456,0.557,0.711,0.51,0.408,0.382,0.364,0.595,0.804,0.057,371,0.282,1193,0.215,0.339
Houston Rockets,82,19755,0.456,0.552,0.299,0.181,0.038,0.034,0.448,0.543,0.689,0.384,0.322,0.347,0.349,0.502,0.784,0.089,547,0.299,1142,0.173,0.35
Indiana Pacers,82,19880,0.463,0.605,0.262,0.175,0.092,0.068,0.395,0.541,0.675,0.46,0.417,0.4,0.344,0.506,0.851,0.044,293,0.3,1294,0.249,0.378
Los Angeles Clippers,82,19780,0.458,0.609,0.206,0.181,0.117,0.099,0.391,0.512,0.694,0.447,0.436,0.348,0.374,0.498,0.798,0.052,320,0.21,831,0.212,0.413
Los Angeles Lakers,82,19980,0.469,0.612,0.273,0.162,0.086,0.083,0.388,0.546,0.709,0.42,0.412,0.392,0.347,0.468,0.815,0.061,395,0.307,1310,0.226,0.37
Memphis Grizzlies,82,19780,0.461,0.654,0.26,0.233,0.11,0.045,0.346,0.519,0.676,0.425,0.409,0.383,0.353,0.5,0.837,0.056,382,0.269,1157,0.225,0.366
Miami Heat,82,19855,0.467,0.578,0.22,0.18,0.104,0.065,0.422,0.531,0.697,0.437,0.44,0.385,0.379,0.53,0.844,0.049,299,0.232,927,0.293,0.419
Milwaukee Bucks,82,19755,0.468,0.57,0.234,0.159,0.102,0.069,0.43,0.544,0.715,0.422,0.445,0.393,0.366,0.456,0.781,0.047,309,0.248,1071,0.236,0.395
Minnesota Timberwolves,82,19780,0.457,0.546,0.264,0.171,0.058,0.046,0.454,0.54,0.675,0.417,0.424,0.359,0.358,0.51,0.789,0.065,424,0.276,1126,0.22,0.395
New Orleans Pelicans,82,19755,0.457,0.635,0.262,0.188,0.099,0.079,0.365,0.528,0.666,0.429,0.459,0.395,0.332,0.525,0.861,0.054,349,0.286,1103,0.237,0.372
New York Knicks,82,19780,0.437,0.572,0.253,0.158,0.086,0.074,0.428,0.497,0.654,0.374,0.376,0.361,0.357,0.465,0.795,0.069,431,0.238,858,0.219,0.392
Oklahoma City Thunder,82,19805,0.43,0.581,0.201,0.26,0.072,0.041,0.419,0.507,0.644,0.444,0.424,0.367,0.323,0.46,0.82,0.051,319,0.316,1185,0.205,0.347
Orlando Magic,82,19780,0.434,0.583,0.223,0.227,0.069,0.063,0.417,0.507,0.67,0.425,0.42,0.329,0.331,0.499,0.88,0.061,384,0.268,1028,0.212,0.385
Philadelphia 76ers,82,19805,0.466,0.624,0.24,0.194,0.119,0.071,0.376,0.527,0.702,0.414,0.417,0.431,0.364,0.505,0.835,0.05,315,0.249,982,0.244,0.394
Phoenix Suns,82,19730,0.485,0.646,0.184,0.219,0.147,0.087,0.354,0.551,0.709,0.506,0.497,0.426,0.364,0.545,0.828,0.052,362,0.217,941,0.257,0.39
Portland Trail Blazers,82,19730,0.442,0.578,0.255,0.172,0.073,0.07,0.422,0.513,0.629,0.424,0.425,0.404,0.346,0.494,0.778,0.046,286,0.271,1017,0.207,0.368
Sacramento Kings,82,19805,0.46,0.623,0.23,0.217,0.098,0.071,0.377,0.53,0.7,0.434,0.425,0.422,0.344,0.492,0.791,0.058,358,0.261,1071,0.215,0.386
San Antonio Spurs,82,19805,0.467,0.655,0.236,0.226,0.124,0.069,0.345,0.527,0.674,0.455,0.441,0.413,0.352,0.551,0.912,0.036,251,0.291,1254,0.23,0.368
Toronto Raptors,82,19855,0.445,0.625,0.221,0.205,0.096,0.093,0.375,0.503,0.654,0.438,0.429,0.366,0.349,0.429,0.795,0.055,352,0.241,959,0.238,0.401
Utah Jazz,82,19730,0.471,0.532,0.203,0.235,0.066,0.029,0.468,0.568,0.729,0.481,0.458,0.396,0.36,0.454,0.727,0.07,442,0.246,989,0.242,0.383
Washington Wizards,82,19830,0.472,0.644,0.225,0.22,0.106,0.085,0.356,0.543,0.725,0.455,0.429,0.425,0.342,0.527,0.853,0.065,406,0.276,1115,0.244,0.396
