Player,Age,Team,Pos,G,GS,MP,TRB,AST,PTS,playerID
Joel Embiid,28,PHI,C,66,66,34.6,10.2,4.2,33.1,embiijo01
Luka Dončić,23,DAL,PG,66,66,36.2,8.6,8,32.4,doncilu01
Damian Lillard,32,POR,PG,58,58,36.3,4.8,7.3,32.2,lillada01
Shai Gilgeous-Alexander,24,OKC,PG,68,68,35.5,4.8,5.5,31.4,gilgesh01
Giannis Antetokounmpo,28,MIL,PF,63,63,32.1,11.8,5.7,31.1,antetgi01
Jayson Tatum,24,BOS,SF,74,74,36.9,8.8,4.6,30.1,tatumja01
Stephen Curry,34,GSW,PG,56,56,34.7,6.1,6.3,29.4,curryst01
Kevin Durant,34,TOT,PF,47,47,35.6,6.7,5,29.1,duranke01
LeBron James,38,LAL,PF,55,54,35.5,8.3,6.8,28.9,jamesle01
Donovan Mitchell,26,CLE,SG,68,68,35.8,4.3,4.4,28.3,mitchdo01
Devin Booker,26,PHX,SG,53,53,34.6,4.5,5.5,27.8,bookede01
Kyrie Irving,30,TOT,SG,60,60,37.4,5.1,5.5,27.1,irvinky01
Jaylen Brown,26,BOS,SF,67,67,35.9,6.9,3.5,26.6,brownja02
Ja Morant,23,MEM,PG,61,59,31.9,5.9,8.1,26.2,moranja01
Trae Young,24,ATL,PG,73,73,34.8,3,10.2,26.2,youngtr01
Zion Williamson,22,NOP,PF,29,29,33,7,4.6,26,willizi01
Anthony Davis,29,LAL,C,56,54,34,12.5,2.6,25.9,davisan02
Lauri Markkanen,25,UTA,PF,66,66,34.4,8.6,1.9,25.6,markkla01
Julius Randle,28,NYK,PF,77,77,35.5,10,4.1,25.1,randlju01
De'Aaron Fox,25,SAC,PG,73,73,33.4,4.2,6.1,25,foxde01
Zach LaVine,27,CHI,SG,77,77,35.9,4.5,4.2,24.8,lavinza01
Brandon Ingram,25,NOP,SF,45,45,34.2,5.5,5.8,24.7,ingrabr01
Anthony Edwards,21,MIN,SG,79,79,36,5.8,4.4,24.6,edwaran01
DeMar DeRozan,33,CHI,SF,74,74,36.2,4.6,5.1,24.5,derozde01
Nikola Jokić,27,DEN,C,69,69,33.7,11.8,9.8,24.5,jokicni01
Pascal Siakam,28,TOR,PF,71,71,37.4,7.8,5.8,24.2,siakapa01
Jalen Brunson,26,NYK,PG,68,68,35,3.5,6.2,24,brunsja01
Paul George,32,LAC,SF,56,56,34.6,6.1,5.1,23.8,georgpa01
Kawhi Leonard,31,LAC,SF,52,50,33.6,6.5,3.9,23.8,leonaka01
LaMelo Ball,21,CHA,PG,36,36,35.2,6.4,8.4,23.3,ballla01
Bradley Beal,29,WAS,SG,50,50,33.5,3.9,5.4,23.2,bealbr01
Kristaps Porziņģis,27,WAS,C,65,65,32.6,8.4,2.7,23.2,porzikr01
Jimmy Butler,33,MIA,PF,64,64,33.4,5.9,5.3,22.9,butleji01
Jalen Green,20,HOU,SG,76,76,34.2,3.7,3.7,22.1,greenja05
Keldon Johnson,23,SAS,SF,63,63,32.7,5,2.9,22,johnske04
Klay Thompson,32,GSW,SF,69,69,33,4.1,2.4,21.9,thompkl01
Bojan Bogdanović,33,DET,PF,59,59,32.1,3.8,2.6,21.6,bogdabo02
Darius Garland,23,CLE,PG,69,69,35.5,2.7,7.8,21.6,garlada01
Desmond Bane,24,MEM,SG,58,58,31.7,5,4.4,21.5,banede01
Kyle Kuzma,27,WAS,PF,64,64,35,7.2,3.7,21.2,kuzmaky01
Terry Rozier,28,CHA,SG,63,63,35.3,4.1,5.1,21.1,roziete01
Anfernee Simons,23,POR,SG,62,62,35,2.6,4.1,21.1,simonan01
James Harden,33,PHI,PG,58,58,36.8,6.1,10.7,21,hardeja01
CJ McCollum,31,NOP,PG,75,75,35.3,4.4,5.7,20.9,mccolcj01
Jordan Clarkson,30,UTA,SG,61,61,32.6,4,4.4,20.8,clarkjo01
Karl-Anthony Towns,27,MIN,PF,29,29,33,8.1,4.8,20.8,townska01
Tyrese Haliburton,22,IND,PG,56,56,33.6,3.7,10.4,20.7,halibty01
Jerami Grant,28,POR,PF,63,63,35.7,4.5,2.4,20.5,grantje01
Dejounte Murray,26,ATL,SG,74,74,36.4,5.3,6.1,20.5,murrade01
Bam Adebayo,25,MIA,C,75,75,34.6,9.2,3.2,20.4,adebaba01
Jordan Poole,23,GSW,PG,82,43,30,2.7,4.5,20.4,poolejo01
Tyrese Maxey,22,PHI,SG,60,41,33.6,2.9,3.5,20.3,maxeyty01
Kelly Oubre Jr.,27,CHA,SF,48,40,32.3,5.2,1.1,20.3,oubreke01
Mikal Bridges,26,TOT,SG,83,83,35.7,4.4,3.3,20.1,bridgmi01
Tyler Herro,23,MIA,SG,67,67,34.9,5.4,4.2,20.1,herroty01
Paolo Banchero,20,ORL,PF,72,72,33.8,6.9,3.7,20,banchpa01
Louis King,23,PHI,PF,1,0,29,4,2,20,kinglo02
Jamal Murray,25,DEN,PG,65,65,32.8,4,6.2,20,murraja01
Cade Cunningham,21,DET,PG,12,12,33.3,6.2,6,19.9,cunnica01
RJ Barrett,22,NYK,SG,73,73,33.9,5,2.8,19.6,barrerj01
Jrue Holiday,32,MIL,PG,67,65,32.6,5.1,7.4,19.3,holidjr01
Fred VanVleet,28,TOR,PG,69,69,36.7,4.1,7.2,19.3,vanvlfr01
Kevin Porter Jr.,22,HOU,PG,59,59,34.3,5.3,5.7,19.2,porteke02
Domantas Sabonis,26,SAC,C,79,79,34.6,12.3,7.3,19.1,sabondo01
Jaren Jackson Jr.,23,MEM,C,63,63,28.4,6.8,1,18.6,jacksja02
Franz Wagner,21,ORL,SF,80,80,32.6,4.1,3.5,18.6,wagnefr01
