Team,G,MP,FG%,%OPFGA from 2P,%OPFGA from 0-3,%OPFGA from 3-10,%OPFGA from 10-16,%OPFGA from 16-3P,%OPFGA from 3P,OFG% from 2P,OFG% from 0-3,OFG% from 3-10,OFG% from 10-16,OFG% from 16-3P,OFG% from 3P,%of O2PFG assisted,%of O3PFG assisted,%OFGA from dunks,# of made dunks,%OFGA from layups,# of made layups,%O3PA from the corner,O3P% from the corner
Atlanta Hawks,82,19855,0.486,0.629,0.295,0.171,0.097,0.059,0.371,0.562,0.689,0.445,0.458,0.446,0.356,0.496,0.826,0.07,472,0.282,1190,0.243,0.381
Boston Celtics,82,19980,0.463,0.626,0.195,0.229,0.109,0.085,0.374,0.534,0.693,0.468,0.44,0.467,0.345,0.461,0.763,0.05,339,0.264,1078,0.183,0.361
Brooklyn Nets,82,19730,0.463,0.636,0.267,0.212,0.093,0.064,0.364,0.518,0.679,0.406,0.403,0.385,0.367,0.478,0.798,0.056,377,0.288,1126,0.249,0.406
Chicago Bulls,82,19905,0.468,0.574,0.273,0.162,0.08,0.059,0.426,0.55,0.685,0.434,0.437,0.391,0.357,0.534,0.855,0.06,394,0.262,1086,0.255,0.346
Charlotte Hornets,82,19830,0.477,0.62,0.28,0.188,0.088,0.063,0.38,0.55,0.677,0.432,0.471,0.446,0.357,0.502,0.859,0.065,408,0.284,1154,0.253,0.405
Cleveland Cavaliers,82,19880,0.468,0.634,0.271,0.183,0.109,0.064,0.366,0.525,0.661,0.42,0.424,0.422,0.368,0.488,0.814,0.058,346,0.263,1013,0.261,0.409
Dallas Mavericks,82,19930,0.485,0.633,0.25,0.206,0.109,0.067,0.367,0.562,0.717,0.46,0.468,0.451,0.352,0.503,0.854,0.054,347,0.267,1134,0.26,0.379
Denver Nuggets,82,19755,0.478,0.622,0.229,0.236,0.088,0.06,0.378,0.559,0.747,0.459,0.443,0.402,0.344,0.519,0.84,0.057,384,0.281,1216,0.253,0.358
Detroit Pistons,82,19805,0.489,0.622,0.242,0.231,0.083,0.059,0.378,0.568,0.724,0.491,0.42,0.44,0.36,0.517,0.778,0.067,435,0.277,1189,0.254,0.384
Golden State Warriors,82,19830,0.469,0.607,0.163,0.28,0.094,0.069,0.393,0.536,0.703,0.504,0.431,0.415,0.364,0.506,0.837,0.053,357,0.262,1089,0.234,0.372
Houston Rockets,82,19755,0.482,0.56,0.217,0.204,0.082,0.056,0.44,0.567,0.741,0.48,0.435,0.399,0.374,0.511,0.817,0.07,435,0.255,1114,0.216,0.377
Indiana Pacers,82,19755,0.485,0.627,0.281,0.195,0.092,0.052,0.373,0.551,0.668,0.473,0.439,0.395,0.373,0.511,0.816,0.072,455,0.291,1185,0.268,0.4
Los Angeles Clippers,82,19830,0.474,0.622,0.226,0.23,0.104,0.062,0.378,0.539,0.716,0.441,0.463,0.388,0.365,0.509,0.811,0.058,372,0.262,1085,0.222,0.381
Los Angeles Lakers,82,19880,0.469,0.611,0.227,0.213,0.104,0.068,0.389,0.548,0.711,0.451,0.461,0.439,0.344,0.491,0.816,0.052,353,0.255,1151,0.212,0.389
Memphis Grizzlies,82,19780,0.453,0.593,0.266,0.178,0.088,0.06,0.407,0.521,0.651,0.421,0.398,0.421,0.355,0.551,0.857,0.065,417,0.256,1024,0.194,0.409
Miami Heat,82,19805,0.482,0.57,0.21,0.199,0.098,0.053,0.43,0.569,0.729,0.502,0.452,0.385,0.367,0.525,0.843,0.049,316,0.232,967,0.281,0.405
Milwaukee Bucks,82,19830,0.456,0.634,0.217,0.195,0.142,0.08,0.366,0.514,0.691,0.415,0.452,0.389,0.354,0.481,0.771,0.049,313,0.244,1034,0.187,0.382
Minnesota Timberwolves,82,19830,0.471,0.625,0.263,0.193,0.108,0.062,0.375,0.532,0.699,0.408,0.437,0.374,0.369,0.502,0.83,0.06,384,0.279,1122,0.227,0.364
New Orleans Pelicans,82,19855,0.472,0.584,0.232,0.198,0.085,0.063,0.416,0.567,0.749,0.468,0.407,0.416,0.339,0.504,0.815,0.06,399,0.263,1130,0.235,0.378
New York Knicks,82,19955,0.462,0.586,0.258,0.167,0.098,0.063,0.414,0.537,0.666,0.417,0.468,0.431,0.357,0.511,0.842,0.048,308,0.257,1051,0.246,0.381
Oklahoma City Thunder,82,19855,0.474,0.593,0.246,0.208,0.083,0.055,0.407,0.553,0.694,0.452,0.483,0.414,0.358,0.508,0.868,0.059,377,0.282,1152,0.272,0.361
Orlando Magic,82,19780,0.476,0.575,0.226,0.186,0.098,0.064,0.425,0.567,0.736,0.471,0.478,0.39,0.351,0.535,0.824,0.065,426,0.241,1031,0.256,0.401
Philadelphia 76ers,82,19880,0.473,0.61,0.256,0.175,0.095,0.075,0.39,0.553,0.725,0.424,0.422,0.414,0.348,0.503,0.811,0.055,353,0.26,1063,0.229,0.371
Phoenix Suns,82,19780,0.466,0.627,0.24,0.216,0.1,0.071,0.373,0.53,0.689,0.433,0.451,0.4,0.357,0.488,0.823,0.055,344,0.276,1087,0.204,0.419
Portland Trail Blazers,82,19730,0.491,0.621,0.31,0.165,0.081,0.058,0.379,0.559,0.682,0.453,0.443,0.368,0.379,0.531,0.837,0.069,424,0.29,1223,0.245,0.386
Sacramento Kings,82,19830,0.492,0.624,0.238,0.22,0.093,0.067,0.376,0.564,0.733,0.475,0.462,0.392,0.373,0.506,0.841,0.052,344,0.275,1203,0.26,0.395
San Antonio Spurs,82,19855,0.507,0.645,0.279,0.205,0.097,0.065,0.355,0.571,0.698,0.48,0.467,0.462,0.391,0.491,0.82,0.073,481,0.291,1262,0.217,0.447
