Team,G,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Cleveland Cavaliers,82,19880,40.4,86.4,11.7,31.6,28.7,54.7,18.1,23.2,10.1,32.5,42.7,23.8,7.3,4.5,16.2,21.1,110.6
Memphis Grizzlies,82,19780,40.1,88.4,12.8,36,27.3,52.4,18.2,23.2,10.8,32.9,43.7,26,6.7,5.1,14.9,19.7,111.2
Boston Celtics,82,19980,41.8,90.2,11.6,33.7,30.1,56.5,16.2,21.1,9.7,34.3,44,23.1,6.6,3.9,12.7,19.1,111.5
Milwaukee Bucks,82,19830,41.9,92,11.9,33.7,30,58.3,16.1,20.7,10.6,33,43.6,23.6,7,3.9,11.7,18.7,111.9
Chicago Bulls,82,19905,40.9,87.4,13.3,37.2,27.6,50.2,17.2,22.1,9.7,33.8,43.5,26.1,6.7,4.8,15.1,18.8,112.2
New Orleans Pelicans,82,19855,41,86.7,12.2,36,28.7,50.7,18.4,23.6,9.7,32.1,41.8,24.9,7.3,4.7,15,20.4,112.5
Phoenix Suns,82,19780,40.5,87,11.6,32.5,28.9,54.6,20.4,26,10.4,33.1,43.4,23.7,7.3,4,14.6,20.1,113
Miami Heat,82,19805,41.4,85.9,13.6,36.9,27.8,49,17,21.8,9.2,34,43.2,26.4,7.2,3.9,16.2,20.7,113.3
Philadelphia 76ers,82,19880,41.3,87.3,11.9,34.1,29.4,53.2,18.9,24.2,9.7,32.3,42.1,24.7,6.7,4.7,14.6,20,113.3
Minnesota Timberwolves,82,19830,41.1,87.2,12.1,32.7,29,54.5,19.6,25.6,11.1,32.8,43.9,24.6,8.1,4,15.1,19.8,113.8
Los Angeles Lakers,82,19880,43,91.7,12.3,35.6,30.7,56.1,15.7,20.3,10.8,33,43.8,25.1,7.4,5,12.3,21,113.9
Toronto Raptors,82,19805,41.3,84.3,12.5,33.4,28.8,50.9,18.8,23.6,9.4,33.8,43.3,26.8,6.1,4.7,17.1,20,114
Brooklyn Nets,82,19730,41.6,89.8,12,32.7,29.6,57.1,19,24.8,11.7,34.1,45.8,23.7,7.1,3.9,13.9,18.8,114.1
Denver Nuggets,82,19755,42.4,88.7,11.6,33.6,30.8,55.2,17.9,23,10.3,31.1,41.5,26.1,8,4.3,13.7,19.8,114.2
Orlando Magic,82,19780,41.4,87.1,13,37,28.4,50.1,18.4,23.1,9.5,32.6,42.1,25.9,7.7,5.1,14.7,20.5,114.2
Oklahoma City Thunder,82,19855,41.1,86.7,12.7,35.3,28.4,51.4,19.3,25,11.7,34,45.7,25.4,6.8,5.4,16.4,20,114.2
Golden State Warriors,82,19830,41.4,88.4,12.6,34.7,28.8,53.7,18.9,24.6,10.5,31.8,42.3,25.1,7.7,3.9,14,18,114.4
Los Angeles Clippers,82,19830,42.4,89.5,12.4,33.8,30,55.6,17.5,22.6,10.4,33.3,43.7,25.3,7.9,4.2,13.2,19.8,114.5
New York Knicks,82,19955,41.4,89.5,13.2,37.1,28.2,52.5,18.8,24.1,10.3,32.4,42.7,25.5,6.1,4.6,12.9,21,114.8
Charlotte Hornets,82,19830,42.3,88.7,12,33.7,30.2,55,18.7,23.6,10.7,34.7,45.5,25.5,6.9,5.7,14.1,20,115.3
Washington Wizards,82,19755,42.9,90.8,12.1,33.1,30.8,57.6,17.7,22.1,10.9,32.6,43.5,25.1,7.2,5,12.4,19.6,115.6
Atlanta Hawks,82,19855,43.1,88.8,11.8,33,31.4,55.8,18.3,22.8,10.4,33,43.4,25.6,7.4,5,13.9,19.4,116.3
Dallas Mavericks,82,19930,42.7,88.1,11.4,32.4,31.3,55.7,19.9,25.5,10.4,35.4,45.7,25.5,6.5,3.9,13.4,22.3,116.7
Utah Jazz,82,19805,42.9,90.6,12.3,34.1,30.5,56.5,18.6,24,11.1,31.9,43,24.7,7.7,4.9,12.4,20.2,116.7
Sacramento Kings,82,19830,43.3,87.9,12.3,33.1,31,54.9,17.9,22.7,9.6,32.2,41.7,26.4,7.2,4.1,14.1,20.6,116.8
Indiana Pacers,82,19755,42.6,88,12.2,32.8,30.4,55.2,20.2,25.2,11.9,32.7,44.6,26,7.8,5.3,14.8,19.9,117.7
Portland Trail Blazers,82,19730,43.5,88.6,12.7,33.5,30.8,55,19.2,24.4,10.6,33.2,43.7,27.3,7.9,4.3,13.7,20.7,118.8
Detroit Pistons,82,19805,43.2,88.4,12,33.4,31.2,54.9,20.4,26.3,11,33.9,44.9,25.8,7.7,5.5,13.6,21,118.9
Houston Rockets,82,19755,42.7,88.7,14.6,39.1,28.1,49.6,19.3,24.4,10.6,31.2,41.8,26.3,8.8,6.2,13.2,20.8,119.3
San Antonio Spurs,82,19855,45,88.7,12.3,31.5,32.6,57.2,17.8,23.1,10.4,33.4,43.9,26.1,7.9,5.1,13.5,18,120
