Team,G,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Sacramento Kings,82,19830,3573,7232,1128,3060,2445,4172,1624,2055,782,2699,3481,2237,574,275,1106,1616,9898
Golden State Warriors,82,19830,3538,7393,1363,3540,2175,3853,1314,1655,864,2793,3657,2446,588,323,1336,1757,9753
Atlanta Hawks,82,19855,3658,7574,882,2505,2776,5069,1513,1850,920,2719,3639,2049,580,401,1060,1541,9711
Boston Celtics,82,19980,3460,7278,1315,3492,2145,3786,1436,1769,796,2921,3717,2186,521,430,1095,1542,9671
Oklahoma City Thunder,82,19855,3533,7590,995,2797,2538,4793,1572,1944,934,2645,3579,2002,676,341,1069,1722,9633
Los Angeles Lakers,82,19880,3516,7298,885,2558,2631,4740,1691,2182,818,2930,3748,2072,526,378,1154,1466,9608
Utah Jazz,82,19805,3485,7365,1094,3099,2391,4266,1536,1955,968,2794,3762,2129,500,429,1259,1679,9600
Milwaukee Bucks,82,19830,3504,7411,1217,3306,2287,4105,1364,1837,914,3074,3988,2115,521,403,1199,1481,9589
Memphis Grizzlies,82,19780,3585,7551,985,2807,2600,4744,1432,1954,988,2835,3823,2135,680,473,1116,1643,9587
Indiana Pacers,82,19755,3444,7345,1112,3030,2332,4315,1535,1944,832,2575,3407,2213,631,478,1225,1741,9535
New York Knicks,82,19955,3444,7328,1037,2930,2407,4398,1589,2087,1031,2790,3821,1880,527,340,1065,1666,9514
Denver Nuggets,82,19755,3574,7088,969,2559,2605,4529,1378,1834,828,2699,3527,2368,618,368,1192,1525,9495
Minnesota Timberwolves,82,19830,3515,7167,997,2731,2518,4436,1467,1942,749,2686,3435,2145,657,444,1258,1768,9494
Philadelphia 76ers,82,19880,3347,6870,1035,2675,2312,4195,1719,2058,715,2641,3356,2063,635,389,1121,1675,9448
New Orleans Pelicans,82,19855,3447,7180,899,2468,2548,4712,1585,2000,866,2717,3583,2122,681,337,1196,1678,9378
Dallas Mavericks,82,19930,3283,6909,1246,3362,2037,3547,1554,2057,625,2556,3181,1880,514,304,1002,1697,9366
Phoenix Suns,82,19780,3453,7388,1001,2674,2452,4714,1412,1781,971,2657,3628,2235,585,432,1110,1739,9319
Los Angeles Clippers,82,19830,3370,7059,1041,2735,2329,4324,1533,1962,803,2742,3545,1959,580,364,1167,1598,9314
Portland Trail Blazers,82,19730,3317,7001,1056,2893,2261,4108,1609,2021,774,2551,3325,1981,553,376,1185,1643,9299
Brooklyn Nets,82,19730,3399,6978,1048,2771,2351,4207,1449,1811,674,2648,3322,2093,585,506,1127,1730,9295
Washington Wizards,82,19755,3456,7127,925,2601,2531,4526,1442,1838,774,2804,3578,2083,561,424,1158,1539,9279
Chicago Bulls,82,19905,3488,7116,854,2367,2634,4749,1446,1788,694,2779,3473,2006,644,371,1097,1551,9276
San Antonio Spurs,82,19855,3533,7593,911,2640,2622,4953,1292,1739,965,2619,3584,2232,572,322,1253,1630,9269
Toronto Raptors,82,19805,3434,7489,880,2626,2554,4863,1506,1922,1043,2485,3528,1961,772,424,956,1641,9254
Cleveland Cavaliers,82,19880,3408,6984,950,2589,2458,4395,1439,1844,795,2574,3369,2045,586,384,1094,1560,9205
Orlando Magic,82,19780,3323,7074,883,2551,2440,4523,1607,2050,833,2713,3546,1906,603,382,1236,1652,9136
Charlotte Hornets,82,19830,3385,7413,881,2669,2504,4744,1447,1933,901,2751,3652,2062,634,425,1164,1661,9098
Houston Rockets,82,19755,3329,7287,856,2619,2473,4668,1567,2078,1100,2695,3795,1835,600,374,1332,1679,9081
Detroit Pistons,82,19805,3244,7140,934,2659,2310,4481,1623,2106,916,2564,3480,1884,574,308,1237,1813,9045
Miami Heat,82,19805,3215,6991,980,2852,2235,4139,1567,1885,796,2533,3329,1955,655,243,1106,1516,8977
