Player,Age,Team,Pos,G,GS,MP,FG,FGA,3P,3PA,2P,2PA,eFG%,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,playerID
Luka Dončić,24,DAL,PG,70,70,2624,804,1652,284,744,520,908,0.573,478,608,59,588,647,686,99,38,282,149,2370,doncilu01
Shai Gilgeous-Alexander,25,OKC,PG,75,75,2553,796,1487,95,269,701,1218,0.567,567,649,65,350,415,465,150,67,162,184,2254,gilgesh01
Giannis Antetokounmpo,29,MIL,PF,73,73,2567,837,1369,34,124,803,1245,0.624,514,782,196,645,841,476,87,79,250,210,2222,antetgi01
Jalen Brunson,27,NYK,PG,77,77,2726,790,1648,211,526,579,1122,0.543,421,497,43,235,278,519,70,13,186,144,2212,brunsja01
Nikola Jokić,28,DEN,C,79,79,2737,822,1411,83,231,739,1180,0.612,358,438,223,753,976,708,108,68,237,194,2085,jokicni01
Anthony Edwards,22,MIN,SG,79,78,2770,718,1558,190,532,528,1026,0.522,423,506,52,378,430,405,101,42,241,141,2049,edwaran01
Kevin Durant,35,PHX,PF,75,75,2791,751,1436,168,407,583,1029,0.581,362,423,41,454,495,378,69,91,244,133,2032,duranke01
Jayson Tatum,25,BOS,PF,74,74,2645,672,1426,229,609,443,817,0.552,414,497,67,534,601,364,75,43,188,145,1987,tatumja01
De'Aaron Fox,26,SAC,PG,74,74,2659,720,1549,214,580,506,969,0.534,312,423,67,273,340,418,150,31,194,193,1966,foxde01
Stephen Curry,35,GSW,PG,74,74,2421,650,1445,357,876,293,569,0.573,299,324,37,293,330,379,54,28,210,117,1956,curryst01
DeMar DeRozan,34,CHI,SF,79,79,2989,650,1355,75,225,575,1130,0.507,522,612,43,297,340,421,90,45,135,161,1897,derozde01
Anthony Davis,30,LAL,C,76,76,2700,713,1283,29,107,684,1176,0.567,421,516,239,722,961,266,91,178,159,177,1876,davisan02
Devin Booker,27,PHX,PG,68,68,2447,642,1305,152,418,490,887,0.55,405,457,56,252,308,472,61,28,178,206,1841,bookede01
LeBron James,39,LAL,PF,71,71,2504,685,1269,149,363,536,906,0.599,303,404,61,457,518,589,89,38,245,78,1822,jamesle01
Tyrese Maxey,23,PHI,PG,70,70,2626,638,1419,212,569,426,850,0.524,328,378,36,222,258,433,69,33,116,151,1816,maxeyty01
Paolo Banchero,21,ORL,PF,80,80,2799,640,1407,119,351,521,1056,0.497,405,559,82,472,554,431,71,47,247,153,1804,banchpa01
Damian Lillard,33,MIL,PG,73,73,2579,541,1277,220,622,321,655,0.51,473,514,36,284,320,508,72,18,193,134,1775,lillada01
Dejounte Murray,27,ATL,SG,78,78,2783,672,1463,201,554,471,909,0.528,208,262,62,354,416,502,111,24,201,138,1753,murrade01
Pascal Siakam,29,TOT,PF,80,80,2657,681,1271,85,246,596,1025,0.569,290,396,139,426,565,342,63,25,141,193,1737,siakapa01
Paul George,33,LAC,PF,74,74,2502,582,1236,243,588,339,648,0.569,264,291,37,351,388,262,113,37,153,202,1671,georgpa01
Kawhi Leonard,32,LAC,SF,68,68,2330,610,1162,140,336,470,826,0.585,253,286,84,332,416,244,111,59,119,97,1613,leonaka01
Jaylen Brown,27,BOS,SF,70,70,2343,627,1256,145,410,482,846,0.557,211,300,84,303,387,249,83,37,166,185,1610,brownja02
Jalen Green,21,HOU,SG,82,82,2601,563,1332,201,605,362,727,0.498,283,352,41,382,423,291,66,28,191,115,1610,greenja05
Mikal Bridges,27,BKN,SF,82,82,2854,564,1294,220,592,344,702,0.521,258,317,68,304,372,299,81,30,164,116,1606,bridgmi01
Zion Williamson,23,NOP,PF,70,70,2207,624,1094,6,18,618,1076,0.573,347,494,122,284,406,352,77,47,193,159,1601,willizi01
Domantas Sabonis,27,SAC,C,82,82,2928,634,1068,33,87,601,981,0.609,292,415,294,826,1120,673,74,48,272,250,1593,sabondo01
