Player,Age,Team,Pos,G,GS,MP,+/- Per 100 Poss_OnCourt,+/- Per 100 Poss_On-Off,BadPass,LostBall,Fouls Committed_Shoot,Fouls Committed_Off.,Fouls Drawn_Shoot,Fouls Drawn_Off.,PGA,And1,Blkd,playerID
DeMar DeRozan,34,CHI,SF,79,79,2989,-1.2,0.8,79,36,87,10,277,15,1044,71,75,derozde01
Domantas Sabonis,27,SAC,C,82,82,2928,0.7,-2.1,90,100,123,48,210,7,1679,56,86,sabondo01
Coby White,23,CHI,PG,79,78,2881,-0.8,2.1,73,58,99,12,113,50,983,25,66,whiteco01
Mikal Bridges,27,BKN,SF,82,82,2854,-3.6,-2.2,82,60,55,6,127,23,748,30,54,bridgmi01
Paolo Banchero,21,ORL,PF,80,80,2799,-0.3,-7.3,114,91,92,21,269,0,1054,51,87,banchpa01
Kevin Durant,35,PHX,PF,75,75,2791,5.2,6.7,118,94,68,14,180,11,895,46,49,duranke01
Dejounte Murray,27,ATL,SG,78,78,2783,-3.2,-3.1,117,59,57,14,116,8,1221,29,69,murrade01
Anthony Edwards,22,MIN,SG,79,78,2770,7.4,2.8,112,91,61,15,240,1,1024,69,56,edwaran01
Nikola Jokić,28,DEN,C,79,79,2737,11.6,20,143,66,97,21,181,5,1662,59,68,jokicni01
Jalen Brunson,27,NYK,PG,77,77,2726,8.3,11.8,96,67,74,13,222,75,1269,86,64,brunsja01
Josh Hart,28,NYK,SF,81,42,2707,6.5,5.5,71,28,86,10,53,9,824,15,55,hartjo01
Anthony Davis,30,LAL,C,76,76,2700,2.3,6,53,60,117,22,221,4,625,60,80,davisan02
Fred VanVleet,29,HOU,PG,73,73,2684,3,5.4,84,30,85,8,82,27,1391,18,32,vanvlfr01
De'Aaron Fox,26,SAC,PG,74,74,2659,3.1,5.5,106,71,88,10,186,21,1031,44,68,foxde01
Pascal Siakam,29,TOT,PF,80,80,2657,1.7,5.3,57,40,70,25,209,8,843,65,47,siakapa01
Jayson Tatum,25,BOS,PF,74,74,2645,10.9,-1.2,91,53,54,32,208,4,922,44,61,tatumja01
Austin Reaves,25,LAL,SG,82,57,2629,-0.9,-4,105,50,86,11,98,34,1061,31,48,reaveau01
Tyrese Maxey,23,PHI,PG,70,70,2626,4.7,5,60,35,67,9,173,11,1045,54,90,maxeyty01
Luka Dončić,24,DAL,PG,70,70,2624,5.3,9.4,200,61,77,7,283,12,1636,78,50,doncilu01
Nikola Vučević,33,CHI,C,76,74,2610,-3.6,-6.3,54,37,124,19,59,3,623,19,48,vucevni01
Jalen Green,21,HOU,SG,82,82,2601,-0.5,-4.7,81,82,58,16,162,6,688,45,108,greenja05
