Player,Age,Team,Pos,G,GS,MP,FG%,%FGA from 2P,%FGA from 0-3,%FGA from 3-10,%FGA from 10-16,%FGA from 16-3P,%FGA from 3P,FG% from 2P,FG% from 0-3,FG% from 3-10,FG% from 10-16,FG% from 16-3P,FG% from 3P,%of 2PFG assisted,%of 3PFG assisted,%FGA from dunks,# of made dunks,%3PA form the corner,3P% from the corner,playerID
DeMar DeRozan,34,CHI,SF,79,79,2989,0.48,0.834,0.182,0.172,0.25,0.23,0.166,0.509,0.684,0.494,0.49,0.402,0.333,0.282,0.853,0.019,18,0.316,0.394,derozde01
Domantas Sabonis,27,SAC,C,82,82,2928,0.594,0.919,0.455,0.361,0.07,0.032,0.081,0.613,0.722,0.516,0.467,0.471,0.379,0.607,0.909,0.113,111,0.057,0.2,sabondo01
Coby White,23,CHI,PG,79,78,2881,0.447,0.54,0.25,0.156,0.085,0.05,0.46,0.508,0.656,0.362,0.485,0.267,0.376,0.289,0.833,0.012,14,0.126,0.4,whiteco01
Mikal Bridges,27,BKN,SF,82,82,2854,0.436,0.543,0.165,0.163,0.158,0.056,0.457,0.49,0.668,0.398,0.468,0.292,0.372,0.494,0.882,0.016,20,0.338,0.405,bridgmi01
Paolo Banchero,21,ORL,PF,80,80,2799,0.455,0.751,0.225,0.235,0.183,0.108,0.249,0.493,0.703,0.403,0.395,0.421,0.339,0.363,0.655,0.063,80,0.068,0.25,banchpa01
Kevin Durant,35,PHX,PF,75,75,2791,0.523,0.717,0.125,0.153,0.279,0.16,0.283,0.567,0.827,0.53,0.491,0.53,0.413,0.511,0.815,0.054,75,0.165,0.463,duranke01
Dejounte Murray,27,ATL,SG,78,78,2783,0.459,0.621,0.17,0.191,0.181,0.079,0.379,0.518,0.581,0.464,0.521,0.509,0.363,0.261,0.706,0.011,14,0.222,0.431,murrade01
Anthony Edwards,22,MIN,SG,79,78,2770,0.461,0.659,0.228,0.192,0.125,0.114,0.341,0.515,0.707,0.438,0.446,0.333,0.357,0.331,0.558,0.051,67,0.086,0.348,edwaran01
Nikola Jokić,28,DEN,C,79,79,2737,0.583,0.836,0.26,0.404,0.115,0.057,0.164,0.626,0.741,0.614,0.537,0.37,0.359,0.572,0.807,0.013,17,0.035,0.25,jokicni01
Jalen Brunson,27,NYK,PG,77,77,2726,0.479,0.681,0.127,0.275,0.189,0.09,0.319,0.516,0.636,0.519,0.474,0.426,0.401,0.23,0.583,0.002,3,0.131,0.464,brunsja01
Josh Hart,28,NYK,SF,81,42,2707,0.434,0.62,0.321,0.169,0.1,0.029,0.38,0.511,0.661,0.339,0.382,0.3,0.31,0.633,0.888,0.016,10,0.24,0.339,hartjo01
Anthony Davis,30,LAL,C,76,76,2700,0.556,0.917,0.369,0.309,0.15,0.09,0.083,0.582,0.774,0.487,0.432,0.365,0.271,0.67,0.966,0.162,196,0.15,0.125,davisan02
Fred VanVleet,29,HOU,PG,73,73,2684,0.416,0.424,0.093,0.123,0.073,0.136,0.576,0.454,0.505,0.384,0.459,0.478,0.387,0.219,0.568,0,0,0.09,0.491,vanvlfr01
De'Aaron Fox,26,SAC,PG,74,74,2659,0.465,0.626,0.134,0.248,0.172,0.072,0.374,0.522,0.72,0.534,0.423,0.351,0.369,0.198,0.626,0.017,24,0.134,0.436,foxde01
Pascal Siakam,29,TOT,PF,80,80,2657,0.536,0.806,0.304,0.312,0.129,0.061,0.194,0.581,0.739,0.515,0.445,0.423,0.346,0.507,0.976,0.033,40,0.297,0.466,siakapa01
Jayson Tatum,25,BOS,PF,74,74,2645,0.471,0.573,0.222,0.167,0.092,0.092,0.427,0.542,0.741,0.441,0.389,0.397,0.376,0.357,0.485,0.065,86,0.059,0.361,tatumja01
Austin Reaves,25,LAL,SG,82,57,2629,0.486,0.553,0.179,0.193,0.118,0.064,0.447,0.583,0.81,0.519,0.45,0.383,0.367,0.409,0.675,0.014,13,0.143,0.317,reaveau01
Tyrese Maxey,23,PHI,PG,70,70,2626,0.45,0.599,0.222,0.229,0.092,0.056,0.401,0.501,0.667,0.406,0.392,0.413,0.373,0.343,0.599,0.004,6,0.072,0.61,maxeyty01
Luka Dončić,24,DAL,PG,70,70,2624,0.487,0.55,0.123,0.192,0.152,0.082,0.45,0.573,0.838,0.569,0.442,0.422,0.382,0.177,0.299,0.001,2,0.032,0.25,doncilu01
Nikola Vučević,33,CHI,C,76,74,2610,0.484,0.742,0.225,0.302,0.128,0.086,0.258,0.55,0.645,0.552,0.477,0.404,0.294,0.745,1,0.031,31,0.054,0.294,vucevni01
Jalen Green,21,HOU,SG,82,82,2601,0.423,0.546,0.217,0.166,0.064,0.099,0.454,0.498,0.692,0.344,0.353,0.424,0.332,0.34,0.552,0.042,48,0.089,0.37,greenja05
