Player,Age,Team,Pos,G,GS,MP,TRB,AST,PTS,playerID
Shai Gilgeous-Alexander,26,OKC,PG,76,76,34.2,5,6.4,32.7,gilgesh01
Giannis Antetokounmpo,30,MIL,PF,67,67,34.2,11.9,6.5,30.4,antetgi01
Nikola Jokić,29,DEN,C,70,70,36.7,12.7,10.2,29.6,jokicni01
Luka Dončić,25,TOT,PG,50,50,35.4,8.2,7.7,28.2,doncilu01
Anthony Edwards,23,MIN,SG,79,79,36.3,5.7,4.5,27.6,edwaran01
Jayson Tatum,26,BOS,PF,72,72,36.4,8.7,6,26.8,tatumja01
Kevin Durant,36,PHX,PF,62,62,36.5,6,4.2,26.6,duranke01
Tyrese Maxey,24,PHI,PG,52,52,37.7,3.3,6.1,26.3,maxeyty01
Cade Cunningham,23,DET,PG,70,70,35,6.1,9.1,26.1,cunnica01
Jalen Brunson,28,NYK,PG,65,65,35.4,2.9,7.3,26,brunsja01
Paolo Banchero,22,ORL,PF,46,46,34.4,7.5,4.8,25.9,banchpa01
Devin Booker,28,PHX,SG,75,75,37.3,4.1,7.1,25.6,bookede01
LaMelo Ball,23,CHA,PG,47,47,32,4.9,7.4,25.2,ballla01
Damian Lillard,34,MIL,PG,58,58,36.1,4.7,7.1,24.9,lillada01
Anthony Davis,31,TOT,C,51,51,33.5,11.6,3.5,24.7,davisan02
Kyrie Irving,32,DAL,SG,50,50,36.1,4.8,4.6,24.7,irvinky01
Zion Williamson,24,NOP,PF,30,30,28.6,7.2,5.3,24.6,willizi01
Stephen Curry,36,GSW,PG,70,70,32.2,4.4,6,24.5,curryst01
LeBron James,40,LAL,SF,70,70,34.9,7.8,8.2,24.4,jamesle01
Karl-Anthony Towns,29,NYK,C,72,72,35,12.8,3.1,24.4,townska01
Victor Wembanyama,21,SAS,C,46,46,33.2,11,3.7,24.3,wembavi01
Franz Wagner,23,ORL,SF,60,60,33.7,5.7,4.7,24.2,wagnefr01
Trae Young,26,ATL,PG,76,76,36,3.1,11.6,24.2,youngtr01
Donovan Mitchell,28,CLE,SG,71,71,31.4,4.5,5,24,mitchdo01
Cam Thomas,23,BKN,SG,25,23,31.2,3.3,3.8,24,thomaca02
Tyler Herro,25,MIA,SG,77,77,35.4,5.2,5.5,23.9,herroty01
Joel Embiid,30,PHI,C,19,19,30.2,8.2,4.5,23.8,embiijo01
De'Aaron Fox,27,TOT,PG,62,62,36.1,4.8,6.3,23.5,foxde01
Zach LaVine,29,TOT,SG,74,74,35.2,4.3,4.2,23.3,lavinza01
Ja Morant,25,MEM,PG,50,50,30.4,4.1,7.3,23.2,moranja01
James Harden,35,LAC,PG,79,79,35.3,5.8,8.7,22.8,hardeja01
Jaylen Brown,28,BOS,SF,63,63,34.3,5.8,4.5,22.2,brownja02
DeMar DeRozan,35,SAC,SF,77,77,35.9,3.9,4.4,22.2,derozde01
