Player,Age,Team,Pos,G,GS,MP,+/- Per 100 Poss_OnCourt,+/- Per 100 Poss_On-Off,BadPass,LostBall,Fouls Committed_Shoot,Fouls Committed_Off., Fouls Drawn_Shoot,Fouls Drawn_Off.,PGA,And1,Blkd,playerID
Mikal Bridges,28,NYK,SF,82,82,3036,5.6,5.9,79,42,51,6,52,11,745,14,24,bridgmi01
Josh Hart,29,NYK,SG,77,77,2897,3.6,-2.1,99,35,109,4,102,12,1095,28,59,hartjo01
Anthony Edwards,23,MIN,SG,79,79,2871,4.7,-1.3,124,94,61,12,233,2,888,58,55,edwaran01
Devin Booker,28,PHX,SG,75,75,2795,-3,-0.9,127,62,81,16,200,26,1352,46,62,bookede01
James Harden,35,LAC,PG,79,79,2789,5.8,4.2,202,97,70,31,238,10,1570,43,65,hardeja01
DeMar DeRozan,35,SAC,SF,77,77,2768,1.2,2.3,52,38,89,8,221,17,863,56,57,derozde01
Trae Young,26,ATL,PG,76,76,2739,-0.1,3.8,265,62,69,10,187,26,2031,37,66,youngtr01
Tyler Herro,25,MIA,SG,77,77,2725,1.3,2.4,99,76,41,6,141,3,1046,35,75,herroty01
OG Anunoby,27,NYK,PF,74,74,2706,5.2,3.2,38,37,98,10,117,14,392,26,89,anunoog01
Jalen Green,22,HOU,SG,82,82,2697,2,-7.1,96,85,59,9,151,3,669,31,106,greenja05
Christian Braun,23,DEN,SG,79,77,2675,8.9,15,40,20,92,12,113,5,482,28,62,braunch01
Bam Adebayo,27,MIA,C,78,78,2674,0.2,-1.2,69,51,82,23,152,5,842,31,46,adebaba01
Ivica Zubac,27,LAC,C,80,80,2624,9.3,13.9,40,47,107,21,124,4,511,36,58,zubaciv01
Jayson Tatum,26,BOS,PF,72,72,2624,9.2,0.5,104,69,54,25,177,6,1118,37,56,tatumja01
Jaden McDaniels,24,MIN,PF,82,82,2614,3.7,-3.8,39,29,103,8,61,23,404,19,41,mcdanja02
Keegan Murray,24,SAC,PF,76,76,2610,1.2,2,20,25,104,2,42,16,264,14,28,murrake02
Zach LaVine,29,TOT,SG,74,74,2602,-1.3,-0.9,100,76,72,8,138,2,740,34,48,lavinza01
Shai Gilgeous-Alexander,26,OKC,PG,76,76,2598,16.9,11.1,89,59,100,13,280,8,1232,61,77,gilgesh01
Michael Porter Jr.,26,DEN,SF,77,77,2593,4.6,1.8,44,40,92,7,88,0,384,18,48,portemi01
Derrick White,30,BOS,SG,76,76,2574,9.7,1.8,86,32,93,3,63,19,880,10,23,whitede01
Dyson Daniels,21,ATL,SG,76,76,2571,-0.7,1.4,92,42,86,9,69,13,795,13,45,daniedy01
Nikola Jokić,29,DEN,C,70,70,2571,10.5,19,135,65,76,17,174,5,1668,57,63,jokicni01
Austin Reaves,26,LAL,SG,73,73,2550,4.4,7.8,106,53,81,6,154,38,996,41,47,reaveau01
Toumani Camara,24,POR,PF,78,78,2548,-2.1,3.2,49,31,112,17,58,91,438,12,28,camarto01
Pascal Siakam,30,IND,PF,78,78,2548,6.3,11,40,42,84,19,154,8,635,40,45,siakapa01
Brook Lopez,36,MIL,C,80,80,2546,2,-0.9,27,15,97,33,73,3,351,22,20,lopezbr01
Karl-Anthony Towns,29,NYK,C,72,72,2517,6.2,5.6,79,42,131,49,219,5,493,64,83,townska01
Bub Carrington,19,WAS,PG,82,57,2458,-15.1,-7.9,80,39,116,9,31,12,884,10,23,carrica01
Cade Cunningham,23,DET,PG,70,70,2452,3.4,3.7,173,105,87,15,165,6,1511,39,100,cunnica01
Tyrese Haliburton,24,IND,PG,73,73,2451,3.3,2.5,76,26,49,4,82,9,1614,23,23,halibty01
