Player,Age,Team,Pos,G,GS,MP,FG%,%FGA from 2P,%FGA from 0-3,%FGA from 3-10,%FGA from 10-16,%FGA from 16-3P,%FGA from 3P,FG% from 2P,FG% from 0-3,FG% from 3-10,FG% from 10-16,FG% from 16-3P,FG% from 3P,%of 2PFG assisted,%of 3PFG assisted,%FGA from dunks,# of made dunks,%3PA from the corner,3P% from the corner,playerID
Mikal Bridges,28,NYK,SF,82,82,3036,0.5,0.609,0.185,0.189,0.192,0.042,0.391,0.594,0.785,0.513,0.507,0.52,0.354,0.682,0.957,0.025,28,0.449,0.423,bridgmi01
Josh Hart,29,NYK,SG,77,77,2897,0.525,0.673,0.408,0.162,0.066,0.036,0.327,0.618,0.732,0.44,0.412,0.5,0.333,0.613,0.869,0.03,21,0.258,0.308,hartjo01
Anthony Edwards,23,MIN,SG,79,79,2871,0.447,0.497,0.176,0.158,0.084,0.08,0.503,0.501,0.678,0.453,0.341,0.372,0.395,0.384,0.475,0.039,54,0.107,0.414,edwaran01
Devin Booker,28,PHX,SG,75,75,2795,0.461,0.612,0.109,0.175,0.206,0.123,0.388,0.542,0.69,0.492,0.531,0.5,0.332,0.431,0.716,0.013,14,0.123,0.338,bookede01
James Harden,35,LAC,PG,79,79,2789,0.41,0.484,0.106,0.232,0.122,0.024,0.516,0.472,0.657,0.422,0.405,0.484,0.352,0.176,0.37,0.003,4,0.042,0.429,hardeja01
DeMar DeRozan,35,SAC,SF,77,77,2768,0.477,0.804,0.065,0.171,0.299,0.269,0.196,0.513,0.706,0.549,0.509,0.449,0.328,0.363,0.881,0.006,7,0.309,0.38,derozde01
Trae Young,26,ATL,PG,76,76,2739,0.411,0.533,0.124,0.219,0.134,0.057,0.467,0.474,0.544,0.468,0.467,0.359,0.34,0.287,0.294,0.001,0,0.078,0.44,youngtr01
Tyler Herro,25,MIA,SG,77,77,2725,0.472,0.514,0.137,0.213,0.126,0.038,0.486,0.565,0.698,0.515,0.529,0.481,0.375,0.378,0.753,0.008,10,0.118,0.456,herroty01
OG Anunoby,27,NYK,PF,74,74,2706,0.476,0.552,0.338,0.123,0.055,0.037,0.448,0.561,0.706,0.349,0.321,0.289,0.372,0.717,0.93,0.14,132,0.45,0.377,anunoog01
Jalen Green,22,HOU,SG,82,82,2697,0.423,0.54,0.191,0.175,0.058,0.116,0.46,0.482,0.664,0.418,0.298,0.371,0.354,0.262,0.538,0.046,54,0.107,0.366,greenja05
Christian Braun,23,DEN,SG,79,77,2675,0.58,0.727,0.418,0.245,0.027,0.038,0.273,0.648,0.758,0.522,0.409,0.419,0.397,0.762,0.888,0.124,94,0.317,0.352,braunch01
Bam Adebayo,27,MIA,C,78,78,2674,0.485,0.801,0.213,0.285,0.247,0.057,0.199,0.517,0.705,0.461,0.436,0.444,0.357,0.605,0.886,0.123,125,0.29,0.453,adebaba01
Ivica Zubac,27,LAC,C,80,80,2624,0.628,1,0.426,0.499,0.072,0.003,0,0.628,0.706,0.585,0.485,0.333,0,0.703,0,0.203,177,0,0,zubaciv01
Jayson Tatum,26,BOS,PF,72,72,2624,0.452,0.503,0.182,0.149,0.089,0.083,0.497,0.559,0.782,0.479,0.359,0.43,0.343,0.35,0.46,0.059,79,0.059,0.419,tatumja01
Jaden McDaniels,24,MIN,PF,82,82,2614,0.477,0.637,0.253,0.23,0.121,0.032,0.363,0.561,0.73,0.427,0.535,0.296,0.33,0.611,0.95,0.074,51,0.512,0.335,mcdanja02
Keegan Murray,24,SAC,PF,76,76,2610,0.444,0.452,0.144,0.195,0.078,0.035,0.548,0.566,0.831,0.469,0.359,0.483,0.343,0.652,0.987,0.087,66,0.29,0.385,murrake02
Zach LaVine,29,TOT,SG,74,74,2602,0.511,0.562,0.242,0.131,0.07,0.119,0.438,0.562,0.723,0.488,0.442,0.386,0.446,0.495,0.544,0.06,68,0.17,0.473,lavinza01
Shai Gilgeous-Alexander,26,OKC,PG,76,76,2598,0.519,0.737,0.206,0.231,0.222,0.079,0.263,0.571,0.742,0.492,0.548,0.42,0.375,0.212,0.35,0.028,46,0.034,0.333,gilgesh01
