Team,G,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Orlando Magic,82,19730,3125,6680,938,2571,2187,4109,1467,1916,751,2703,3454,1870,635,361,1329,1666,8655
Boston Celtics,82,19830,3302,7331,1055,3041,2247,4290,1128,1451,878,2704,3582,1968,567,295,1048,1438,8787
Oklahoma City Thunder,82,19705,3109,7130,1104,3225,2005,3905,1504,1942,952,2727,3679,2018,549,392,1396,1485,8826
Los Angeles Clippers,82,19805,3240,7032,1064,3038,2176,3994,1330,1723,798,2605,3403,2105,723,352,1233,1458,8874
Minnesota Timberwolves,82,19830,3319,7213,1040,2949,2279,4264,1284,1674,906,2611,3517,2032,687,368,1205,1571,8962
Houston Rockets,82,19780,3322,7244,1010,2833,2312,4411,1348,1776,867,2589,3456,1926,651,467,1175,1577,9002
Miami Heat,82,19930,3383,7262,1118,3109,2265,4153,1139,1468,880,2783,3663,2176,618,382,1133,1390,9023
Golden State Warriors,82,19730,3316,7126,1080,2976,2236,4150,1348,1752,869,2744,3613,2120,621,441,1291,1523,9060
New York Knicks,82,19880,3411,7192,1072,2924,2339,4268,1264,1603,893,2538,3431,2069,575,406,1189,1554,9158
Los Angeles Lakers,82,19730,3392,7319,1112,3124,2280,4195,1302,1680,919,2609,3528,2236,673,344,1121,1576,9198
Brooklyn Nets,82,19780,3317,6909,1059,2928,2258,3981,1509,1936,829,2754,3583,2219,660,457,1228,1550,9202
Cleveland Cavaliers,82,19755,3382,7454,1104,3075,2278,4379,1349,1732,947,2624,3571,2101,641,361,1189,1553,9217
Milwaukee Bucks,82,19755,3414,7473,1140,3232,2274,4241,1301,1661,900,2812,3712,2166,602,315,1055,1552,9269
Detroit Pistons,82,19805,3326,7210,1119,3054,2207,4156,1544,1989,863,2618,3481,2035,728,413,1235,1551,9315
Portland Trail Blazers,82,19780,3410,7238,1042,2884,2368,4354,1475,1846,978,2650,3628,2147,781,453,1271,1582,9337
Charlotte Hornets,82,19755,3409,7293,1163,3277,2246,4016,1384,1752,927,2783,3710,2196,718,435,1089,1488,9365
Indiana Pacers,82,19855,3493,7372,1058,2978,2435,4394,1397,1807,918,2775,3693,2131,588,366,1230,1541,9441
Toronto Raptors,82,19805,3377,7242,1079,3093,2298,4149,1610,2070,940,2750,3690,2124,752,484,1238,1484,9443
Sacramento Kings,82,19880,3409,7196,1193,3131,2216,4065,1440,1838,819,2653,3472,2212,649,350,1140,1515,9451
Dallas Mavericks,82,19730,3531,7521,1054,2904,2477,4617,1346,1728,996,2719,3715,2220,664,375,1086,1532,9462
Philadelphia 76ers,82,19805,3475,7118,1167,3084,2308,4034,1382,1741,946,2787,3733,2317,610,420,1311,1530,9499
Phoenix Suns,82,19830,3493,7386,1163,3145,2330,4241,1414,1790,945,2678,3623,2235,696,329,1001,1509,9563
San Antonio Spurs,82,19730,3595,7587,1177,3226,2418,4361,1201,1520,992,2794,3786,2296,664,356,1121,1428,9568
Memphis Grizzlies,82,19705,3435,7529,1162,3230,2273,4299,1550,2013,945,2625,3570,2217,710,450,1242,1653,9582
Denver Nuggets,82,19855,3554,7629,1156,3170,2398,4459,1319,1697,963,2518,3481,2379,717,420,1062,1562,9583
New Orleans Pelicans,82,19755,3585,7419,1199,3289,2386,4130,1410,1794,972,2778,3750,2349,739,428,1148,1471,9779
Atlanta Hawks,82,19780,3562,7398,1169,3098,2393,4300,1491,1858,845,2735,3580,2315,755,403,1315,1563,9784
Chicago Bulls,82,19755,3642,7791,1118,3250,2524,4541,1386,1764,899,2878,3777,2370,663,417,1032,1374,9788
Washington Wizards,82,19730,3583,7611,1170,3213,2413,4398,1540,1941,1059,2949,4008,2334,746,428,1093,1490,9876
Utah Jazz,82,19805,3655,7622,1219,3403,2436,4219,1412,1850,957,2670,3627,2429,802,527,968,1580,9941
